region_schema,region_parent,region_child,agerange,2020-05-19,2020-05-20,2020-05-21,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-03,2020-06-04,2020-06-05,2020-06-09,2020-06-10,2020-06-11,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-20,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-08-04,2020-08-05,2020-08-10,2020-08-17,2020-08-19,2020-08-24,2020-08-31
admin_1,so,banadir,,864,860,871,870,864,855,855,843,830,855,855,919,945,952,952,909,914,903,911,887,846,846,846,846,846,846,846,846,734,734,650,650,650,581,592,592,592,585,585,585,585,579,562,562,568,302,302,169
admin_1,so,galmmudug,,,,,,,,,,,,,,,101,101,109,101,101,101,97,,99,99,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,12,12,12,12,14,14,14,14,64,64,64,67,99,,,,,,,,,,,99,99,99,99,99,96,96,92,92,92,78,76,76,76,75,75,75,75,67,67,67,67,32,32,26
admin_1,so,hir-shabelle,,,,,,,,,,,,,,,22,22,22,19,16,16,14,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,5,7,5,7,7,8,8,8,8,8,8,19,20,,,,,,,,,,,14,14,14,14,14,12,12,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,32,32,26
admin_1,so,jubaland,,,,,,,,,,,,,,,124,124,136,133,131,131,119,111,111,111,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,jubaland state,,52,79,96,98,98,99,99,97,129,134,134,110,124,,,,,,,,,,,111,111,111,111,111,89,89,85,85,85,82,78,78,78,77,77,77,77,81,81,81,81,66,63,51
admin_1,so,puntland,,128,144,146,150,148,148,148,162,159,167,167,169,152,158,158,186,197,197,213,202,235,235,235,235,235,235,235,235,240,240,207,207,207,188,154,154,154,153,153,153,153,154,161,161,178,132,132,147
admin_1,so,somaliland,,104,112,110,110,169,180,180,214,252,294,294,314,358,370,370,442,440,448,461,473,530,530,530,530,530,530,530,530,571,571,572,572,572,548,581,581,581,604,604,604,604,591,568,568,581,223,223,235
admin_1,so,south west,,,,,,,,,,,,,,,116,116,134,128,125,126,115,99,101,101,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,south west state,,76,84,83,82,86,87,87,108,108,108,108,109,116,,,,,,,,,,,101,101,101,101,101,85,85,78,78,78,77,77,77,77,76,76,76,76,76,81,81,81,21,13,5
