region_schema,region_parent,region_child,agerange,2020-05-19,2020-05-20,2020-05-21,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-03,2020-06-04,2020-06-05,2020-06-09,2020-06-10,2020-06-11,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-20,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-08-04,2020-08-05,2020-08-10,2020-08-17,2020-08-19,2020-08-24
admin_1,so,banadir,,145,161,167,187,211,225,225,268,294,312,314,314,330,342,342,408,417,428,443,455,517,517,517,517,517,596,596,596,664,664,758,758,758,841,846,846,846,871,878,878,878,885,902,909,909,1168,1202
admin_1,so,galmmudug,,,,,,,,,,,,,,,1,1,2,10,10,10,14,,17,17,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,0,0,0,0,0,0,0,0,1,1,1,1,1,,,,,,,,,,,17,17,20,20,20,20,20,26,26,26,40,42,42,42,43,43,43,43,51,51,51,51,86,86
admin_1,so,hir-shabelle,,,,,,,,,,,,,,,0,0,0,3,6,6,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,8,8,8,8,8,10,10,11,11,11,11,11,11,11,13,13,13,13,13,13,13,13,22,22
admin_1,so,jubaland,,,,,,,,,,,,,,,31,31,31,37,39,45,51,63,63,63,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,jubaland state,,0,2,2,0,0,0,0,2,2,2,23,32,31,,,,,,,,,,,63,63,79,79,79,99,99,109,109,109,112,116,116,116,118,118,118,118,118,118,118,118,135,141
admin_1,so,puntland,,2,7,9,7,7,7,7,11,16,19,19,19,39,41,41,43,44,44,48,55,48,48,48,48,48,56,56,56,71,71,108,108,108,129,163,163,163,180,195,195,195,187,187,190,190,240,240
admin_1,so,somaliland,,8,8,10,10,19,21,21,28,34,45,48,51,68,73,73,90,100,107,111,114,142,142,142,142,142,160,160,160,173,173,186,186,186,225,199,199,199,206,206,206,206,240,264,377,377,622,622
admin_1,so,south west,,,,,,,,,,,,,,,1,1,3,11,15,22,27,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,south west state,,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,42,42,54,54,54,59,59,66,66,66,67,67,67,67,68,68,68,68,68,63,70,70,123,130
