region_schema,region_parent,region_child,agerange,2020-05-20,2020-05-21,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-26,2020-06-30,2020-07-01,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-14,2020-07-15,2020-07-16,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-08-05,2020-11-04,2021-02-16,2021-02-17
admin_1,so,so-bn,,16,6,24,14,0,43,2,0,12,0,9,11,15,12,0,0,0,0,0,68,0,0,0,83,0,25,0,0,17,7,0,0
admin_1,so,so-ga,,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0
