region_schema,region_parent,region_child,agerange,2020-05-20,2020-05-21,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-26,2020-06-30,2020-07-01,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-14,2020-07-15,2020-07-16,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-08-05
admin_1,so,banadir,,15,17,19,5,3,35,34,32,19,0,14,0,8,3,0,0,15,0,0,17,0,0,0,14,0,18,0,0,0
admin_1,so,galmmudug,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,0,0,2,0,0,0,0,3,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,so,hir-shabelle,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,0,-2,0,1,0,0,0,11,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,so,jubaland,,,,,,,,,,,0,3,0,0,0,0,,,,,,,,,,,,,,
admin_1,so,jubaland state,,29,17,0,1,0,0,5,1,,,,,,,,,5,0,0,7,0,0,0,0,0,1,0,0,0
admin_1,so,puntland,,20,4,-2,0,9,8,0,2,8,0,12,0,16,0,0,0,9,0,0,14,0,0,0,3,0,16,0,0,7
admin_1,so,somaliland,,8,2,72,14,8,32,18,8,17,0,8,15,13,19,0,0,31,0,0,16,0,0,0,15,0,30,0,0,1
admin_1,so,south west,,,,,,,,,,,0,2,1,1,1,0,,,,,,,,,,,,,,
admin_1,so,south west state,,7,0,4,1,0,22,0,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0
