region_schema,region_parent,region_child,agerange,2020-05-19,2020-05-20,2020-05-21,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-03,2020-06-04,2020-06-05,2020-06-09,2020-06-10,2020-06-11,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-20,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-08-04,2020-08-05,2020-08-10,2020-08-17,2020-08-19,2020-08-24,2020-08-31
admin_1,so,banadir,,39,42,42,42,43,43,43,50,53,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,57,57,57,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
admin_1,so,galmmudug,,,,,,,,,,,,,,,0,0,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,so,hir-shabelle,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,so,jubaland,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,jubaland state,,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admin_1,so,puntland,,7,6,6,6,6,6,6,5,5,6,6,6,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9
admin_1,so,somaliland,,9,9,11,11,15,16,16,15,18,19,19,19,23,24,24,25,25,25,25,25,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,30
admin_1,so,south west,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,south west state,,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
