region_schema,region_parent,region_child,agerange,2020-05-19,2020-05-20,2020-05-21,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-03,2020-06-04,2020-06-05,2020-06-09,2020-06-10,2020-06-11,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-20,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-08-04,2020-08-05,2020-08-10,2020-08-17,2020-08-19,2020-08-24,2020-08-31,2020-09-07,2020-09-14,2020-09-22,2020-09-28,2020-10-12,2020-10-20,2020-10-23,2020-10-26,2020-11-03,2020-11-04,2020-11-19,2020-11-24,2020-12-03,2020-12-09,2020-12-18,2020-12-31
admin_1,so,so-bn,,1048,1063,1080,1099,1118,1123,1126,1161,1177,1219,1253,1285,1329,1348,1348,1371,1385,1385,1393,1396,1417,1417,1417,1417,1432,1436,1436,1436,1453,1453,1463,1463,1463,1477,1493,1493,1493,1511,1513,1513,1513,1519,1519,1519,1525,1525,1526,1527,1530,1531,1535,1535,1539,1544,1551,1551,1558,1564,1577,1593,1601,1619,1634,1636
admin_1,so,so-ga,,12,12,12,12,14,14,14,14,65,65,65,68,100,102,102,112,112,112,112,112,117,117,117,117,117,117,117,117,117,117,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,120,120,120,120,123,123,123,123,123,123,123,123
