region_schema,region_parent,region_child,agerange,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
admin_1,gh,gh-aa,,10087,10087,10637,10979,10979,11508,12087,12948,12948,13194,13404,13690,13690,13869,14391,14674,14674,15136,15136,15519,15706,15706,16068,16068,17152,17152,17383,17811,18205,18273,18273,18882,19320,19320,20080,20199,20300,20413,20491,20585,20651,20749,20865,20865,21014,21162,21212,21369,21369,21521,21567,21567,21624,21684,21727,21727
admin_1,gh,gh-af,,8,8,26,26,26,26,26,36,36,36,98,98,98,98,103,103,103,103,103,116,116,116,116,116,121,121,121,121,145,164,164,232,232,232,364,364,364,364,428,428,463,463,469,469,469,469,485,490,490,490,490,490,490,496,496,496
admin_1,gh,gh-ah,,3676,3676,4099,4244,4244,4534,4627,4972,4972,5078,5254,5259,5259,5277,5482,5607,5607,5841,5841,6264,6637,6637,7267,7267,7866,7866,8229,8548,8748,8770,8770,9328,9454,9454,9588,9747,9972,10097,10251,10328,10379,10393,10431,10431,10488,10560,10569,10650,10650,10695,10706,10706,10731,10763,10776,10776
admin_1,gh,gh-be,,89,89,136,136,136,139,140,142,142,142,205,205,205,205,206,206,206,294,294,383,383,383,413,413,436,436,436,457,483,483,483,511,511,511,536,536,569,636,660,684,689,689,703,703,716,716,720,730,730,730,730,730,746,749,749,749
admin_1,gh,gh-bo,,18,18,18,38,38,38,87,96,96,96,107,107,107,107,107,107,107,266,266,421,421,421,421,421,426,426,426,431,431,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,468,480,480,480,480,480,480,480,480,480,480,480
admin_1,gh,gh-cp,,973,973,983,983,983,992,1017,1071,1071,1076,1110,1110,1110,1110,1131,1140,1140,1140,1140,1236,1236,1236,1328,1328,1355,1355,1362,1362,1366,1430,1430,1493,1553,1553,1620,1622,1669,1669,1721,1721,1735,1749,1751,1751,1754,1784,1801,1829,1829,1836,1837,1837,1849,1849,1851,1851
admin_1,gh,gh-ep,,668,668,716,798,798,835,853,907,907,911,931,948,948,960,998,1012,1012,1077,1077,1091,1120,1120,1214,1214,1234,1234,1244,1244,1304,1416,1416,1457,1483,1483,1579,1766,1809,1846,1923,1933,1938,1972,2013,2013,2065,2088,2097,2109,2109,2157,2157,2157,2224,2224,2255,2255
admin_1,gh,gh-ne,,6,6,6,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,18,18,18,18,18,18,18,18,18,18
admin_1,gh,gh-np,,137,137,137,137,137,137,163,186,186,186,186,267,267,267,271,271,271,271,271,271,302,302,302,302,302,302,308,309,309,354,354,354,354,354,354,424,424,454,454,454,454,454,454,454,472,487,489,489,489,497,497,497,497,497,497,497
admin_1,gh,gh-ot,,112,112,112,112,112,112,114,114,114,115,120,128,128,133,138,139,139,146,146,150,154,154,172,172,174,174,174,175,192,192,192,192,199,199,200,203,204,204,204,204,204,211,213,213,213,215,229,229,229,229,229,229,229,229,229,229
admin_1,gh,gh-sv,,42,42,42,46,46,46,50,50,50,51,51,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
admin_1,gh,gh-tv,,346,346,358,362,362,369,370,375,375,378,390,418,418,419,457,460,460,502,502,522,538,538,568,568,579,579,588,588,593,593,593,605,609,609,610,614,614,617,622,623,625,626,628,628,631,640,642,646,646,646,651,651,654,656,656,656
admin_1,gh,gh-ue,,274,274,274,278,278,278,278,278,278,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282,282
admin_1,gh,gh-uw,,40,40,55,55,55,55,58,70,70,70,70,70,70,70,71,71,71,74,74,75,75,75,75,75,79,79,79,79,79,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
admin_1,gh,gh-wn,,102,102,127,154,154,154,158,158,158,158,173,200,200,200,216,216,216,216,216,283,286,286,298,298,353,353,363,363,363,363,363,393,520,520,526,526,526,557,568,568,568,568,580,580,580,580,580,598,598,598,598,598,598,598,604,604
admin_1,gh,gh-wp,,1556,1556,1662,1729,1729,1846,1932,2051,2051,2052,2128,2140,2140,2189,2206,2218,2218,2253,2253,2310,2350,2350,2467,2467,2544,2544,2563,2570,2576,2583,2583,2687,2697,2697,2738,2761,2766,2796,2801,2804,2818,2818,2860,2860,2899,2899,2899,2924,2924,2931,2933,2933,2933,2947,2947,2947
