region_schema,region_parent,region_child,agerange,2020-04-29,2020-04-30,2020-05-01,2020-05-04,2020-05-06,2020-05-13
admin_1,et,et-aa,,47,47,47,47,47,47
admin_1,et,et-am,,2,2,2,2,2,2
admin_1,et,et-dd,,1,1,1,1,1,1
