region_schema,region_parent,region_child,agerange,2020-04-29,2020-04-30,2020-05-01,2020-05-04,2020-05-06,2020-05-13
admin_1,et,et-aa,,101,101,101,102,107,172
admin_1,et,et-af,,1,1,1,1,9,20
admin_1,et,et-am,,5,5,6,6,7,9
admin_1,et,et-dd,,8,8,8,8,8,8
admin_1,et,et-or,,10,11,11,11,13,17
admin_1,et,et-sn,,,,,1,1,5
admin_1,et,et-so,,1,4,4,6,17,25
admin_1,et,et-ti,,,,,,,7
