month,seek
2020-01,62
2020-02,6792
2020-03,24302
2020-04,118201
2020-05,260474
2020-06,411304
2020-07,558372
2020-08,710326
2020-09,862267
2020-10,1009795
2020-11,1163117
2020-12,1313159
2021-01,1458941
2021-02,1597394
2021-03,1722464
2021-04,1861653
2021-05,1995843
2021-06,2134077
2021-07,2256781
2021-08,2333596
2021-09,2405883
2021-10,2478516
2021-11,2546630
2021-12,2617681
2022-01,2682945
