region_schema,region_parent,region_child,agerange,2020-01-23,2020-01-24,2020-01-26,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-01,2020-03-02,2020-03-04,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-21,2020-04-22,2020-04-23,2020-04-25,2020-05-01,2020-05-04,2020-05-07,2020-05-10,2020-05-13,2020-05-14,2020-05-15,2020-05-17,2020-05-21,2020-05-22,2020-05-27,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-12,2020-06-13,2020-06-15,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-18,2020-08-20
admin_0,,hk,,2,5,1,6,4,18,1,20,6,29,32,33,9,13,10,57,16,62,67,19,79,13,88,90,3,26,15,4,18,142,30,47,64,68,26,19,192,23,212,25,38,27,237,27,80,53,361,63,104,29,71,108,89,27,187,123,238,130,156,134,142,355,167,320,1332,1369,1395,341,168,127,1445,1450,1453,355,130,131,1468,1469,362,1476,1481,155,409,1486,186,1493,161,163,1507,411,180,1520,369,16,18,421,192,46,47,19,377,378,427,196,1589,1590,197,23,147,1606,379,386,447,206,450,1674,1675,1677,454,167,210,408,409,1738,172,46,179,4,10,2015,196,2143,60,17,481,319,53,516,540,72,235,591,33,568,243,105,762,46,724,120,934,5227,139,336,956,141,909,1067,153,6164,1104,352,382,996,6367,157,999,1085,1002
hk_district,hk,,,1,,2,,,,,,,,,,,,,,,,,,,,,,3,7,,9,,10,12,,,,,,,,,,,,,,15,19,21,22,,25,31,35,,40,47,51,53,,,57,58,61,62,63,68,71,74,75,77,81,,84,86,88,,91,92,,96,99,,100,102,103,107,110,111,,,114,122,123,124,137,140,,,142,147,150,153,154,155,,,156,164,168,171,172,175,204,220,222,236,239,240,242,245,,272,281,286,293,301,316,319,322,327,332,343,350,362,369,371,376,386,388,416,420,422,431,441,459,470,497,506,510,516,525,529,532,534,,537,541,547,554,556,565,572,575,,,,,,,
hk_district,hk,central & western,,,,,2,3,,,,,,,,,,,,,4,,,,,5,,,,9,10,,,,11,18,22,23,,26,27,,30,31,,32,35,37,58,76,101,110,123,137,156,163,182,193,218,239,246,255,263,265,273,276,282,286,289,296,303,309,312,,313,,,,,,,,,317,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,322,323,,324,328,338,349,354,359,363,367,372,375,380,388,403,405,407,415,429,432,445,456,467,470,471,476,479,480,492,494,499,500,,,,,
hk_district,hk,eastern,,,,1,,,,,,,,2,,,5,,,6,,10,14,15,18,,19,24,27,33,37,41,,42,43,46,,,47,,,,,48,,49,,,50,,58,59,66,70,73,74,76,79,84,,86,88,97,100,,,101,,,102,104,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,111,,113,,115,117,119,,121,125,128,131,138,142,145,151,159,165,168,183,194,203,217,228,233,237,242,243,246,255,256,260,265,,,,268,270,,,,
hk_district,hk,kowloon,,,,,,,1,,2,4,,,,,,,,,,5,6,,,,,,,,,,,,,7,8,,,,,,,,,,11,,,13,19,20,22,29,32,33,36,40,43,52,,54,58,64,67,69,71,75,77,78,80,81,,,,,,,,,82,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,87,89,91,98,99,103,107,109,,125,129,143,150,159,164,186,208,225,239,252,263,270,289,322,346,363,383,403,419,437,449,453,461,474,480,484,488,489,490,,,,
hk_district,hk,kwai tsing,,,,,,1,,2,,3,4,5,,,6,8,9,,10,,,,,,,,,,,,,,,,,,,,,12,14,16,19,,,20,,21,23,26,28,34,,36,39,40,42,43,46,,47,50,52,53,55,,56,57,58,,,59,,,60,,,,,,,,,,,,,,,,,,,,,,61,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,72,73,,,78,,81,84,89,90,97,114,129,133,146,157,166,179,192,214,226,235,252,271,296,315,332,342,352,358,371,386,396,404,410,415,419,420,421,,,
hk_district,hk,kwun tong,,,,,,,,,,1,3,,,,,,,,,,,5,,10,,13,,15,,,,17,,,,,,,,25,,,,,,,27,28,29,31,32,33,,,41,50,52,61,63,67,74,,76,77,79,80,82,84,85,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,89,93,97,101,109,115,127,133,140,143,158,175,196,238,252,264,281,287,300,328,349,381,409,422,447,472,495,514,529,545,557,570,580,584,594,600,605,617,620,621,,,,
hk_district,hk,sai kung,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,,5,6,7,,,,,,9,,,11,12,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,21,22,26,30,33,,39,,41,42,46,48,50,51,53,56,62,63,64,68,70,72,74,77,79,80,84,87,91,,93,,,94,,,,,,
hk_district,hk,sha tin,,2,4,,,,,,,,,5,6,,7,,,,,,,,,,,,,,,,,,,,,8,,,,10,,,,,11,,18,19,25,,28,31,33,,,43,49,52,55,56,58,61,63,,65,66,69,,,71,72,73,74,,,,,,,,,,,,,,,,,,,,,,,,79,81,99,100,,,,,102,103,,,,,,,,,,,,,,,105,108,,,,,,117,,118,149,150,156,164,168,172,183,192,196,208,220,231,245,267,283,299,317,327,341,346,369,385,394,428,444,463,469,477,485,487,494,496,498,499,505,,506,507,,
hk_district,hk,sham shui po,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,5,,9,,11,13,18,,19,21,28,30,31,35,38,40,42,43,,44,,,47,,,,,,,,,48,,,,,,,,,,,,,,,,,49,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,51,,,,55,,56,57,59,,60,69,79,92,95,113,120,127,138,155,161,183,196,211,225,235,261,262,280,293,312,316,331,350,359,372,389,399,415,421,432,435,439,444,446,447,448,,449
