region_schema,region_parent,region_child,agerange,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-13,2020-06-16,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-16,2020-08-17,2020-08-18,2020-08-21,2020-08-24,2020-08-25,2020-08-26
admin_1,bd,bd-a,,,,,,,1,5,-5,14,0,0,7,8,10,6,0,18,0,21,-12,20,8,0,10,7,4,-4,11,-7,7,-9,8,1,-1,17,-9,15,-1,5,2,-2,5,-3,4,1,-1,1,42,0,5,0,1,1,0,19,0,0,386,0,-195,0,54,0,22,0,528,-505,22,643,-492,157,61,0,296,0,0,0,357,0,119,20,27,0,63,51,75,30,72,22,0,45,157,0,39,0,28,0,0,0,0,161,0,0,0,47,1711,23,0,114,63,100,0,296,50,0,0,58,0,76
admin_1,bd,bd-b,,0,0,3,8,0,0,0,21,6,21,0,30,5,-5,26,7,0,24,7,0,14,0,15,42,43,26,0,46,0,11,102,59,-59,59,179,-24,24,186,322,132,-132,132,311,0,0,421,274,884,0,0,263,432,139,0,674,0,192,6117,-4892,0,332,288,61,0,169,7481,-6727,102,9112,-7895,98,940,556,263,127,50,269,2682,274,124,142,0,1745,-2854,2406,1691,132,80,504,92,1222,204,242,89,91,198,120,54,731,2448,72,226,511,123,73,262,392,0,453,413,386,287,137,223,335,0,396,267,0
admin_1,bd,bd-c,,0,0,121,0,94,0,236,0,0,406,246,0,425,-238,238,675,174,299,311,619,-180,552,813,490,-490,490,685,385,514,0,0,1362,0,388,310,991,-717,1184,840,466,407,0,777,1205,0,1655,0,1906,0,702,418,0,478,1355,0,879,0,25204,0,-20691,0,908,0,1303,0,30859,-28399,413,597,-33383,0,358,671,0,68,0,1185,1052,94,640,-3277,198,78,437,3723,38516,76,181,2234,0,295,212,102,10233,85,1798,60,500,228,-3276,0,0,36,3230,15,2123,-80,289,290,1188,2059,100,556,3265,73,109,3332,136,843
admin_1,bd,bd-d,,0,0,0,0,0,0,0,0,0,0,2,1,2,-2,2,0,3,0,29,0,0,27,0,18,59,0,5,3,0,0,39,5,-5,5,23,0,1,11,17,28,57,-57,77,42,19,0,0,49,0,0,13,23,0,24,0,10,19,673,-551,0,40,36,0,66,0,1015,-803,39,81,-1420,0,283,0,0,0,0,0,1458,0,0,0,0,0,0,1571,128,598,320,0,0,798,0,0,723,0,0,1212,154,482,188,0,314,438,0,227,320,421,0,-532,683,329,379,434,199,0,144,132,0,608
admin_1,bd,bd-e,,,,,,,,,,0,0,1,1,-1,5,4,9,0,0,4,8,0,11,0,18,0,49,1,0,0,3,0,25,13,0,2,21,9,-9,21,0,0,49,0,0,127,0,0,178,0,-334,0,420,6,0,8,5,41,958,0,-743,0,34,23,33,1080,0,-1035,3,19,-1065,268,242,0,0,0,873,478,0,0,0,0,0,1174,0,-1469,385,0,0,429,0,511,77,239,0,0,567,83,0,0,463,98,0,112,0,290,91,98,66,86,0,209,199,147,124,178,70,87,78,47
admin_1,bd,bd-f,,0,0,0,0,5,-2,0,0,6,0,21,-2,3,7,3,3,0,13,7,2,4,6,22,0,0,15,30,0,10,0,61,10,-10,43,0,54,6,16,0,43,0,143,0,39,49,0,0,154,0,29,0,7,32,0,22,62,0,1010,-864,0,15,28,1,27,0,1179,-1120,1,32,-1013,0,0,0,0,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0,0,0,0,0,0,-12,1668,0,0,147,260,133,-19878,0,254,0,487,0,368
admin_1,bd,bd-g,,,,0,0,0,1,-1,1,0,1,1,0,2,0,0,11,-10,10,31,-16,36,0,33,0,9,3,0,0,25,0,22,0,0,2,2,15,0,19,0,20,0,0,2,24,6,0,0,232,0,51,18,0,13,32,66,0,25,853,-676,125,0,61,0,133,0,1218,-1159,23,23,-1322,76,0,8,312,0,0,184,280,51,0,0,158,75,28,492,0,55,93,105,0,446,177,0,213,74,0,0,0,0,0,0,0,0,0,0,1160,72,106,85,67,268,0,249,0,161,101,51,107,215
admin_1,bd,bd-h,,,,0,6,-6,8,-1,4,0,7,5,16,17,7,15,-15,15,52,0,35,13,20,0,0,36,0,21,32,26,0,0,50,34,-29,43,38,24,-24,24,43,0,0,15,135,0,20,0,156,0,0,34,0,29,0,19,65,0,998,0,-978,34,86,54,69,1460,0,-1294,99,1722,-1602,54,52,0,236,23,2,0,65,4,52,163,0,0,10,7,40,55,0,0,0,46,0,31,0,0,0,0,0,109,554,0,34,0,208,0,75,32,84,58,-1,93,63,60,18,43,85,59,36,20
bd_district,bd-a,bd-02,,,,,,,,2,-2,2,1,-1,1,5,1,-1,1,2,5,3,3,0,0,7,0,0,3,-3,3,3,0,0,-3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,23,4,0,3,6,0,1,0,0,0,0,3,16,42,24,0,1,0,0,0,54,0,45,8,0,0,16,14,20,0,35,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,0,16,14,1,0,43,7,0,0,6,0,10
bd_district,bd-a,bd-06,,,,,,,,,,0,5,3,7,-5,9,0,0,11,0,2,1,0,3,0,2,0,0,0,0,1,0,0,6,1,0,6,1,-1,2,3,0,0,1,0,0,1,0,0,3,0,0,4,0,0,0,0,2,0,0,0,56,7,47,1,0,2,0,2,16,6,52,0,0,0,179,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,793,0,0,32,41,37,0,127,19,0,0,24,0,23
