region_schema,region_parent,region_child,agerange,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06
admin_1,iq,iq-an,,517,517,517,517,517,517,517,517,517,517,517,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,964,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924,3924
admin_1,iq,iq-ar,,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,1575,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814,15814
admin_1,iq,iq-ba,,4549,4549,4549,4549,4549,4549,4549,4549,4549,4549,4549,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,9141,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055,29055
admin_1,iq,iq-bb,,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,4307,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149,13149
admin_1,iq,iq-bg,,21450,21450,21450,21450,21450,21450,21450,21450,21450,21450,21450,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,39287,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187,94187
admin_1,iq,iq-da,,183,183,183,183,183,183,183,183,183,183,183,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194,10194
admin_1,iq,iq-di,,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,1807,3342,3695,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,3833,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752,8752
admin_1,iq,iq-dq,,3948,3948,3948,3948,3948,3948,3948,3948,3948,3948,3948,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,6622,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565,17565
admin_1,iq,iq-ka,,3852,3852,3852,3852,3852,5056,5056,5056,5056,5056,5056,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,6243,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068,19068
admin_1,iq,iq-ma,,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,3173,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,4896,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723,12723
