region_schema,region_parent,region_child,agerange,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28
admin_1,my,my-01,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-02,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-03,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-04,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-05,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-06,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-07,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-08,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-09,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-10,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-11,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-12,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-13,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-14,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-15,,0,0,0,0,0,0,0,0,0,0
admin_1,my,my-16,,0,0,0,0,0,0,0,0,0,0
admin_1,my,tiada data,,0,0,0,0,0,0,0,95,7,0
