month,seek
2020-03,62
2020-04,1251
2020-05,19837
2020-06,40957
2020-07,45230
2020-08,49334
2020-09,62670
2020-10,79079
2020-11,93461
2020-12,109931
2021-01,123346
2021-02,132588
2021-03,142835
2021-04,157198
2021-05,169557
2021-06,181974
2021-07,195681
2021-08,210269
2021-09,219760
2021-10,237212
2021-11,252602
2021-12,262861
2022-01,277226
2022-02,287510
2022-03,302996
