month,seek
2020-03,62
2020-04,1250
2020-05,19837
2020-06,40754
2020-07,44989
2020-08,49098
2020-09,62444
2020-10,78866
2020-11,93213
2020-12,109623
2021-01,122981
2021-02,132225
2021-03,142494
2021-04,156866
2021-05,169176
2021-06,181520
2021-07,195085
2021-08,209635
2021-09,218918
2021-10,236433
2021-11,251829
2021-12,262106
2022-01,276497
