region_schema,region_parent,region_child,agerange,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-24,2020-07-01
admin_1,au,au-tas,,-10,-5,-6,-1,2,-7,-8,-4,-1,-6,-1,-1,-1,-6,-2,-6,2,-2,-2,0,-3,-4,0,-2,-1,0,-1,-2,0,-1,-1,-2,0,0,0,-2,-1,-1,0,-1,0,0,0,-1,0,0,0,0,,,0,0,0,0,0,0,,,0,0
ths,au-tas,north,,,-1,0,0,0,1,0,1,-1,0,0,0,1,0,-1,0,0,0,0,-1,0,0,,,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
ths,au-tas,north-west,,,-9,-6,-6,0,2,-6,-9,-3,-1,-6,-1,-1,-1,-3,-2,-6,2,-2,-1,0,-3,,,-1,-1,0,-1,-2,0,-1,0,-2,0,0,0,-2,-1,-1,0,-1,0,0,,,0,0,0,0,-2,0,0,0,0,0,0,0,0,,
ths,au-tas,south,,,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,-2,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,
