region_schema,region_parent,region_child,agerange,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
admin_1,us,us-ak,,31,32,32,34,35,36,39,37,46,42,39,42,36,32,14,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-al,,437,457,493,525,553,594,620,641,641,699,730,768,769,839,845,872,911,945,978,1008,1023,1035,1064,1107,1158,1178,1207,1228,1240,1256,1287,1317,1350,1377,1387,1392,1416,1453,1493,1528,1561,1589,1612,1629,1671,1719,1765,1800,1826,1844,1856,1879,1900,1929,1949,1993,2022,2054,2087,2129,2165,2202,2241,2255,2259,2315,2352,2373,2416,2443,2460,2471,2521,2567,2612,2653,2697,2703,2725,2769,2803,2835,2883,2906,2909,2914,2961,3006,3039,3089,6745,6745,6745,7123,7291,7584,7584,7782,7782,8368,8538,8538,8995,9157,9157,9157,9694,9893,9893,10070,10521,10521,10521,10865,11100,11100,11313,11537,11537,11537,12070,12070,12292,12456,12456,12607,12607,12958,12958,13080,13330,13330,13502,13502,13793,13793,14005
admin_1,us,us-ar,,130,130,130,130,85,83,291,291,291,291,291,291,291,291,291,109,,389,402,414,414,427,438,453,453,462,466,471,471,480,485,497,509,520,520,520,530,535,535,535,584,590,598,605,617,627,640,667,702,711,711,718,731,757,792,838,844,844,865,901,925,961,979,998,1003,1026,1052,1074,1100,1100,1152,1164,1188,1214,1245,1300,1337,1373,1380,1413,1448,1477,1517,1536,1536,1575,1604,1655,1705,1743,1780,1822,1836,1872,1948,1994,2070,2135,2177,2202,2257,2317,2361,2361,2361,2542,2624,2686,2747,2747,2852,2852,2894,2966,3054,3118,3118,3168,3223,3284,3336,3401,3472,3566,3566,3562,3570,3621,3695,3743,3790,3856,3908,3920,3962,4013,4061
admin_1,us,us-az,,,525,580,590,578,566,566,631,637,637,664,699,984,1022,1037,1051,1095,1131,1169,1203,1339,1348,1357,1397,1430,1449,1482,1514,1528,1537,1564,1590,1636,1629,1683,1699,1717,1746,1792,1830,1879,1930,1945,1961,1988,2031,2848,2911,2980,2998,3018,3057,3129,3195,3265,3320,3352,3377,3406,3476,3531,3622,3692,3726,3750,3808,3861,3956,4049,4140,4161,4185,4255,4313,4406,4514,4595,4617,4634,4736,4837,4916,5018,5068,5161,5188,5272,5387,5526,5659,5750,5795,5839,5942,6103,6296,6402,6567,6632,6698,6894,7047,7236,7461,7627,7706,7751,9394,10060,11172,11260,11346,11371,11400,13294,13559,14068,19241,19244,19268,19277,19292,19821,20503,20515,20795,20755,20756,20878,21020,21143,21210,21271,21241,21219,21365,21376
admin_1,us,us-ca,,5234,3015,5163,5163,5031,4892,4892,4731,4674,4886,4984,4929,4880,4847,4928,4878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-co,,1376,1472,1493,1556,1636,1693,1755,1797,1813,1880,2003,2123,2366,2366,2410,2438,2485,2610,2621,2697,2747,2793,2799,2838,2919,2986,3557,3600,3623,3689,3663,3695,3735,3789,3842,3866,3872,3899,3955,3990,4037,4082,4105,4119,4128,4160,4196,4254,4307,4333,4347,4372,4419,4443,4460,4472,4480,4485,4859,5025,5035,5057,5234,5244,5244,5269,5272,5294,5308,5318,5323,5327,5343,5366,5375,5386,5392,5399,5401,5442,5489,5513,5527,5537,5550,5565,5591,5741,5820,5831,5864,5885,5895,5941,5963,5950,5966,5994,6019,6032,6057,6110,6133,6149,6227,6261,6268,6271,6319,6398,6413,6441,6465,6474,6487,6516,6536,6572,6582,6602,6616,6627,6679,6685,6700,6718,6727,6735,6739,6781,6784,6797,6808,6831,6841,6845,6894
admin_1,us,us-ct,,1654,1760,1779,1908,1926,1946,1946,1938,1919,1949,1972,1947,1877,1810,1766,1758,,,,7758,7758,7758,7758,7758,7758,9389,9389,9389,9389,9389,9389,9389,10946,10946,10946,10946,10946,10946,10946,10946,12538,12538,12538,12538,12538,12538,12538,12538,12538,12538,13793,13793,13793,9669,9669,9669,9669,9669,9669,9669,9912,9912,9912,9912,9912,9912,9912,10099,10099,10099,10099,10099,10099,10099,10268,10268,10268,10268,10268,10268,10268,10411,10411,10411,10411,10411,10411,10411,10552,10552,10552,10552,10552,10552,10552,10654,10654,10654,10654,10654,10654,10654,10712,10712,10712,10712,10712,10712,10712,10807,10807,10807,10807,10807,10807,10807,10920,10920,10920,10920,10920,10920,10920,11015,11015,11015,11015,11015,11015,11015,11087,11087,11087,11087,11087,11087,11087
admin_1,us,us-dc,,,295,295,313,313,313,313,313,402,402,402,402,402,402,402,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-de,,190,201,204,208,209,209,224,249,256,263,269,290,277,300,317,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,us,us-fl,,2772,,2833,3344,3460,3665,3842,3930,4010,4235,4469,4693,5009,5045,5155,5211,5266,5624,5795,5795,5945,6244,6329,6546,6776,6990,7157,7325,7404,7458,7654,7835,7993,7993,8393,8478,8553,8744,8934,9200,9372,9567,9638,9681,9740,9899,10056,10243,10375,10453,10494,10678,10796,10923,11066,11163,11215,11282,11460,11621,11850,11986,12155,12224,12298,12489,12673,12862,13062,13227,13325,13407,13614,13865,14068,14281,14432,14540,14651,14879,15125,15454,15795,16040,16201,16352,16733,17068,17479,17916,18341,18590,18817,19201,19659,20154,20526,20969,21309,21605,22123,22588,22991,23575,24086,24421,24690,25280,25867,26386,26905,27344,27524,27744,28333,28956,29515,30114,30639,30893,31177,31750,32349,32947,33568,34074,34341,34607,35112,35620,36070,36425,36764,36903,37032,37477,37847
