region_schema,region_parent,region_child,agerange,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07
admin_1,au,au-vic,,11,12,19,27,16,15,21,23,19,2,55,43,52,79,54,51,46,47,66,50,70,120,60,29,60,43,19,13,16,8,6,41,8,3,8,3,15,-1,8,4,2,7,0,10,1,10,1,5,9,10,14,16,9,0,22,10,0,22,15,11,8,6,5,14,22,13,6,5,5,4,4,3,3,6,15,2,3,4,2,7,14,5,11,9,16,4,3,7,7,2,6,8,7,11,9,11,10,19,14,14,27,23,27,38,34,33,21,36,30,84,41,103,3,40,66,93,103,78,40,110,114,145,106,114,152,79,288,0,120,186,136,220,217,219,196,172,141,204,201,237,312,264,247,382,222,349,279,449,453,390,316,2605,606,299,469,369,211,284,265,264,223,256,234,153,185,218,255,-9841,10137,135
lga,au-vic,alpine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,1,,,,,0,,,,,0,0,,,0,,,0,0,,,0,0,0,,,0,,,,,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,ararat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,0,0,0,0,0,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,ballarat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,,,0,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,,,,,0,,,,,0,0,,,0,,,0,0,,,0,0,0,,,0,,,,,0,0,0,0,,,0,,,1,0,0,0,1,0,2,1,-1,,,0,1,2,1,1,2,,,,0,0,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,banyule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,0,,,,,1,,,0,-1,0,1,0,0,0,0,-1,0,0,0,1,0,0,,,0,0,0,0,0,,,1,0,0,,,,,0,,,,,0,0,,,0,,,1,-1,,,2,-1,4,,,1,,,,,0,2,9,1,,,11,,,6,11,7,8,11,4,11,15,5,,,2,12,6,3,7,7,,,,4,10,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,bass coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,1,,,0,,,0,0,0,0,0,0,-1,1,1,,,0,0,0,1,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,baw baw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,,,0,,,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,bayside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,0,,,,,0,,,0,0,-1,0,1,0,0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,,,0,0,0,,,,,-1,,,,,1,1,,,-1,,,0,1,,,-1,1,-1,,,1,,,,,0,0,0,0,,,0,,,0,1,0,0,0,0,4,0,1,,,1,0,3,5,2,2,,,,0,6,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,boroondara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,,,,0,,,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,,,0,0,0,0,0,,,0,0,1,,,,,0,,,,,1,0,,,0,,,1,-2,,,-1,0,2,,,0,,,,,0,5,1,1,,,3,,,0,3,7,2,1,-1,5,-1,3,,,5,4,2,0,0,7,,,,4,2,,,,,,,,,,,,,,,,,,,,,
lga,au-vic,brimbank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0,,,3,,,,,0,,,0,1,-1,2,2,0,0,1,2,1,0,1,1,0,0,,,0,1,0,0,0,,,0,1,0,,,,,0,,,,,4,-1,,,4,,,10,-1,,,6,3,7,,,1,,,,,0,14,12,6,,,15,,,21,10,19,17,27,13,74,-35,28,,,35,41,30,27,28,52,,,,42,70,,,,,,,,,,,,,,,,,,,,,
