region_schema,region_parent,region_child,agerange,2020-04-14
admin_1,tr,tr-01,,402
admin_1,tr,tr-02,,41
admin_1,tr,tr-03,,50
admin_1,tr,tr-04,,79
admin_1,tr,tr-05,,55
admin_1,tr,tr-06,,2666
admin_1,tr,tr-07,,270
admin_1,tr,tr-08,,27
admin_1,tr,tr-09,,65
admin_1,tr,tr-10,,345
admin_1,tr,tr-11,,50
admin_1,tr,tr-12,,30
admin_1,tr,tr-13,,36
admin_1,tr,tr-14,,40
admin_1,tr,tr-15,,6
admin_1,tr,tr-16,,1295
admin_1,tr,tr-17,,70
admin_1,tr,tr-18,,40
admin_1,tr,tr-19,,50
admin_1,tr,tr-20,,200
admin_1,tr,tr-21,,130
admin_1,tr,tr-22,,190
admin_1,tr,tr-23,,50
admin_1,tr,tr-24,,31
admin_1,tr,tr-25,,173
admin_1,tr,tr-26,,300
admin_1,tr,tr-27,,90
admin_1,tr,tr-28,,117
admin_1,tr,tr-29,,30
admin_1,tr,tr-30,,10
admin_1,tr,tr-31,,75
admin_1,tr,tr-32,,418
admin_1,tr,tr-33,,62
admin_1,tr,tr-34,,37606
admin_1,tr,tr-35,,5783
admin_1,tr,tr-36,,33
admin_1,tr,tr-37,,61
admin_1,tr,tr-38,,225
admin_1,tr,tr-39,,100
admin_1,tr,tr-40,,23
admin_1,tr,tr-41,,2409
admin_1,tr,tr-42,,1452
admin_1,tr,tr-43,,25
admin_1,tr,tr-44,,160
admin_1,tr,tr-45,,324
admin_1,tr,tr-46,,80
admin_1,tr,tr-47,,70
admin_1,tr,tr-48,,120
admin_1,tr,tr-49,,30
admin_1,tr,tr-50,,50
admin_1,tr,tr-51,,30
admin_1,tr,tr-52,,175
admin_1,tr,tr-53,,165
admin_1,tr,tr-54,,1071
admin_1,tr,tr-55,,382
admin_1,tr,tr-56,,100
admin_1,tr,tr-57,,80
admin_1,tr,tr-58,,185
admin_1,tr,tr-59,,240
admin_1,tr,tr-60,,172
admin_1,tr,tr-61,,535
admin_1,tr,tr-62,,0
admin_1,tr,tr-63,,90
admin_1,tr,tr-64,,100
admin_1,tr,tr-65,,70
admin_1,tr,tr-66,,65
admin_1,tr,tr-67,,477
admin_1,tr,tr-68,,5
admin_1,tr,tr-69,,33
admin_1,tr,tr-70,,50
admin_1,tr,tr-71,,40
admin_1,tr,tr-72,,18
admin_1,tr,tr-73,,16
admin_1,tr,tr-74,,0
admin_1,tr,tr-75,,5
admin_1,tr,tr-76,,64
admin_1,tr,tr-77,,491
admin_1,tr,tr-78,,140
admin_1,tr,tr-79,,40
admin_1,tr,tr-80,,101
admin_1,tr,tr-81,,96
