region_schema,region_parent,region_child,agerange,2020-04-14
admin_1,tr,tr-01,,45
admin_1,tr,tr-02,,13
admin_1,tr,tr-03,,0
admin_1,tr,tr-04,,0
admin_1,tr,tr-05,,9
admin_1,tr,tr-06,,61
admin_1,tr,tr-07,,14
admin_1,tr,tr-08,,5
admin_1,tr,tr-09,,1
admin_1,tr,tr-10,,5
admin_1,tr,tr-11,,0
admin_1,tr,tr-12,,3
admin_1,tr,tr-13,,3
admin_1,tr,tr-14,,0
admin_1,tr,tr-15,,2
admin_1,tr,tr-16,,160
admin_1,tr,tr-17,,2
admin_1,tr,tr-18,,0
admin_1,tr,tr-19,,9
admin_1,tr,tr-20,,2
admin_1,tr,tr-21,,7
admin_1,tr,tr-22,,2
admin_1,tr,tr-23,,4
admin_1,tr,tr-24,,2
admin_1,tr,tr-25,,11
admin_1,tr,tr-26,,5
admin_1,tr,tr-27,,18
admin_1,tr,tr-28,,22
admin_1,tr,tr-29,,5
admin_1,tr,tr-30,,1
admin_1,tr,tr-31,,11
admin_1,tr,tr-32,,8
admin_1,tr,tr-33,,25
admin_1,tr,tr-34,,2180
admin_1,tr,tr-35,,264
admin_1,tr,tr-36,,6
admin_1,tr,tr-37,,0
admin_1,tr,tr-38,,30
admin_1,tr,tr-39,,0
admin_1,tr,tr-40,,0
admin_1,tr,tr-41,,235
admin_1,tr,tr-42,,20
admin_1,tr,tr-43,,0
admin_1,tr,tr-44,,17
admin_1,tr,tr-45,,1
admin_1,tr,tr-46,,8
admin_1,tr,tr-47,,0
admin_1,tr,tr-48,,1
admin_1,tr,tr-49,,7
admin_1,tr,tr-50,,5
admin_1,tr,tr-51,,6
admin_1,tr,tr-52,,22
admin_1,tr,tr-53,,10
admin_1,tr,tr-54,,9
admin_1,tr,tr-55,,40
admin_1,tr,tr-56,,0
admin_1,tr,tr-57,,15
admin_1,tr,tr-58,,11
admin_1,tr,tr-59,,0
admin_1,tr,tr-60,,15
admin_1,tr,tr-61,,19
admin_1,tr,tr-62,,0
admin_1,tr,tr-63,,15
admin_1,tr,tr-64,,1
admin_1,tr,tr-65,,10
admin_1,tr,tr-66,,3
admin_1,tr,tr-67,,59
admin_1,tr,tr-68,,0
admin_1,tr,tr-69,,12
admin_1,tr,tr-70,,0
admin_1,tr,tr-71,,1
admin_1,tr,tr-72,,0
admin_1,tr,tr-73,,0
admin_1,tr,tr-74,,4
admin_1,tr,tr-75,,0
admin_1,tr,tr-76,,0
admin_1,tr,tr-77,,1
admin_1,tr,tr-78,,9
admin_1,tr,tr-79,,1
admin_1,tr,tr-80,,5
admin_1,tr,tr-81,,9
