region_schema,region_parent,region_child,agerange,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-10,2020-05-11,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-22,2020-05-23,2020-05-24,2020-05-25
admin_1,au,au-nsw,,,,,-2,0,-3,-24,-9,-28,-20,-2,-3,0,1,-3,1,-22
lhd,,central coast,,0,,,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0
lhd,,far west,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lhd,,hunter new england,,-1,-3,-3,-7,0,-3,5,1,0,-1,-1,-2,-1,0,0,0,0
lhd,,illawarra shoalhaven,,0,0,0,1,0,0,0,0,0,-4,0,0,0,0,0,0,0
lhd,,mid north coast,,0,0,-1,2,-2,0,0,0,0,0,0,0,0,0,0,0,0
lhd,,murrumbidgee,,-1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0
lhd,,nepean blue mountains,,-1,1,0,4,1,0,0,0,0,0,0,0,0,-2,-4,0,0
lhd,,northern nsw,,0,0,0,0,0,0,-2,0,-1,1,0,0,0,0,0,0,0
lhd,,northern sydney,,3,-23,0,1,1,0,-11,-4,-9,-6,-1,0,0,-1,0,0,0
lhd,,nsw total,,-11,24,-58,-1,,,,,,,-2,-3,1,,-3,,
lhd,,nsw total*,,,,,,,,,,,,,,,,,,0
lhd,,south eastern sydney,,-8,-6,-7,-4,1,-2,-12,-1,-3,0,-1,2,0,0,-1,0,-1
lhd,,south western sydney,,0,2,-5,-1,0,0,-9,1,-3,-3,-3,-2,0,1,0,0,0
lhd,,southern nsw,,0,17,0,0,-1,0,-6,0,0,0,0,0,0,0,0,0,0
lhd,,sydney,,1,2,1,0,0,1,-7,-1,0,-2,-1,-1,0,2,1,0,2
lhd,,total,,,,,,,-2,-24,,,,,,,,,,
lhd,,total nsw,,,,,,,,,-9,,,,,,,,,
lhd,,unassigned,,-2,-2,,,,,,,,,,,,,,,
lhd,,western nsw,,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0
lhd,,western sydney,,-2,-4,0,2,-1,2,-1,0,-2,-2,2,1,0,0,0,0,1
