region_schema,region_parent,region_child,agerange,2020-05-10,2020-05-11,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-22,2020-05-23,2020-05-24,2020-05-25
lhd,au-nsw,central coast,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,far west,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,hunter new england,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,illawarra shoalhaven,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,mid north coast,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,murrumbidgee,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,nepean blue mountains,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,northern nsw,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,northern sydney,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,nsw total,,,,,0,0,0,,0,,
lhd,au-nsw,nsw total*,,,,,,,,,,,0
lhd,au-nsw,south eastern sydney,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,south western sydney,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,southern nsw,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,sydney,,0,0,0,0,0,0,1,0,0,0
lhd,au-nsw,total nsw,,0,,,,,,,,,
lhd,au-nsw,western nsw,,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,western sydney,,0,0,0,0,0,0,0,0,0,0
