region_schema,region_parent,region_child,agerange,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25
admin_1,au,au-nsw,,2,137,160,183,224,278,348,415,520,606,698,790,875,938,1002,1077,1134,1184,1244,1289,1315,1344,1366,1384,1407,1427,1424,1428,1431,1439,1461,1463,1469,1469,1475,1476,1479,1483,1486,1473,1474,1476,1479,1481,1482,1484,1486,1484,1485,1489,1490,1493,1495,1496,1496,1496,1498,1500,1506,1507,1508,1509,1510,1513,1514,1515,1515,1515,1516
admin_1,au,au-nsw,0-9,2,,,,,,,,1,1,1,3,6,6,7,7,8,9,12,13,13,13,13,14,13,13,13,15,15,15,16,16,17,16,16,16,16,16,16,16,16,17,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20
admin_1,au,au-nsw,10-19,,6,6,6,6,8,8,9,11,13,13,18,21,24,26,30,33,34,37,38,39,41,41,41,41,43,43,43,43,43,43,43,43,43,44,43,43,44,44,44,44,44,44,44,44,44,44,44,45,45,45,46,46,46,46,46,46,46,47,47,47,47,47,47,48,48,48,48,48
admin_1,au,au-nsw,20-29,,17,18,24,36,46,56,66,81,93,116,136,154,169,182,203,215,231,243,251,256,260,264,266,272,277,275,275,277,280,279,280,281,281,281,281,281,282,282,283,283,283,285,286,286,286,286,286,286,287,287,288,288,288,288,288,288,289,289,289,289,289,289,289,289,289,289,289,289
admin_1,au,au-nsw,30-39,,30,36,42,48,60,66,73,87,101,116,130,142,150,156,171,179,185,195,208,212,218,223,226,231,238,238,238,238,239,245,244,244,244,245,247,247,247,248,248,248,248,248,248,248,249,248,248,248,249,250,250,251,251,251,251,251,251,255,256,257,257,257,258,258,258,259,259,259
admin_1,au,au-nsw,40-49,,29,35,40,48,56,68,72,88,105,111,120,130,137,151,161,172,177,182,188,191,194,196,197,200,200,199,200,199,201,207,208,209,209,211,210,212,212,212,212,212,213,211,211,211,211,212,212,212,212,212,213,213,213,213,213,213,213,213,213,213,214,214,215,214,215,215,215,215
admin_1,au,au-nsw,50-59,,23,28,32,37,43,61,72,87,101,117,131,141,153,160,171,177,181,191,197,199,203,204,208,212,212,212,213,214,214,216,218,219,219,219,220,220,220,220,220,220,220,221,221,221,222,223,222,221,221,221,221,221,221,221,221,222,222,222,222,222,222,223,224,225,225,224,224,224
admin_1,au,au-nsw,60-69,,24,28,30,37,43,54,64,85,96,109,122,136,147,159,163,173,180,190,194,198,202,210,215,219,223,224,223,223,223,227,226,226,226,227,227,228,229,230,231,232,232,233,233,233,233,233,231,232,234,234,234,233,234,234,234,235,235,235,235,235,235,235,236,236,236,236,236,236
admin_1,au,au-nsw,70-79,,5,6,6,7,15,22,42,53,63,78,92,107,111,117,124,130,137,139,143,148,153,155,156,159,160,159,160,161,162,162,162,164,165,166,166,166,167,168,168,168,168,168,169,169,169,170,170,170,170,170,170,170,170,170,170,170,171,171,171,171,171,171,170,170,170,170,170,170
admin_1,au,au-nsw,80-89,,3,3,3,5,7,12,15,23,29,31,32,32,35,36,37,37,40,44,45,47,48,48,49,48,49,49,49,49,49,51,51,51,51,51,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,55
admin_1,au,au-nsw,90-100,0,0,0,0,0,0,1,2,4,4,6,6,6,6,8,10,10,10,11,12,12,12,12,12,12,12,12,12,12,13,15,15,15,15,15,15,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
