region_schema,region_parent,region_child,agerange,2020-05-04,2020-05-06,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25
lhd,au-nsw,central coast,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lhd,au-nsw,far west,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,hunter new england,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
lhd,au-nsw,illawarra shoalhaven,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
lhd,au-nsw,mid north coast,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lhd,au-nsw,murrumbidgee,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lhd,au-nsw,nepean blue mountains,,14,14,14,14,14,16,16,16,16,16,16,17,17,17,17,17
lhd,au-nsw,northern nsw,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,northern sydney,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
lhd,au-nsw,nsw total,,,,,,46,,47,47,47,47,,,50,50,,
lhd,au-nsw,nsw total*,,,,,,,,,,,,,,,,50,50
lhd,au-nsw,south eastern sydney,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
lhd,au-nsw,south western sydney,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
lhd,au-nsw,southern nsw,,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
lhd,au-nsw,sydney,,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3
lhd,au-nsw,total,,,,,,,,,,,,48,49,,,,
lhd,au-nsw,total nsw,,46,46,46,46,,,,,,,,,,,,
lhd,au-nsw,total*,,,,,,44,45,,,,,,,,,,
lhd,au-nsw,western nsw,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lhd,au-nsw,western sydney,,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3
