region_schema,region_parent,region_child,agerange,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-10,2020-05-11,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-22,2020-05-23,2020-05-24,2020-05-25
admin_1,au,au-nsw,,,,,10,6,6,43,11,28,24,10,6,1,0,5,0,3
lhd,,central coast,,0,,,0,1,0,0,0,0,0,0,1,0,0,0,0,0
lhd,,far west,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lhd,,hunter new england,,1,0,3,7,0,3,-1,0,0,1,1,2,1,0,0,0,0
lhd,,illawarra shoalhaven,,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
lhd,,mid north coast,,1,0,1,-2,2,0,0,0,0,0,0,0,0,0,0,0,0
lhd,,murrumbidgee,,1,0,0,-1,0,0,3,0,0,0,0,0,0,0,0,0,0
lhd,,nepean blue mountains,,1,1,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0
lhd,,northern nsw,,0,0,0,0,0,0,0,0,1,1,0,0,0,-1,0,0,0
lhd,,northern sydney,,0,24,0,0,0,1,9,4,9,6,1,0,0,1,0,0,0
lhd,,nsw total,,16,-17,58,10,,,,,,,10,6,1,,5,,
lhd,,nsw total*,,,,,,,,,,,,,,,,,,3
lhd,,south eastern sydney,,8,6,8,5,1,2,11,1,2,0,3,0,0,0,0,0,2
lhd,,south western sydney,,0,1,4,2,0,0,1,0,0,3,3,2,0,0,0,0,0
lhd,,southern nsw,,0,-17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
lhd,,sydney,,1,1,0,0,0,0,7,2,2,3,1,0,0,0,0,0,0
lhd,,total,,,,,,,6,22,,,,,,,,,,
lhd,,total nsw,,,,,,,,,11,,,,,,,,,
lhd,,unassigned,,1,0,,,,,,,,,,,,,,,
lhd,,western nsw,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
lhd,,western sydney,,2,7,0,-1,1,0,3,0,0,2,0,0,0,0,0,0,0
