region_schema,region_parent,region_child,agerange,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25
admin_1,au,au-nsw,,4,130,147,170,211,255,321,402,509,612,705,826,916,980,1030,1105,1163,1205,1249,1291,1322,1342,1368,1389,1414,1429,1428,1434,1439,1446,1465,1473,1486,1493,1494,1495,1497,1499,1508,1490,1491,1494,1498,1496,1503,1507,1509,1509,1510,1513,1514,1514,1516,1517,1517,1517,1521,1523,1524,1526,1526,1526,1527,1527,1527,1528,1530,1531,1533
admin_1,au,au-nsw,0-9,1,,,,,,,,1,4,4,5,9,8,9,9,8,10,9,10,10,11,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17
admin_1,au,au-nsw,10-19,,5,5,8,11,14,16,18,18,18,19,21,23,26,27,30,37,41,43,44,44,44,46,47,47,47,47,48,48,48,48,48,49,49,48,48,48,48,48,48,48,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,51
admin_1,au,au-nsw,20-29,,21,24,30,36,48,69,84,109,137,166,191,217,237,250,270,287,297,303,314,318,320,327,333,339,341,341,345,345,345,347,348,352,353,353,353,353,352,353,354,354,354,355,355,357,357,358,358,360,361,361,361,362,362,361,361,361,361,361,361,361,361,362,363,363,363,363,364,364
admin_1,au,au-nsw,30-39,,35,43,45,55,59,65,76,89,106,117,133,144,151,163,168,181,189,203,213,218,225,230,231,237,238,237,238,240,242,245,245,245,248,249,248,248,248,248,248,248,249,248,248,248,248,248,248,248,249,250,250,250,250,250,250,250,251,252,253,253,253,253,253,253,253,255,255,255
admin_1,au,au-nsw,40-49,,23,22,25,34,40,48,52,63,76,78,95,99,105,110,121,123,124,130,135,139,143,143,146,149,151,151,152,152,153,155,158,158,158,158,160,160,162,165,165,165,165,166,165,166,167,167,167,167,167,167,167,169,169,170,170,170,171,171,171,171,171,171,171,171,172,172,172,172
admin_1,au,au-nsw,50-59,,21,22,27,34,39,50,60,88,101,111,128,142,155,163,176,183,191,193,200,204,207,211,216,216,219,218,217,218,218,217,218,221,221,222,222,223,223,223,224,224,224,225,224,225,225,226,226,226,227,227,226,226,226,226,226,228,228,228,228,228,228,228,228,228,227,227,227,228
admin_1,au,au-nsw,60-69,,15,19,21,25,36,46,69,80,99,120,140,158,166,168,174,184,191,204,207,212,215,222,224,229,235,235,236,237,238,237,238,238,239,238,238,238,237,240,241,242,243,243,243,243,246,246,246,245,244,244,244,244,244,244,244,246,246,246,246,246,246,246,245,245,245,245,245,245
admin_1,au,au-nsw,70-79,,4,5,8,10,12,19,29,40,48,64,84,94,99,104,115,118,118,119,123,131,131,131,134,138,138,139,137,137,138,142,144,145,145,145,145,145,147,147,148,148,148,148,148,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,151,152
admin_1,au,au-nsw,80-89,,2,3,2,2,2,3,7,14,16,19,20,21,23,26,31,33,34,35,35,36,36,36,36,37,37,37,37,38,39,43,43,44,44,45,45,46,46,47,48,48,48,48,48,48,48,48,48,48,48,48,49,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
admin_1,au,au-nsw,90-100,3,4,4,4,4,5,5,7,7,7,7,9,9,10,10,11,9,10,10,10,10,10,10,10,10,11,11,12,12,13,17,17,20,22,22,22,22,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
