region_schema,region_parent,region_child,agerange,2020-04-25,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-06,2020-05-09,2020-05-10,2020-05-11,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-19,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25
admin_1,au,au-nsw,,,,,,2284,2294,2300,2306,2349,2486,2504,2515,2543,2571,2595,2605,2611,2612,2614,2648,2648,2653,2653,2656
lhd,,central coast,,89,92,92,,92,92,93,93,93,99,101,101,101,104,104,104,105,105,105,105,105,105,105,105
lhd,,far west,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lhd,,hunter new england,,216,220,221,221,224,231,231,234,229,230,228,228,228,235,236,237,239,240,240,246,246,246,246,246
lhd,,illawarra shoalhaven,,87,87,87,87,87,87,87,87,87,98,98,98,98,99,103,103,103,103,103,103,103,103,103,103
lhd,,mid north coast,,43,44,45,45,46,44,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
lhd,,murrumbidgee,,30,35,36,36,36,35,35,35,35,42,43,43,43,43,43,43,43,43,43,44,44,44,44,44
lhd,,nepean blue mountains,,83,82,83,84,84,84,84,84,84,94,96,96,96,97,98,99,99,99,100,101,103,107,107,107
lhd,,northern nsw,,45,45,45,45,45,45,45,45,45,49,49,49,49,50,51,51,51,51,51,52,51,51,51,51
lhd,,northern sydney,,345,349,349,373,373,373,373,374,405,408,412,416,416,430,436,437,437,437,437,445,446,446,446,446
lhd,,nsw total,,2193,2227,2243,2226,2284,2294,,,,,,,2517,,2595,2605,2611,2612,,,2648,2653,,
lhd,,nsw total*,,,,,,,,,,,,,,,,,,,,,,,,2653,2656
lhd,,south eastern sydney,,590,598,606,612,620,625,626,628,639,645,647,648,650,651,651,654,654,654,654,657,657,657,657,659
lhd,,south western sydney,,155,158,158,159,163,165,165,165,173,177,180,180,180,189,192,195,197,197,197,205,205,205,205,205
lhd,,southern nsw,,50,50,50,33,33,33,34,34,34,47,49,49,49,49,49,49,49,49,50,51,51,51,51,51
lhd,,sydney,,147,152,153,154,154,154,154,154,181,191,197,199,201,205,208,209,209,209,209,211,211,211,211,211
lhd,,total,,,,,,,,2300,2306,2328,,,,,,,,,,2614,2648,,,,
lhd,,total nsw,,,,,,,,,,2418,2486,2504,2515,,,,,,,,,,,,
lhd,,total*,,,,,,,,,,,,,,2461,2486,,,,,,,,,,
lhd,,unassigned,,,59,60,60,,62,,,,,,,,,,,,,,,,,,
lhd,,western nsw,,31,31,31,31,31,31,31,31,31,32,32,33,33,35,35,35,36,36,36,36,36,36,36,36
lhd,,western sydney,,221,224,226,233,233,232,233,233,236,245,247,247,247,251,253,253,253,253,253,254,254,254,254,254
