region_schema,region_parent,region_child,agerange,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-17,2021-01-18,2021-01-19,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18
admin_1,ng,ng-ab,,0,0,47,0,1,0,0,9,0,9,0,0,0,0,6,31,20,0,23,0,0,19,0,0,19,14,0,0,0,0,28,2,6,13,0,23,0,1,5,4,4,0,0,8,0,27,0,0,9,0,0,9,0,0,11,0,1,0,0,0,7,0,46,0,0,0,0,0,10,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,22,10,-15,0,28,8,0,46,0,0,4,0,0,9,0,15,5,0,0,28,0,41,0,0,17,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,36
admin_1,ng,ng-ad,,0,0,0,0,0,0,0,25,0,0,0,0,0,23,1,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,11,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,17,25,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,36,0,0,0,0,0,33,0,0,47,0,0,0,26,0,0,0,0,33,35,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0
admin_1,ng,ng-ak,,14,0,0,0,0,20,12,13,0,0,0,0,0,0,0,0,0,0,0,13,0,1,0,0,0,6,0,5,0,4,0,0,10,11,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,2,29,0,0,7,11,0,0,16,0,0,5,0,3,0,0,0,0,28,0,0,11,0,36,0,7,0,0,27,52,27,0,0,50,8,0,0,0,6,18,71,0,31,0,39,0,53,38,42,30,0,0,0,15,45
admin_1,ng,ng-an,,0,0,14,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,21,4,0,0,0,13,0,0,8,5,0,0,0,9,0,0,0,3,0,2,0,2,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,5,0,0,0,0,4,0,1,20,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,2,2,0,0,0,0,8,0,0,1,0,0,4,0,-4,14,6,9,0,27,0,0,22,0,47,0,0,53,2,69,0,0,86,0,0,0,0,87,0,86,0,160,0,218,0,0,0,0,0,0,0,0,0,344
admin_1,ng,ng-ba,,0,0,2,0,3,1,0,3,0,1,0,0,2,19,0,0,1,4,3,6,2,0,1,0,1,2,0,2,0,1,13,11,0,0,0,36,0,1,0,1,12,0,9,1,0,2,0,0,0,0,1,0,0,1,8,0,0,0,1,0,1,1,7,0,0,2,1,0,5,2,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,2,3,0,0,0,7,12,0,6,0,2,0,1,0,0,0,0,0,3,1,4,0,8,2,0,10,0,0,6,2,44,6,18,19,0,0,0,7,8,0,52,0,4,10,0,0,31,0,11,0,32,0,19,8,0,3,0,11,7,0,0,0,5,0,8,0,0,0,11,5,5,1,0,0,15,0,0,0,2,4,6,16,3,0,0,12,3
admin_1,ng,ng-be,,66,0,34,0,0,0,0,43,0,9,0,0,0,0,0,10,0,0,0,0,0,53,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,48,0,0,24,0,4,0,0,0,0,23,0,32,0,80,0,19,0,0,0,0,0,20,1,21,63,0,0,33,0,115
admin_1,ng,ng-bo,,1,0,3,1,0,2,4,2,0,1,0,1,0,0,0,0,0,15,0,6,18,30,6,2,0,8,0,5,0,3,0,0,0,33,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,10,4,2,0,4,0,0,11,0,7,0,0,0,0,10,0,-10,0,0,12,0,15,0,0,7,0,5,0,6,9,8,0,0,4,6,0,12,4,4,0,46,11,0,23,0,0,45,5,16,0,0,32,0,41,8,21
admin_1,ng,ng-by,,0,0,0,0,4,0,0,1,0,0,0,0,1,0,11,0,0,3,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,19,0,0,0,0,5,4,2,0,0,7,0,0,1,0,3,0,0,2,0,21,0,0,5,0,10,11,1,0,0,0,0,0,15,0,-15,0,0,26,0,15,0,0,9,0,0,8,10,10,11,0,0,30,0,0,0,0,6,0,6,2,0,16,0,0,0,11,0,4,0,8,0,1,0,4
admin_1,ng,ng-cr,,0,0,0,16,0,5,0,6,0,0,0,5,0,0,0,13,0,0,10,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,8,0,0,10,0,0,0,10,0,0,0,0,20
admin_1,ng,ng-de,,0,0,5,9,7,9,3,8,0,9,10,3,15,9,0,0,10,9,12,16,0,39,0,0,17,13,0,13,0,0,7,0,25,25,0,5,0,7,7,4,11,0,14,0,0,8,0,4,0,12,0,0,0,12,10,0,0,1,0,0,2,6,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,4,10,0,0,0,0,12,13,0,0,11,0,3,1,5,0,0,23,0,33,19,0,19,0,0,39,24,16,20,6,0,65,2,0,0,21,5,51,15,8,0,23,0,9,0,18,19,6,12,7,7,0,16,17
