region_schema,region_parent,region_child,agerange,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05
admin_1,ng,ng-ab,,0,0,68,0,1,0,0,-17,0,17,0,0,0,0,-33,62,40,0,0,0,0,38,0,0,38,-1,0,0,0,0,23,4,11,26,0,-19,0,2,10,-18,8,0,0,-13,0,39,0,0,18,0,0,18,0,0,-37,0,2,0,-21,0,14,0,82,-45,0,0,0,0,20,-19,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-ad,,-3,0,0,0,0,0,0,50,0,0,0,0,0,46,2,-1,0,23,0,0,16,0,0,-4,0,-14,0,0,0,-15,0,-4,0,3,0,0,0,22,0,0,0,0,-13,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-16,0,0,0,0,0,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23,0,0,0,0,8,10,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-ak,,28,0,0,0,0,38,22,26,0,0,0,0,0,0,-29,0,0,0,0,4,0,-24,0,0,0,2,0,10,0,7,0,0,20,10,0,0,0,0,0,0,5,0,0,-3,0,-2,0,0,0,0,0,0,-3,0,0,0,0,2,0,0,0,-9,0,-4,0,0,0,0,0,-2,6,0,0,0,0,0,2,0,0,2,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7
admin_1,ng,ng-an,,0,0,26,0,-1,0,-7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,-36,0,0,28,-12,0,0,0,0,14,8,0,0,0,26,0,0,16,10,0,0,0,9,0,0,0,-8,0,4,0,4,6,0,-1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,14,10,0,0,0,0,8,0,-8,40,0,0,0,0,0,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-ba,,0,0,4,0,6,2,-2,-2,0,2,-2,0,4,36,0,0,2,7,6,12,-2,0,0,0,0,1,0,-1,0,2,26,21,0,0,0,66,0,2,0,0,23,0,16,-29,0,-48,0,0,-4,0,-5,0,0,0,16,0,0,-2,-6,0,2,0,14,0,0,4,-4,0,6,4,0,0,-9,0,0,0,0,0,6,0,6,0,0,0,0,-3,0,0,0,0,-1,-5,0,0,0,0,0,0,2,0,4,0,0,0,2,2,1,6,0,0,0,14,24,0,0,0,4,0,2,0,0,0,0,0,0,2,5
admin_1,ng,ng-be,,132,0,59,0,0,0,0,86,0,13,0,0,0,0,0,13,0,0,0,0,0,59,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,-75,4,0,-61,0,0,0,0,0,0,0,-110,8,0,6,0,0,0,0,0,12,0,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,-19,0,0,0,0,10,0,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-bo,,-5,0,3,-6,0,4,7,-33,0,2,-2,2,-8,0,0,0,0,30,0,12,36,60,12,-4,0,16,0,9,0,6,0,0,0,-3,0,2,0,0,0,-17,-4,0,0,-2,0,0,0,0,0,0,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-by,,-2,0,-3,-21,3,0,-21,-23,0,-13,0,-13,2,-2,22,0,-5,4,-4,0,-5,0,0,-8,0,-5,0,7,0,0,-2,0,-1,-1,0,36,0,5,10,-5,-14,0,26,-3,0,-10,0,0,-2,0,0,-3,0,-2,0,0,2,0,-3,0,0,0,2,0,0,0,2,0,2,-1,0,0,4,0,0,0,0,0,-3,0,0,4,0,0,-3,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,2,-1,6,0,0,0,0,38,0,0,0,0,10,3,4,0
admin_1,ng,ng-cr,,0,0,0,32,0,10,0,4,0,0,0,10,0,0,0,15,0,0,11,-9,-9,0,0,10,0,0,0,-3,0,8,0,0,0,6,0,-14,0,0,0,-7,-3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-de,,0,0,8,14,14,18,5,16,0,-566,-21,6,-73,18,0,0,20,18,24,-13,0,73,0,0,12,26,0,16,0,0,14,0,-9,50,0,10,0,-7,14,-14,21,0,28,0,0,-40,0,8,0,16,0,0,0,11,20,0,0,-12,0,0,-5,12,0,0,0,0,-10,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,6,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,ng,ng-eb,,-2,0,31,38,26,16,46,18,0,0,18,18,0,0,-101,8,0,0,-38,38,0,26,38,0,36,-19,0,45,0,0,12,-9,-28,-2,0,24,0,8,-6,0,2,0,4,40,0,14,0,0,0,2,-7,7,0,8,-11,0,0,0,0,0,0,-5,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
