region_schema,region_parent,region_child,agerange,2020-02-25,2020-03-01,2020-03-05,2020-03-12,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-28,2020-04-29,2020-04-30,2020-05-04,2020-05-06,2020-05-08,2020-05-09,2020-05-13,2020-05-21,2020-06-15,2020-06-18,2020-06-20,2020-06-22,2020-06-23,2020-06-26,2020-06-28,2020-07-01,2020-07-04,2020-07-05,2020-07-07,2020-07-08,2020-07-10,2020-07-12,2020-07-13,2020-07-16,2020-07-19,2020-07-26,2020-07-28,2020-07-30,2020-07-31,2020-08-01,2020-08-03,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18
admin_0,,nz,,1,2,3,4,5,7,9,10,17,22,31,52,70,100,140,178,215,262,297,322,359,392,421,451,471,495,513,524,538,552,559,565,572,573,577,579,586,588,591,597,598,599,601,603,604,605,607,608,611,613,614,615,616,619,620,621,623,624,626,627,628,630,631,632,633,635,636,637,638,639,641,642,643,644,645,647,648,649,650,652,658,662,665,673,677,682,688,689
admin_0,,nz,1-4,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,5,,,6,,,,
admin_0,,nz,10-14,,,,,,,,,,,,,,,1,,,5,6,,7,8,,10,12,,,,,14,,15,16,,,,,,,,,,,17,,,,,,,18,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,20,,,,22,23,,
admin_0,,nz,15-19,,,,,,,,,,,,1,3,4,8,10,14,18,21,24,25,26,27,29,,,30,32,,33,,,,,,34,35,,,36,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,38,39,,,,,40
admin_0,,nz,20-29,,,,,,1,,,2,3,4,11,14,26,40,53,61,75,87,96,104,112,123,131,134,144,151,154,157,159,162,163,,,164,,,,,166,,167,168,,,,169,,170,171,,172,173,,,,,174,,,,175,176,,,177,178,179,180,,,,,181,182,184,,,,185,,186,,188,,189,191,
admin_0,,nz,30-39,,1,,2,,,3,,6,7,8,9,14,20,27,35,40,47,50,52,61,67,68,70,73,76,77,,80,83,84,87,89,,,,,,90,91,,,,,,92,,93,94,,,,,96,,,97,,,,98,99,,100,101,102,,,,,,,103,,,,104,,,,105,,106,107,,108,109,
admin_0,,nz,40-49,,,1,,2,3,4,,5,,8,12,13,14,18,23,28,35,45,50,58,61,65,69,73,76,79,80,85,87,,,89,,90,,,91,,,,,92,,,,,,93,,,,,,,,94,,,,,,,,,,,,,,,,,,,,,95,96,,,97,98,99,100,101,102,
admin_0,,nz,5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,
admin_0,,nz,50-59,,,,,,,,1,,2,3,8,10,17,20,22,29,35,39,40,44,52,61,68,70,71,74,77,79,80,81,82,83,,,,85,,,86,,,,,87,,88,,,,,,,89,,90,,,91,,,,,,,,,,,,92,,,,,,,,,93,95,96,,97,,,98,
admin_0,,nz,60-69,1,,,,,,,,2,4,7,9,12,14,20,25,30,32,34,36,40,46,48,52,53,59,61,62,63,65,,,66,67,69,,70,,,71,,,,72,,,,,,,,,,,,,,,,73,,,,,,,,,,74,,,,,,,,,,,75,,,76,,77,,
admin_0,,nz,70+,,,,,,,,,1,,,2,4,5,6,8,10,12,,15,17,,18,19,24,25,,26,,27,29,,,,,30,33,34,36,,37,,,,,,,,,38,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,40,,,,
nz_dhb,nz,auckland,,1,,,,,,,2,,,4,6,11,14,21,29,32,41,44,,48,50,51,52,54,58,60,,63,65,,,,,,,,,,,,,,,,,,,67,,,,,,,68,,69,70,71,,72,,,,,73,,,,,,74,,,,75,,76,,77,,80,83,86,88,90,
nz_dhb,nz,bay of plenty,,,,,,,,,,,,,,,1,2,3,4,6,,8,9,10,12,,,13,14,,,,15,,,,,,,16,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,canterbury,,,,,,,,1,,,2,3,5,6,11,15,21,23,26,,27,29,,32,35,39,40,44,,45,48,,,50,51,52,,54,,55,58,,,60,,,,,,,61,,,,,,,,,,,,,,,62,64,,65,66,67,68,69,,,,,,,,,,,,,,,,
nz_dhb,nz,capital and coast,,,,,,,,,,1,,,4,7,11,12,13,14,19,23,,,,25,26,28,,29,,31,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,counties manukau,,,,1,,,,2,,,,3,7,8,9,12,14,18,23,25,30,33,36,38,43,,46,47,,48,51,52,,,,54,,55,,56,57,,58,,,,,,,,,,,,,,,,,59,,60,61,62,63,,,,,,,64,,,65,66,68,,69,,71,75,79,,82,83,86,89,90
nz_dhb,nz,hawke's bay,,,,,,,,,,,,,,,1,3,5,6,,,7,,9,10,12,,14,15,16,17,,,,18,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,hutt valley,,,,,,,,,,,,,1,,,,5,7,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,lakes,,,,,,,,,,,,,,1,,3,,,4,,5,,,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
nz_dhb,nz,midcentral,,,,,,,,,,2,,3,,,4,,,6,7,8,,10,11,,,12,,13,,,,,,,,,,,14,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,nelson marlborough,,,,,,,,,,,2,,4,5,6,,,,,7,8,9,11,13,14,16,17,18,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,northland,,,,,,,,,,,,,1,,2,3,4,,,6,,7,8,,9,,10,11,13,,,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,south canterbury,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,6,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,southern,,,,,1,,,,,2,,,4,6,9,12,15,24,33,41,46,50,60,68,77,83,88,92,96,97,98,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,tairāwhiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,taranaki,,,,,,,1,,,,,,,,,2,,4,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waikato,,,,,,,1,,,3,4,6,7,9,11,21,25,31,34,42,46,58,62,64,69,70,73,74,75,,77,,78,,,,,,,,,79,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,wairarapa,,,,,,,,,,,,1,,,2,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,waitematā,,,1,,,2,,,,3,4,5,8,10,16,21,26,,35,41,45,51,56,58,60,61,64,,67,71,74,78,81,83,,,84,88,,89,,,,,91,,92,93,,94,95,96,97,,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,103,,,,
nz_dhb,nz,west coast,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nz_dhb,nz,whanganui,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
