region_schema,region_parent,region_child,agerange,2020-03-27,2020-03-28,2020-08-11,2020-08-12,2020-08-15,2020-08-16,2020-08-17
admin_0,,nz,,1,3,5,6,10,12,14
admin_0,,nz,10-14,,,,,1,,
admin_0,,nz,20-29,1,,,,,,
admin_0,,nz,30-39,,1,2,,,,
admin_0,,nz,40-49,,,,,,1,
admin_0,,nz,5-9,,,,,1,,2
admin_0,,nz,50-59,,1,2,3,5,6,
admin_0,,nz,Unknown,,,,,,,1
nz_dhb,nz,auckland,,,,,1,3,4,5
nz_dhb,nz,counties manukau,,,,2,,4,5,6
nz_dhb,nz,southern,,1,,,,,,
nz_dhb,nz,waikato,,,2,,,,,
