region_schema,region_parent,region_child,agerange,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31
admin_1,ch,ch-ag,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,2,2,5,9,10,,,23,25,27,27,26,,,24,25,23,21,,21,,,22,20,20,20,,,16,18,15,14,14,,,14,11,9,8,8,,,4,4,5,4,3,,,2,2,1,1,1,,,1,2,2,,,,,1,,,1,,,,,1,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ch,ch-be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,21,20,26,28,25,30,26,27,27,25,24,22,21,21,18,12,13,12,13,11,11,10,7,8,10,9,9,7,10,9,7,6,7,7,5,4,6,6,6,6,6,5,6,5,4,4,4,2,2,3,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,1,,,0,,0,,0,,,0,,0,,0,,,0,,0,,1,,,1,,1,,1,,,1,,1,,1,,,1,,0,,1,,,1,,1,,1,,,2
admin_1,ch,ch-bl,,,,,,,,,,,,2,2,2,4,1,1,3,3,2,2,4,5,2,2,2,4,7,10,11,8,9,11,13,14,16,16,17,18,18,17,17,17,17,17,16,15,15,14,12,8,7,6,5,5,5,3,3,3,2,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,
admin_1,ch,ch-ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,7,7,7,8,6,6,8,8,10,9,9,8,8,5,7,7,8,9,10,10,10,10,9,8,8,4,5,4,4,4,4,3,3,3,3,4,4,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
admin_1,ch,ch-sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,,,5,4,,4,4,,3,4,3,2,2,2,,2,
admin_1,ch,ch-ti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,34,37,43,43,48,55,56,51,60,59,61,67,72,73,67,67,61,62,65,64,68,62,59,56,55,54,50,49,44,42,42,42,36,32,32,33,30,26,25,22,21,23,20,16,16,15,14,11,12,11,10,9,8,7,7,7,5,5,4,3,4,4,5,3,5,4,4,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,1,1,1,1,1,,,0,1,0,1,1,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0,0,0,0,0,,,0
admin_1,ch,ch-vs,,,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,5,5,6,7,9,12,14,17,16,19,21,23,23,25,24,23,23,23,22,20,20,19,18,15,14,12,11,12,12,10,10,9,9,10,10,9,9,9,8,9,8,8,8,8,8,8,7,6,5,5,5,7,7,7,7,5,5,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
admin_1,ch,ch-zh,,,,,,,,,,,,,,,,,,,,,,,,,12,15,23,22,27,26,28,35,38,42,46,46,50,54,53,57,59,59,58,60,56,55,50,50,49,50,52,50,51,45,44,43,43,41,44,44,42,38,26,24,19,19,15,14,13,12,11,9,7,7,5,5,5,5,7,8,7,7,8,8,8,6,4,3,4,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,2,2,3,3,3,3,3,5,6,6,6,6,6,6,4,3,3,3,2,1,1,2,3,3,5,5,5,4,4,4,4,4,6,6,6,5,5,5,6,6,6,7,9,9,9,8,7,7,6,5,5,6,5,6,5,5,
admin_1,ch,geneva,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,4,5,5,8,9,17,17,18,21,24,36,41,41,48,48,54,54,55,54,49,58,54,58,51,50,50,48,47,45,47,44,43,42,41,37,33,33,33,33,29,29,27,27,25,26,24,24,21,19,18,17,17,16,16,16,15,13,9,7,7,6,5,6,6,6,5,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,1,1,1,1,1,,,0,0,0,0,0,,,1,2,0,2,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,ch,graubünden; grisons,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,3,3,3,6,7,7,8,8,9,10,11,11,10,10,9,9,8,7,7,6,5,5,5,5,6,7,6,6,7,7,6,7,7,8,8,8,8,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
