region_schema,region_parent,region_child,agerange,2021-01-03
admin_0,,pl,,6945
admin_1,pl,pl-ds,,344
admin_1,pl,pl-kp,,471
admin_1,pl,pl-lb,,113
admin_1,pl,pl-ld,,604
admin_1,pl,pl-lu,,280
admin_1,pl,pl-ma,,281
admin_1,pl,pl-mz,,1046
admin_1,pl,pl-op,,182
admin_1,pl,pl-pd,,173
admin_1,pl,pl-pk,,217
admin_1,pl,pl-pm,,787
admin_1,pl,pl-sk,,98
admin_1,pl,pl-sl,,431
admin_1,pl,pl-wn,,321
admin_1,pl,pl-wp,,915
admin_1,pl,pl-zp,,538
