region_schema,region_parent,region_child,agerange,2021-01-03
admin_0,,pl,,102
admin_1,pl,pl-ds,,10
admin_1,pl,pl-kp,,17
admin_1,pl,pl-lb,,3
admin_1,pl,pl-ld,,4
admin_1,pl,pl-lu,,4
admin_1,pl,pl-ma,,0
admin_1,pl,pl-mz,,15
admin_1,pl,pl-op,,2
admin_1,pl,pl-pd,,11
admin_1,pl,pl-pk,,2
admin_1,pl,pl-pm,,0
admin_1,pl,pl-sk,,0
admin_1,pl,pl-sl,,7
admin_1,pl,pl-wn,,0
admin_1,pl,pl-wp,,24
admin_1,pl,pl-zp,,3
