region_schema,region_parent,region_child,agerange,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03
admin_1,kz,kz-akm,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,7,7,8,8,8,12,12,13,13,13,13,14,14,14,14,14,14,14,23,23,23,23,23,23,24,24,24,24,24,24,24,24,31,31,31,31,31,31,31,31,38,38,38,38,38,38,46,46,46,46,46,46,46,46,55,55,55,55,55,55,55,61,61,61,61,61,61,61,67,67,67,67,67,67,67,71,71,71,71,71,71,71,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,83,83,83,83,83,83,83,86,86,86,86,86
admin_1,kz,kz-akt,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,18,18,18,18,18,18,18,18,19,19,19,19,19,19,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37
admin_1,kz,kz-ala,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,13,15,17,17,18,20,20,23,23,26,26,26,26,26,26,26,26,26,26,26,30,30,30,30,30,30,54,54,54,54,54,54,54,54,54,73,73,73,73,73,73,73,111,111,111,111,111,111,164,164,164,164,164,164,164,164,195,195,195,195,195,195,195,220,220,220,220,220,220,220,252,252,252,252,252,252,252,265,265,265,265,265,265,265,269,269,269,269,269,269,269,270,270,270,270,270,270,270,272,272,272,272,272,272,272,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275,279,279,279,279,279,279,279,283,283,283,283,283,283,290,290,290,290,290,290,290,290,290,302,302,302,302,314,314,314,314,314,314,314,323,323,323,323,323
admin_1,kz,kz-ast,,6,6,7,8,9,9,9,9,10,10,14,14,14,14,15,15,15,21,25,29,32,32,38,38,38,38,45,53,61,61,61,61,61,61,61,61,63,63,63,63,63,63,81,81,81,81,81,81,81,81,195,195,195,195,195,195,195,195,205,205,205,205,205,205,234,234,234,234,234,234,234,234,267,267,267,267,267,267,267,287,287,287,287,287,287,287,303,303,303,303,303,303,303,306,306,306,306,306,306,306,313,313,313,313,313,313,313,314,314,314,314,314,314,314,314,314,314,314,314,314,314,316,316,316,316,316,316,317,317,317,317,317,317,317,317,317,317,317,317,317,317,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,318,319,319,319,319,323,323,323,323,323,323,323,329,329,329,329,329
admin_1,kz,kz-aty,,,,,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,22,22,22,22,22,22,29,29,29,29,29,29,29,29,35,35,35,35,35,35,35,45,45,45,45,45,45,45,48,48,48,48,48,48,48,58,58,58,58,58,58,58,59,59,59,59,59,59,59,60,60,60,60,60,60,60,65,65,65,65,65,65,65,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,71,71,71,71,71,71,71,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,78,78,78,78,79,79,79,79,79,79,79,81,81,81,81,81
admin_1,kz,kz-kar,,3,3,3,4,5,5,5,6,6,6,7,7,7,7,7,7,9,9,10,10,10,10,10,10,10,10,10,10,13,14,14,14,14,14,14,14,38,38,38,38,38,38,75,75,75,75,75,75,75,75,81,81,81,81,81,81,81,81,137,137,137,137,137,137,186,186,186,186,186,186,186,186,241,241,241,241,241,241,241,254,254,254,254,254,254,254,259,259,259,259,259,259,259,264,264,264,264,264,264,264,272,272,272,272,272,272,272,272,272,272,272,272,272,272,275,275,275,275,275,275,275,277,277,277,277,277,277,279,279,279,279,279,279,279,279,279,279,279,279,279,279,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,282,282,282,282,283,283,283,283,283,283,283,284,284,284,284,284
admin_1,kz,kz-kus,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,17,17,17,17,17,17,17,19,19,19,19,19,19,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,27,27,27,27,27
admin_1,kz,kz-kzy,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,12,12,12,12,12,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
admin_1,kz,kz-man,,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,8,8,8,8,8,8,12,12,12,12,12,12,12,12,23,23,23,23,23,23,23,23,31,31,31,31,31,31,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,47,47,49,49,49,49,50,50,50,50,50,50,50,52,52,52,52,52
admin_1,kz,kz-pav,,3,3,4,4,5,5,5,6,7,8,8,8,10,11,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,23,23,23,23,23,23,23,23,23,23,23,23,23,23,28,28,28,28,28,28,28,28,31,31,31,31,31,31,31,37,37,37,37,37,37,37,43,43,43,43,43,43,43,48,48,48,48,48,48,48,49,49,49,49,49,49,49,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,57,57,57,57,58,58,58,58,60,60,60,60,60,60,60,62,62,62,62,62
admin_1,kz,kz-sev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,14,14,14,14,14,14,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,30,30,30,30
admin_1,kz,kz-vos,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,28,28,28,28,28,28,66,66,66,66,66,66,66,66,94,94,94,94,94,94,94,121,121,121,121,121,121,121,138,138,138,138,138,138,138,150,150,150,150,150,150,150,158,158,158,158,158,158,158,164,164,164,164,164,164,164,170,170,170,170,170,170,170,175,175,175,175,175,175,188,188,188,188,188,188,188,206,206,206,206,206,206,206,219,219,219,219,219,219,219,237,237,237,237,237,237,249,249,249,249,249,249,249,249,249,259,259,259,259,273,273,273,273,273,273,273,281,281,281,281,281
admin_1,kz,kz-yuz,,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,11,11,11,11,11,11,18,18,18,18,18,18,18,18,36,36,36,36,36,36,36,36,38,38,38,38,38,38,41,41,41,41,41,41,41,41,42,42,42,42,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
admin_1,kz,kz-zap,,1,1,1,1,1,1,2,2,2,2,3,3,3,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10,10,10,17,17,17,17,17,17,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,34,34,34,34,34,34,48,48,48,48,48,48,48,48,71,71,71,71,71,71,71,86,86,86,86,86,86,86,94,94,94,94,94,94,94,97,97,97,97,97,97,97,100,100,100,100,100,100,100,102,102,102,102,102,102,102,106,106,106,106,106,106,106,109,109,109,109,109,109,110,110,110,110,110,110,110,110,110,110,110,110,110,110,113,113,113,113,113,113,113,117,117,117,117,117,117,121,121,121,121,121,121,121,121,121,128,128,128,128,130,130,130,130,130,130,130,131,131,131,131,131
admin_1,kz,kz-zha,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,35,35,35,35,35,35,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,53,53,53,53,53,53,53,55,55,55,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,59,59,59,59,59,59,59,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
