region_schema,region_parent,region_child,agerange,2020-07-01,2020-07-02,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-08,2020-08-09,2020-08-10,2020-08-12,2020-08-13,2020-08-15,2020-08-16,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-23,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-28,2020-09-29,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-13,2020-11-14,2020-11-16,2020-11-17,2020-11-18,2020-11-20,2020-11-21,2020-11-22,2020-11-27,2020-11-28,2020-11-29,2020-12-01,2020-12-02,2020-12-04,2020-12-05,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-03,2021-01-04,2021-01-05,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07
admin_1,ie,ie-ce,,368,368,368,368,368,368,368,368,369,369,369,369,369,369,369,369,369,369,369,369,369,369,372,372,372,380,380,391,391,391,391,399,399,399,401,401,403,406,411,421,428,432,432,441,441,442,443,445,451,455,457,461,463,471,473,474,477,478,479,479,487,492,495,412,502,503,508,510,519,523,531,536,539,540,543,546,558,568,583,609,626,643,675,707,758,779,838,868,880,929,964,976,1008,1030,1063,1089,1099,1119,1161,1182,1214,1229,1246,1265,1279,1287,1302,1311,1313,1320,1334,1355,1364,1372,1379,1386,1391,1410,1413,1445,1453,1458,1472,1478,1481,1492,1497,1502,1503,1503,1509,1514,1518,1519,1522,1527,1527,1529,1529,1530,1531,1533,1537,1542,1546,1555,1559,1568,1649,1668,1685,1705,1745,1796,1832,1897,2135,2232,2396,2966,3076,3271,3425,3512,3578,3721,3773,3822,3888,3954,4006,4040,4067,4090,4113,4138,4153,4178,4201,4216,4227,4242,4254,4288,4306,4317,4331,4341
admin_1,ie,ie-cn,,862,864,864,864,864,865,865,865,866,865,865,865,866,866,867,867,867,867,867,867,867,867,867,867,867,868,868,870,870,876,876,876,878,878,878,880,881,881,882,882,882,882,882,882,883,883,883,883,886,890,892,892,892,895,895,895,895,900,900,901,902,903,903,882,904,905,910,912,912,916,919,919,919,927,931,932,941,946,953,972,980,985,1006,1021,1052,1083,1163,1199,1238,1260,1451,1532,1559,1603,1634,1714,1800,1858,1912,1935,1975,1994,2005,2024,2041,2050,2052,2062,2075,2078,2083,2089,2089,2092,2096,2103,2106,2128,2134,2141,2150,2157,2166,2168,2171,2184,2185,2187,2194,2196,2209,2212,2217,2225,2235,2241,2254,2264,2268,2279,2306,2312,2318,2331,2345,2351,2358,2371,2402,2413,2441,2467,2533,2573,2596,2688,2861,2983,3143,3362,3455,3544,3581,3609,3675,3750,3761,3876,3886,3958,4017,4066,4096,4129,4154,4165,4172,4197,4208,4223,4241,4261,4266,4311,4324,4330,4349,4381
admin_1,ie,ie-co,,1540,1540,1543,1542,1543,1545,1545,1545,1545,1546,1548,1550,1550,1554,1555,1557,1557,1557,1560,1561,1560,1560,1562,1562,1563,1563,1563,1566,1567,1567,1567,1569,1570,1572,1575,1575,1582,1585,1587,1589,1592,1595,1595,1598,1604,1610,1612,1617,1629,1633,1634,1638,1638,1641,1643,1645,1649,1655,1660,1662,1665,1667,1675,1587,1683,1688,1704,1712,1726,1747,1807,1841,1862,1896,1928,1964,2018,2085,2145,2253,2299,2354,2403,2444,2583,2690,2803,2879,3026,3164,3453,3540,3689,3845,4076,4192,4329,4427,4615,4762,4858,4983,5086,5248,5351,5413,5499,5572,5595,5642,5692,5762,5787,5822,5832,5840,5864,5965,5981,6060,6087,6130,6204,6248,6274,6375,6380,6393,6407,6413,6438,6453,6469,6474,6483,6495,6499,6519,6529,6538,6557,6597,6631,6686,6730,6776,6835,6946,7271,7402,7464,7667,7836,7909,8205,8594,9235,10002,11355,13288,13818,14680,15357,15544,15959,16412,16835,17223,17528,17968,18278,18475,18714,18861,19006,19169,19285,19397,19500,19647,19752,19839,19968,20231,20349,20425,20489,20524
admin_1,ie,ie-cw,,175,175,175,175,175,175,175,176,176,176,176,176,176,177,178,178,178,178,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,180,180,181,185,185,191,197,200,204,204,210,216,216,220,221,236,239,243,244,246,247,249,251,253,254,255,255,255,255,256,191,258,259,271,272,272,274,276,277,278,279,281,281,281,285,286,292,299,300,301,301,302,305,312,316,323,329,339,360,365,385,396,414,418,440,466,482,497,506,519,525,527,535,539,554,556,556,562,564,567,573,575,578,579,586,588,599,601,610,614,615,615,623,631,637,654,663,665,673,683,686,696,710,712,720,729,735,737,742,755,771,782,784,794,797,845,846,847,852,871,900,907,948,1052,1090,1176,1354,1477,1608,1685,1721,1758,1810,1881,1929,1949,2040,2110,2156,2204,2233,2254,2271,2306,2338,2371,2381,2417,2429,2442,2472,2481,2496,2496,2512
admin_1,ie,ie-d,,12262,12264,12270,12255,12263,12266,12275,12287,12294,12308,12312,12326,12231,12342,12367,12379,12385,12390,12411,12422,12424,12439,12450,12459,12464,12480,12487,12505,12520,12524,12549,12551,12559,12564,12569,12574,12617,12624,12625,12660,12675,12747,12760,12824,12871,12913,12968,13077,13187,13220,13272,13330,13352,13483,13535,13587,13611,13744,13812,13868,14048,14206,14326,12636,14556,14665,15008,15124,15239,15405,15717,15882,15980,16142,16294,16398,16608,16960,17149,17496,17720,17821,17951,18061,18368,18491,18732,18956,19205,19391,19913,20145,20424,20832,21066,21269,21523,21766,22138,22396,22645,22872,23065,23305,23535,23622,23790,24109,24198,24343,24459,24633,24705,24884,24960,25042,25094,25496,25618,25792,25894,26064,26289,26415,26502,26899,26991,27088,27220,27273,27547,27666,27812,27880,27956,28025,28124,28243,28319,28394,28527,28676,28868,29059,29343,29652,30000,30298,31341,31587,31879,32323,32681,33179,33702,34057,38973,40905,43169,48366,49404,51492,53005,53578,54646,55865,57052,57983,59049,60501,61224,62236,62992,63701,64079,64581,64834,65270,65739,66176,66782,67213,67553,68682,68924,69221,69602,69987
admin_1,ie,ie-dl,,465,465,466,466,466,467,468,468,468,468,468,468,469,471,471,472,472,472,472,472,472,472,472,472,472,473,473,473,474,474,476,476,476,481,482,486,492,492,495,498,501,504,505,508,510,511,512,516,517,523,523,537,537,540,540,540,540,545,547,547,550,555,560,496,579,591,613,629,642,661,701,719,749,791,813,850,873,918,949,1013,1071,1102,1135,1186,1299,1332,1366,1422,1460,1483,1562,1594,1637,1649,1688,1709,1756,1809,1882,1935,1984,1990,2010,2066,2106,2130,2159,2180,2195,2211,2286,2302,2343,2402,2422,2443,2445,2563,2597,2642,2678,2704,2748,2769,2783,2906,2947,2962,3016,3043,3094,3125,3174,3199,3226,3244,3250,3296,3320,3353,3403,3435,3448,3492,3542,3586,3636,3702,3940,3973,3995,4080,4230,4281,4325,4663,4909,5147,5376,5874,6023,6216,6372,6454,6589,6741,6869,6952,7062,7186,7265,7394,7425,7496,7529,7547,7584,7632,7695,7735,7794,7825,7852,7931,7976,7998,8031,8040
admin_1,ie,ie-g,,486,486,486,486,487,487,486,490,489,489,489,489,489,489,489,491,492,492,492,492,492,493,493,493,493,495,495,495,495,498,498,498,498,498,499,499,500,501,501,501,501,507,508,508,509,509,509,510,513,513,514,514,515,517,517,517,518,525,534,540,546,553,558,501,562,564,574,578,593,595,618,628,650,654,675,679,702,736,765,796,814,837,859,866,931,966,1032,1096,1123,1162,1309,1384,1491,1542,1602,1676,1743,1847,1981,2058,2108,2154,2167,2222,2263,2300,2307,2330,2334,2369,2391,2410,2422,2429,2432,2434,2445,2513,2528,2551,2570,2574,2581,2590,2595,2631,2642,2665,2686,2693,2712,2722,2745,2755,2768,2785,2789,2800,2804,2808,2817,2825,2832,2843,2859,2874,2913,2951,3096,3117,3135,3178,3290,3378,3558,3674,3950,4088,4262,4666,4874,5014,5239,5793,5980,6180,6347,6479,6655,6802,6938,7063,7161,7230,7309,7331,7384,7462,7541,7581,7678,7724,7780,8001,8033,8086,8141,8168
admin_1,ie,ie-ke,,1491,1492,1497,1498,1499,1500,1503,1506,1513,1513,1514,1517,1517,1517,1518,1521,1523,1524,1525,1526,1529,1532,1534,1535,1538,1541,1543,1572,1589,1597,1603,1618,1651,1661,1680,1715,1845,1864,1862,1896,1909,2011,2034,2088,2116,2125,2161,2189,2216,2222,2223,2243,2247,2272,2274,2280,2293,2311,2320,2320,2347,2359,2362,1873,2375,2384,2395,2412,2434,2411,2468,2497,2506,2518,2529,2537,2541,2567,2585,2613,2657,2663,2678,2691,2739,2770,2816,2865,2901,2941,3035,3067,3120,3207,3249,3310,3377,3417,3480,3534,3582,3604,3647,3680,3717,3721,3745,3763,3778,3790,3811,3820,3826,3852,3851,3865,3875,3928,3941,3966,3980,4003,4019,4037,4044,4073,4086,4095,4110,4112,4133,4144,4162,4169,4181,4187,4195,4211,4227,4244,4260,4267,4294,4305,4333,4354,4407,4448,4562,4585,4611,4670,4713,4734,4790,4837,5275,5598,5874,6438,6509,6748,6902,6968,7104,7222,7353,7444,7624,7839,7951,8081,8178,8257,8301,8349,8375,8429,8488,8549,8588,8636,8692,8861,8908,8945,8991,9027
admin_1,ie,ie-kk,,355,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,356,357,357,357,357,357,357,357,357,357,358,359,359,359,367,367,372,372,379,387,387,394,394,397,396,398,400,400,404,403,407,413,413,416,416,422,425,427,361,428,429,433,434,434,437,442,443,444,446,446,452,454,459,459,472,477,483,484,486,497,505,513,526,541,556,571,594,618,628,637,650,659,673,692,700,716,728,733,738,743,750,758,775,783,794,806,811,832,840,848,855,862,878,883,898,909,918,929,931,953,1002,1014,1025,1054,1065,1090,1103,1139,1153,1167,1188,1195,1213,1223,1235,1251,1254,1262,1289,1297,1348,1374,1390,1462,1479,1482,1501,1557,1586,1611,1698,1867,1933,2018,2233,2468,2628,2668,2695,2753,2798,2840,2880,2922,2970,3012,3032,3066,3082,3098,3110,3123,3134,3150,3156,3172,3175,3187,3225,3238,3245,3248,3265
admin_1,ie,ie-ky,,310,310,310,311,310,310,310,311,311,311,314,316,316,316,316,316,316,316,316,316,316,316,317,317,317,317,317,317,317,317,317,318,318,318,318,318,318,320,320,321,321,321,321,323,323,323,325,324,325,325,326,328,328,329,329,330,338,340,340,342,343,343,344,320,349,349,362,362,366,367,368,371,371,371,380,380,384,390,391,405,426,436,445,463,479,515,537,546,553,603,654,662,717,753,800,827,855,877,935,976,994,1015,1032,1052,1063,1066,1078,1092,1098,1118,1164,1174,1197,1215,1220,1221,1238,1255,1266,1278,1288,1291,1302,1303,1308,1329,1331,1335,1344,1342,1345,1348,1351,1351,1352,1352,1356,1360,1379,1387,1402,1427,1459,1479,1508,1531,1558,1593,1709,1729,1751,1808,1838,1854,1948,2046,2303,2424,2657,3036,3111,3303,3362,3413,3478,3532,3623,3672,3715,3774,3827,3853,3888,3924,3942,3959,3976,3990,4006,4025,4050,4062,4071,4121,4128,4153,4167,4171
