region_schema,region_parent,region_child,agerange,2020-07-02,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-09,2020-08-10,2020-08-13,2020-08-16,2020-08-19,2020-08-20,2020-08-21,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30
admin_1,ie,ie-ce,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,11,0,0,0,8,0,0,2,0,3,5,7,0,0,1,1,4,2,4,2,2,1,3,1,1,0,8,3,-83,90,1,2,9,4,5,3,1,3,3,12,15,17,17,32,32,21,59,30,12,49,12,32,22,33,26,10,20,21,32,15,17,19,14,8
admin_1,ie,ie-cn,,2,0,0,1,0,0,1,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,2,0,0,2,0,1,0,0,1,0,0,4,2,0,0,0,0,0,5,0,1,1,0,-21,22,1,2,0,4,0,0,8,4,1,9,7,8,5,21,15,31,80,36,39,22,81,27,44,31,80,86,58,23,40,19,11,19,17,9
admin_1,ie,ie-co,,0,-1,1,2,0,0,0,1,2,2,0,4,1,2,0,0,3,1,-1,0,2,0,1,0,0,3,1,0,0,2,1,2,3,0,3,2,3,0,6,6,2,4,1,4,0,2,2,4,6,5,2,3,8,-88,96,5,8,14,21,34,21,34,32,36,54,60,46,55,49,41,107,113,76,147,138,87,149,156,231,116,137,98,147,96,125,103,162,103,62
admin_1,ie,ie-cw,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,3,0,6,0,4,3,4,1,2,2,2,2,1,1,0,0,1,-65,67,1,1,0,2,1,1,1,2,0,0,1,7,1,1,0,3,7,4,7,6,21,5,20,11,18,4,22,16,15,9,13,6,2,8
admin_1,ie,ie-d,,2,-15,8,3,9,12,7,14,4,14,-95,111,25,12,6,5,21,11,2,15,11,9,5,16,7,18,15,4,25,2,8,5,5,5,7,1,15,13,47,42,55,33,52,58,22,52,52,24,133,68,56,180,120,-1690,1920,109,116,115,166,165,98,162,152,104,210,189,224,101,130,110,123,241,224,249,186,232,279,408,234,203,254,243,258,249,227,193,240,230,87
admin_1,ie,ie-dl,,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,5,1,4,0,3,3,1,2,1,1,6,0,14,0,0,0,0,5,2,0,3,5,-64,83,12,16,13,19,18,30,42,22,37,23,31,58,31,33,51,33,34,56,38,23,32,43,12,39,21,47,53,53,49,6,20,56,40,24
admin_1,ie,ie-g,,0,0,1,0,-1,4,-1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,7,9,6,6,5,-57,61,2,4,15,2,10,22,4,21,4,23,29,18,23,22,7,35,66,64,27,39,75,107,51,60,74,67,104,77,50,46,13,55,41,37
admin_1,ie,ie-ke,,1,1,1,1,3,3,7,0,1,3,0,0,1,3,2,1,1,1,3,3,2,1,3,3,2,29,17,8,6,15,33,10,19,35,19,-2,13,23,28,9,36,6,1,20,4,2,6,13,18,9,0,27,3,-489,502,9,17,22,-23,29,9,12,11,8,4,18,44,6,15,13,31,46,49,36,40,32,53,87,42,61,67,40,54,48,22,43,33,37,4
admin_1,ie,ie-kk,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,7,-1,2,2,0,-1,4,6,0,3,0,6,2,-66,67,1,1,0,3,1,1,2,0,6,2,0,5,6,1,2,8,8,13,15,15,23,24,10,9,13,9,14,8,16,12,5,5,5,7
admin_1,ie,ie-ky,,0,1,-1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,1,8,2,0,2,1,1,-24,29,0,0,4,1,3,0,0,9,0,4,1,21,10,9,18,36,22,9,7,50,8,55,36,47,27,28,22,41,18,21,17,20,11,3
