region_schema,region_parent,region_child,agerange,2020-07-02,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-09,2020-08-10,2020-08-13,2020-08-16,2020-08-19,2020-08-20,2020-08-21,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-16,2020-09-17,2020-09-18,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-14,2020-11-17,2020-11-18,2020-11-21,2020-11-22,2020-11-28,2020-11-29,2020-12-02,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-04,2021-01-05,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18
admin_1,ie,ie-ce,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,11,0,0,0,8,0,0,2,0,3,5,7,0,0,1,1,4,2,4,2,2,1,3,1,1,0,8,3,-83,90,1,2,9,4,5,3,1,3,3,12,15,17,17,32,32,21,59,30,12,49,12,32,22,33,26,10,20,21,32,15,17,19,14,8,15,9,2,7,14,21,9,8,7,7,5,3,8,5,6,3,5,5,0,5,1,3,5,0,2,0,1,1,2,4,5,4,9,4,9,19,17,20,40,51,36,65,97,164,110,195,154,87,66,143,52,49,66,52,34,27,23,23,25,15,25,23,15,11,15,12,18,11,14,10,10,1,20,10,16,15,7,15,31
admin_1,ie,ie-cn,,2,0,0,1,0,0,1,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,0,0,2,0,0,2,0,1,0,0,1,0,0,4,2,0,0,0,0,0,5,0,1,1,0,-21,22,1,2,0,4,0,0,8,4,1,9,7,8,5,21,15,31,80,36,39,22,81,27,44,31,80,86,58,23,40,19,11,19,17,9,2,10,13,3,5,6,0,3,4,7,3,6,9,7,2,3,1,2,2,3,8,10,6,13,10,4,11,27,6,6,13,14,6,7,13,11,28,26,66,40,23,92,122,160,93,89,37,28,66,75,11,115,10,59,49,30,33,25,11,7,25,11,15,18,20,5,13,6,19,32,11,1,8,12,25,3,9,7,16
admin_1,ie,ie-co,,0,-1,1,2,0,0,0,1,2,2,0,4,1,2,0,0,3,1,-1,0,2,0,1,0,0,3,1,0,0,2,1,2,3,0,3,2,3,0,6,6,2,4,1,4,0,2,2,4,6,5,2,3,8,-88,96,5,8,14,21,34,21,34,32,36,54,60,46,55,49,41,107,113,76,147,138,87,149,156,231,116,137,98,147,96,125,103,162,103,62,86,73,23,47,50,70,25,35,10,8,24,16,27,43,44,26,5,13,6,15,5,9,12,4,20,10,9,19,40,34,55,44,46,59,111,131,62,203,169,73,296,389,767,1353,530,862,677,187,415,453,423,388,305,310,197,239,147,145,163,116,112,103,147,105,87,129,118,76,64,35,39,64,34,28,29,20,45,27,28
admin_1,ie,ie-cw,,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,3,0,6,0,4,3,4,1,2,2,2,2,1,1,0,0,1,-65,67,1,1,0,2,1,1,1,2,0,0,1,7,1,1,0,3,7,4,7,6,21,5,20,11,18,4,22,16,15,9,13,6,2,8,4,15,2,0,6,2,3,6,2,3,1,2,2,9,1,0,8,6,9,8,3,10,14,2,8,9,6,2,5,13,16,11,2,10,3,1,1,5,19,29,7,41,38,86,123,131,77,36,37,52,71,48,20,70,46,48,29,21,17,35,32,33,10,36,12,13,9,15,0,16,0,-7,19,11,-10,12,7,7,-3
admin_1,ie,ie-d,,2,-15,8,3,9,12,7,14,4,14,-95,111,25,12,6,5,21,11,2,15,11,9,5,16,7,18,15,4,25,2,8,5,5,5,7,1,15,13,47,42,55,33,52,58,22,52,52,24,133,68,56,180,120,-1690,1920,109,116,115,166,165,98,162,152,104,210,189,224,101,130,110,123,241,224,249,186,232,279,408,234,203,254,243,258,249,227,193,240,230,87,168,319,89,145,116,174,72,179,76,82,52,122,102,170,126,87,92,97,53,119,68,76,69,99,119,76,75,133,149,192,191,284,309,348,298,246,292,444,358,498,523,355,1932,2264,1038,2088,1513,573,1068,1219,1187,931,1066,723,1012,756,709,378,502,253,436,469,437,606,431,340,242,297,381,385,162,512,434,314,320,294,190,435,247
admin_1,ie,ie-dl,,0,0,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,5,1,4,0,3,3,1,2,1,1,6,0,14,0,0,0,0,5,2,0,3,5,-64,83,12,16,13,19,18,30,42,22,37,23,31,58,31,33,51,33,34,56,38,23,32,43,12,39,21,47,53,53,49,6,20,56,40,24,29,21,15,16,75,16,41,59,20,21,2,34,36,26,21,14,41,15,27,31,25,27,18,6,46,24,33,50,32,13,44,50,44,50,66,33,22,85,150,51,44,338,238,229,149,193,156,82,135,152,128,83,110,79,129,31,71,33,18,37,48,63,40,59,31,27,45,22,33,9,20,22,26,9,25,2,12,29,26
admin_1,ie,ie-g,,0,0,1,0,-1,4,-1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,7,9,6,6,5,-57,61,2,4,15,2,10,22,4,21,4,23,29,18,23,22,7,35,66,64,27,39,75,107,51,60,74,67,104,77,50,46,13,55,41,37,7,23,4,35,22,19,12,7,3,2,11,15,19,4,9,5,11,23,7,10,10,13,17,4,11,4,4,9,8,7,11,16,15,39,38,21,18,43,112,88,180,116,138,174,208,140,225,554,187,200,167,132,176,136,125,98,69,79,22,53,78,79,40,97,46,56,32,53,55,27,33,45,137,58,91,77,52,43,84
admin_1,ie,ie-ke,,1,1,1,1,3,3,7,0,1,3,0,0,1,3,2,1,1,1,3,3,2,1,3,3,2,29,17,8,6,15,33,10,19,35,19,-2,13,23,28,9,36,6,1,20,4,2,6,13,18,9,0,27,3,-489,502,9,17,22,-23,29,9,12,11,8,4,18,44,6,15,13,31,46,49,36,40,32,53,87,42,61,67,40,54,48,22,43,33,37,4,24,18,15,12,21,9,6,26,-1,14,10,13,14,23,18,7,13,9,2,11,7,12,6,8,16,16,17,16,7,27,11,28,21,53,41,23,26,59,43,21,56,47,323,276,71,239,154,66,136,118,131,91,180,112,130,97,79,44,48,26,54,59,61,39,48,56,47,37,46,36,28,33,42,35,41,30,46,39,57
admin_1,ie,ie-kk,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,7,-1,2,2,0,-1,4,6,0,3,0,6,2,-66,67,1,1,0,3,1,1,2,0,6,2,0,5,6,1,2,8,8,13,15,15,23,24,10,9,13,9,14,8,16,12,5,5,5,7,8,17,8,11,12,5,21,8,8,7,7,5,11,9,2,22,12,11,11,13,14,14,21,7,18,10,12,16,3,8,27,8,51,26,16,17,3,19,56,29,25,87,66,85,235,160,40,27,58,45,42,40,42,42,20,34,16,16,12,13,11,16,6,16,3,12,13,7,3,17,6,3,6,10,2,8,5,3,6
admin_1,ie,ie-ky,,0,1,-1,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,2,0,0,1,8,2,0,2,1,1,-24,29,0,0,4,1,3,0,0,9,0,4,1,21,10,9,18,36,22,9,7,50,8,55,36,47,27,28,22,41,18,21,17,20,11,3,12,14,6,20,46,10,23,18,5,1,17,11,10,3,1,5,2,4,-2,3,0,1,0,4,4,19,8,15,25,32,20,29,23,27,35,20,22,57,30,16,94,98,121,233,75,192,59,51,65,54,91,49,43,53,26,35,36,18,17,17,14,16,19,25,12,9,7,25,14,4,10,9,3,2,3,1,0,1,4
admin_1,ie,ie-ld,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,1,1,1,0,1,4,1,4,-27,31,2,1,0,0,2,0,0,3,5,2,7,3,2,6,4,3,8,15,0,5,2,18,13,12,14,6,2,9,3,6,7,5,8,4,7,3,2,1,7,3,2,6,1,2,3,2,1,0,3,2,2,5,2,4,1,4,16,3,11,1,1,4,7,2,0,4,-1,2,3,0,1,6,4,18,19,39,5,78,9,43,7,6,28,7,11,5,7,11,14,22,12,10,9,6,13,13,14,15,5,7,5,6,13,4,6,-1,3,8,3,1,18,16,11
admin_1,ie,ie-lh,,0,0,3,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,1,-30,30,0,1,0,0,1,0,0,1,0,1,1,2,0,1,1,0,0,1,1,2,1,1,0,0,2,6,2,0,4,15,18,-79,93,18,5,10,5,10,12,4,8,2,16,8,12,4,18,13,13,37,7,12,2,33,18,7,5,69,56,46,25,30,17,27,25,29,8,23,5,17,7,13,12,6,9,7,12,29,23,21,21,-76,16,14,11,15,10,14,25,14,21,18,9,41,25,13,47,12,36,22,55,38,14,52,111,154,55,46,259,238,496,246,263,205,87,182,235,54,238,44,48,86,116,86,59,66,70,62,59,29,50,36,46,46,12,26,32,19,36,15,42,25,29,21,15,18
admin_1,ie,ie-lk,,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,7,1,9,0,1,0,3,3,3,7,3,5,0,6,4,10,5,4,14,6,13,2,6,13,13,2,15,10,-223,234,6,10,3,5,6,0,6,6,3,6,12,31,24,42,17,15,54,34,20,39,22,75,54,46,73,27,40,45,44,25,48,32,35,5,39,33,6,26,44,21,18,48,32,16,31,20,21,15,25,10,11,29,13,11,19,6,15,16,26,18,23,13,26,31,15,66,35,60,72,45,30,87,81,203,31,209,317,317,198,475,256,119,156,152,250,149,133,121,84,82,102,60,21,31,55,65,47,27,73,40,52,20,46,27,33,28,42,27,46,16,40,40,34
admin_1,ie,ie-lm,,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,11,0,1,-18,21,0,0,-1,0,1,0,1,0,1,1,0,1,3,0,0,6,10,6,9,4,18,1,5,5,4,5,4,2,1,0,0,0,1,0,1,1,0,0,0,0,3,4,2,0,3,3,2,2,0,-1,0,0,0,1,0,1,0,1,2,0,0,2,0,0,1,1,1,0,2,3,4,3,4,5,10,29,12,24,10,20,5,4,4,12,6,12,7,7,2,8,9,9,1,2,5,3,3,4,6,4,4,5,1,0,0,1,10,1,7,5,1,9,6
admin_1,ie,ie-ls,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,2,9,1,3,19,8,1,0,8,4,2,2,4,4,0,3,3,5,0,1,0,1,2,3,2,4,0,0,6,-65,73,4,5,1,0,2,1,0,0,6,0,6,28,4,11,1,15,7,8,6,4,8,13,23,21,14,19,15,19,14,12,7,11,11,6,7,18,8,4,7,16,8,18,5,7,5,8,1,3,1,2,4,3,0,2,2,2,18,9,22,8,5,14,23,10,11,19,2,12,11,2,5,38,23,50,12,104,11,107,5,105,64,41,45,60,53,48,62,38,45,17,18,17,26,9,16,15,18,11,23,27,22,22,21,17,14,27,19,14,16,18,24,22,13
admin_1,ie,ie-mh,,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,5,1,1,0,2,0,-1,1,0,3,0,1,0,1,0,3,1,4,0,4,1,4,5,0,3,4,9,1,0,2,6,2,6,1,2,4,3,-89,98,10,3,1,5,11,8,6,15,3,12,9,13,5,34,20,42,72,48,37,38,102,108,80,30,221,94,97,50,62,18,69,61,49,11,19,26,35,20,34,21,10,18,7,12,13,5,31,21,9,3,11,6,9,0,10,15,6,15,15,6,10,12,17,42,24,31,28,36,38,12,46,65,96,63,26,178,196,339,178,216,124,103,71,221,113,145,114,132,117,95,103,60,45,41,71,36,115,25,33,36,46,37,70,31,21,43,10,60,37,19,50,30,30
admin_1,ie,ie-mn,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,13,0,0,0,0,2,3,0,1,4,0,-43,43,0,1,0,2,3,0,30,-13,5,15,1,12,2,19,15,12,25,25,21,3,15,1,17,13,38,11,23,19,5,12,6,6,12,0,8,1,7,3,2,17,4,4,2,2,7,1,3,7,4,5,3,12,11,6,5,8,6,1,2,0,12,-93,110,9,6,8,16,41,32,0,59,56,44,34,26,130,117,275,135,139,160,33,100,66,133,84,42,91,37,91,20,61,53,27,52,50,41,8,23,50,30,21,47,12,3,36,15,15,13,23,14,10,18
admin_1,ie,ie-mo,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,2,1,1,0,11,-14,18,4,0,9,3,6,1,1,5,0,4,0,6,5,5,5,5,16,21,11,9,26,16,30,27,28,36,35,16,24,22,4,10,18,41,10,9,7,12,16,26,26,5,5,3,9,4,10,8,7,16,5,10,0,2,7,11,33,8,11,12,9,22,10,5,2,9,2,9,19,18,9,69,66,67,104,233,100,126,196,95,183,511,142,106,120,101,103,101,57,79,52,46,38,34,34,97,18,38,16,31,39,17,30,19,20,10,43,24,18,22,19,31,22
admin_1,ie,ie-oy,,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,5,0,3,23,27,11,2,-1,2,2,0,2,1,1,0,1,1,3,4,8,3,4,2,2,-68,76,0,3,3,7,3,2,4,0,6,2,5,9,6,18,6,10,11,7,8,8,0,38,25,13,18,14,7,15,2,12,6,5,14,3,2,6,0,-2,3,7,0,16,3,1,17,17,4,6,0,1,4,4,0,6,4,0,3,1,10,1,6,8,9,1,2,0,0,8,2,4,2,17,14,28,25,86,11,135,6,62,34,32,66,34,41,44,64,32,49,15,64,28,34,22,28,16,18,20,18,9,15,12,8,12,6,23,25,19,13,35,24,15,23
admin_1,ie,ie-rn,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,8,0,0,0,0,0,0,1,0,0,1,-22,26,2,0,1,1,6,3,6,4,2,8,4,7,13,4,6,4,19,3,17,3,7,9,27,10,3,20,17,13,9,3,5,3,13,2,10,24,6,13,2,7,2,0,8,18,2,12,8,6,4,5,2,0,4,1,1,2,4,2,2,0,2,3,7,1,1,1,6,2,4,5,10,11,7,9,63,68,30,24,85,16,72,116,27,38,32,29,11,12,22,3,14,7,5,1,2,13,8,11,1,14,11,7,8,7,1,2,3,6,8,5,1,7,4
admin_1,ie,ie-so,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-6,6,0,0,3,0,0,1,0,0,1,4,0,7,14,7,7,20,9,13,13,7,34,15,8,27,27,18,30,22,23,7,4,7,9,12,9,12,8,6,13,1,5,8,3,4,4,0,5,2,1,5,2,2,2,0,0,4,7,2,8,1,2,4,2,11,5,14,8,4,9,12,12,15,31,29,10,150,50,93,44,43,22,10,13,24,20,24,24,24,24,21,25,22,13,5,6,15,12,26,15,6,9,6,15,4,2,7,7,5,10,5,-1,4,7
admin_1,ie,ie-ta,,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,11,5,12,4,9,6,-1,2,3,5,2,2,2,4,1,-191,193,2,1,6,2,1,2,1,6,0,5,2,9,8,13,8,7,13,10,10,15,22,16,36,17,11,11,9,26,17,6,20,14,4,25,23,15,11,11,13,12,7,16,9,17,11,2,6,12,8,0,13,8,6,7,2,18,5,5,19,5,4,3,12,4,3,12,4,8,4,21,7,12,25,32,25,59,66,124,118,258,156,57,37,135,83,62,70,95,45,94,40,31,44,43,35,32,22,40,42,20,13,16,5,31,9,15,20,16,8,19,27,25,25
admin_1,ie,ie-wd,,0,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,2,0,0,1,3,4,5,2,0,2,2,-61,87,7,14,8,6,5,0,-1,3,2,0,2,3,4,1,8,10,13,9,4,7,32,28,5,14,22,7,25,22,16,20,4,23,11,22,1,13,16,5,17,2,17,3,4,11,11,18,6,7,2,2,4,2,6,1,8,14,6,6,4,8,5,-2,11,11,13,17,15,27,10,17,4,16,26,37,5,67,103,186,513,280,49,94,166,98,104,153,129,35,50,101,54,45,54,14,35,77,22,56,53,31,38,20,36,8,27,22,37,13,5,36,10,20,31
admin_1,ie,ie-wh,,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,1,0,0,1,2,0,0,1,2,1,6,-30,37,2,1,0,1,2,1,4,7,8,3,5,5,2,4,13,11,12,12,32,20,3,41,40,31,24,86,20,16,26,27,13,-2,26,7,11,33,8,8,10,4,3,9,4,4,7,11,4,4,2,0,1,1,1,0,-5,0,8,1,3,0,8,1,1,3,2,8,-4,-2,9,8,12,27,29,18,23,33,12,123,10,54,47,29,50,32,7,32,37,29,24,32,20,22,17,11,22,16,26,8,11,-19,34,13,23,20,18,19,24,21,15,8,10,16,18
admin_1,ie,ie-ww,,0,0,-1,1,1,2,3,2,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,1,0,2,1,0,3,1,1,1,2,1,3,3,0,2,-1,0,7,5,0,8,7,-70,85,2,19,7,6,6,13,5,2,1,6,15,9,8,5,6,2,7,11,11,16,20,26,32,6,12,11,11,16,11,10,13,12,9,10,13,5,0,6,14,3,3,18,1,2,31,13,2,7,2,7,29,12,6,10,5,12,2,2,11,7,3,5,9,6,7,10,11,15,14,23,15,19,20,18,15,18,86,98,39,115,107,23,72,95,63,45,32,34,77,60,32,28,25,16,32,28,36,13,33,19,19,14,23,12,22,24,25,9,5,7,8,5,14
admin_1,ie,ie-wx,,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,2,6,0,1,1,0,6,2,4,5,8,8,0,2,2,3,0,5,1,15,0,-81,89,6,5,3,1,0,0,3,5,5,1,2,8,4,10,14,13,23,22,34,62,28,80,35,11,51,25,19,15,16,13,4,29,4,5,8,7,5,0,21,-2,6,6,3,3,3,9,2,8,3,1,1,1,0,2,7,5,3,7,11,14,12,18,45,58,32,37,48,59,37,40,5,33,52,58,30,103,125,244,406,412,312,114,125,332,-94,136,43,32,93,135,39,88,86,20,29,52,72,7,98,74,79,46,23,9,29,27,49,18,17,22,6,20,3
