month,seek
2020-03,62
2020-04,15094
2020-05,30937
2020-06,47006
2020-07,62462
2020-08,78443
2020-09,94418
2020-10,109908
2020-11,126146
2020-12,142167
2021-01,158882
2021-02,175440
2021-03,190147
2021-04,206473
2021-05,222458
2021-06,238893
2021-07,254573
2021-08,270628
2021-09,286745
2021-10,302429
2021-11,318696
2021-12,334653
2022-01,351058
