region_schema,region_parent,region_child,agerange,2020-01-26,2020-03-24,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-05,2020-04-06,2020-04-07,2020-04-12,2020-04-13,2020-04-14,2020-04-19,2020-04-20,2020-04-21,2020-04-27,2020-04-28,2020-04-29,2020-05-01,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-11,2020-05-12,2020-05-13,2020-05-18,2020-05-19,2020-05-21,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-29,2020-05-30,2020-06-01,2020-06-02,2020-06-03,2020-06-05,2020-06-09,2020-06-10,2020-06-13,2020-06-18,2020-06-19,2020-06-23,2020-06-24,2020-06-28,2020-06-29,2020-07-02,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-11,2020-07-13,2020-07-15,2020-07-17,2020-07-21,2020-07-27,2020-08-02,2020-08-03,2020-08-04,2020-08-18,2020-08-23,2020-08-25,2020-08-26,2020-08-27,2020-09-01,2020-09-06,2020-09-07,2020-09-08,2020-09-10,2020-09-12,2020-09-15,2020-09-20,2020-09-21,2020-09-22,2020-09-26,2020-09-28,2020-09-29,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-11,2020-10-12,2020-10-13,2020-10-17,2020-10-18,2020-10-20,2020-10-21,2020-10-27,2020-10-28,2020-10-31,2020-11-01,2020-11-05,2020-11-08,2020-11-10,2020-11-11,2020-11-12,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-12-06,2020-12-08,2020-12-09,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-26,2020-12-27,2020-12-29,2020-12-31,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-11,2021-01-12,2021-01-14,2021-01-18,2021-01-20,2021-01-21,2021-01-28,2021-01-29,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-07,2021-02-10,2021-02-11,2021-02-12,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-25,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-08,2021-03-09,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-04-09,2021-04-15,2021-04-16,2021-04-19,2021-04-20
admin_0,,af,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3261,,,,,,,,,2645,,,,,,,,,3482,,,,,,,3664,3852,,,,,3983,,,,,,4102,,,,,,4174,,,,,,,4286,,,,,4476,,,,,,4715,,,,,,,,4877,,,,,,,,,5329,,,,,,,,,,,,,5924,,,,,,,,,6147,,,,,,,6328,,,,,,,,,,,,,,,,,,,,6662
admin_0,,at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_0,,br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139399,,,,,,,,,,,,,,,105869,,,,,,148742,,,,,,191413,,,,,236785,,,,,,,,,,,351660,,,,,,388811,,,,,,,417979,,,,,442655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002543,,,,,,,,,1077185,,,,,1147737,,,,,,,,,,,,,,,,,,1183332,,,,,,,,,,,,,,,
admin_0,,ca,,,,,,,351,,521,,,697,,,1677,,,2268,,2784,,,,,3400,,,3750,,,4140,,,,4528,,,,,8313,,,,9246,,,,,10053,,,,,,10381,,,,,,,10816,,,11090,,,,,,,11511,,,,,,11738,,,,,12036,,,,,,,13006,,,,,,15664,,,,,,17420,,,,,,,,,21254,,,,,,25779,,,,27273,,,,,,,,,,,,37454,,,,,,,42242,,,,,45056,,,,,,47302,,,,,,49062,,,,,,,,56573,,,
admin_0,,ch,,,,,1069,,1615,,,2180,,,2537,,2936,,,,3340,,,3632,,,,3795,,,,3860,,3904,,,,,3931,,,,,3971,,3983,,,,,4018,,,,,,,,4065,,,,,4132,,,,4351,,,,,,4548,,,,,,4689,,,,,4843,,,,,,,,5108,,,,,6262,,,,,,9446,,,,,,,,,,12965,,,,,,,16077,,,,,,,,,,19802,,,,,,,21553,,,,,22426,,,,,,,,23366,,,,,,,24113,,,,,,24689,,,,,27118,
admin_0,,cl,,,,,,313,,377,,,563,,,1194,,,1760,,,2067,,,2555,,,,3085,,,,,,5548,,,,,7639,,,,,122495,,,,,17158,,,,,,21286,,,,,,,23864,,,26922,,,,,,,38475,,,,,42532,,,,,,,,,,,,,50061,,,,,,,,,,,,54188,,,,,55368,,,,,,,,,,57086,,,,,,,,,60845,,,,,,62619,,,,,,,66809,,,,,,,,77968,,,,,,,,,,,,,,77276,,,,,,104524,,
admin_0,,co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26515,,,,,,,,,,25111,,,,,22187,,,,,,,22326,,,,,18845,,,,,,,,,,,,,,,,,,,,,
admin_0,,dk,,11713,,,,,,,,1173,,,1357,,,1577,,,1779,,1951,,,,,2073,,,2134,,,2192,,,,2244,,,,,,2286,,,2308,,,,2342,,,,,,,2627,,,,,,2659,,,,2709,,,,,,2822,,,,,,2951,,,,,,3208,,,,,,,3458,,,,,3770,,,,,,4307,,,,,,,,4904,,,,,,,,5623,,,,,,,,,8373,,,,,10185,,,,,,,,,,,,,,,,11936,,,,,,12505,,,,,,,,12893,,,,,,14035
admin_0,,ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576,,,,,,,625,,,,,709,,,,,,,,,936,,,,,,,,1490,,,,,,,,,,2263,,,,,,,2835,,,,,,3365,,,,,,,,4064,,,,,,,,,,,,5840,,,,,7903,
admin_0,,es,,,,,,20330,,32031,,32945,,,43552,,57133,,,67590,,,83712,,,87455,,,,91684,,,91801,,92087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237570,,245648,,,,,,,,,,,,303951,,,,,,313135,,,,,,319685,,,,,,338492,
