region_schema,region_parent,region_child,agerange,2020-03-31,2020-04-01,2020-04-02,2020-05-06,2020-06-22
admin_0,,ie,,295,,,261,
admin_0,,jp,,,,,,52
admin_0,,no,,,,218,,
admin_0,,ro,,192,,,,
admin_0,,se,,,407,,,
admin_0,,th,,127,,,,
