region_schema,region_parent,region_child,agerange,2020-10-15,2020-10-29
admin_1,et,et-aa,,122,122
admin_1,et,et-af,,1,1
admin_1,et,et-am,,3,3
admin_1,et,et-be,,0,0
admin_1,et,et-dd,,6,6
admin_1,et,et-ga,,0,0
admin_1,et,et-ha,,1,1
admin_1,et,et-or,,6,6
admin_1,et,et-sn,,0,0
admin_1,et,et-so,,4,4
admin_1,et,et-ti,,2,2
