region_schema,region_parent,region_child,agerange,2020-04-29,2020-04-30,2020-05-01,2020-05-04,2020-05-06,2020-05-13
admin_1,et,et-aa,,54,54,54,55,60,125
admin_1,et,et-am,,3,3,4,4,5,7
admin_1,et,et-dd,,7,7,7,7,7,7
