month,seek
2020-04,62
2020-05,42094
2020-06,94186
2020-07,141908
2020-08,190796
2020-09,239691
2020-10,287001
2020-11,335888
2021-01,361122
2021-02,386530
2021-03,400822
2021-04,432582
2021-05,462754
2021-06,469106
2021-07,497691
2021-08,511984
2022-01,532628
