region_schema,region_parent,region_child,agerange,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24
admin_1,fr,fr-01,,17,18,10,0,8,16,38,0,9,8,3,6,4,3,7,4,10,3,9,6,0,4,3,13,2,0,1,2,5,15,5,2,0,1,7,9,7,7,5,3,8,23,3,15,14,6,1,16,10,6,1,5,2,0,5,11,4,7,5,2,0,0,1,5,5,11,4,0,6,25,9,28,26,2,12,23,13,29,20,38,7,3,31,17,47,18,4,14,44,11,12,31,50,31,1,26,53,33,64,94,65,19,40
admin_1,fr,fr-02,,23,30,21,17,5,7,18,28,4,15,5,16,24,9,17,14,2,4,4,3,21,2,16,25,16,15,13,18,9,18,13,1,4,18,3,19,2,1,1,5,15,6,3,8,2,1,8,2,8,1,10,6,5,2,9,5,11,15,2,2,2,8,0,4,2,5,1,4,2,20,0,10,6,4,0,14,4,2,1,5,8,28,8,6,0,8,6,1,19,0,23,8,3,0,2,6,26,13,15,32,15,28,17
admin_1,fr,fr-03,,0,6,4,4,1,5,6,6,15,20,1,3,7,0,0,8,0,0,0,3,1,2,0,0,0,0,0,0,2,7,3,2,0,3,5,0,2,0,0,0,0,2,0,2,2,0,4,0,4,2,0,2,0,0,0,2,0,4,0,0,1,1,0,12,1,1,0,0,0,12,4,4,6,4,8,0,3,3,1,3,0,5,6,1,1,1,2,0,0,14,0,4,6,0,0,9,15,0,17,15,7,3,8
admin_1,fr,fr-04,,3,3,1,0,0,0,2,2,2,1,1,0,0,0,0,4,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,2,3,3,0,0,2,12,1,1,3,5,0,4,1,1,10,5,17,2,8,9,29,10,26,12,0,0,16,30,17,23,10,3,12
admin_1,fr,fr-05,,6,8,0,0,2,3,11,2,0,0,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,2,1,5,5,4,5,4,4,8,6,3,15,4,2,10,13,18,7,0,0,0,3
admin_1,fr,fr-06,,44,40,25,3,9,93,26,10,3,5,7,14,15,35,15,8,8,0,0,5,30,16,15,20,2,4,8,10,12,7,3,1,1,4,4,0,5,5,0,1,3,8,3,7,4,0,4,3,5,6,3,7,0,6,2,5,1,30,1,3,5,10,11,8,23,22,9,16,18,34,16,43,105,1,19,51,21,71,71,104,53,24,128,107,141,151,81,62,121,215,198,222,245,154,18,153,400,375,540,207,561,7,126
admin_1,fr,fr-07,,9,4,10,0,0,5,3,0,1,3,2,0,2,9,0,16,2,7,1,8,2,2,5,0,2,4,12,4,11,13,10,1,5,14,10,20,3,3,0,0,2,1,5,4,1,1,2,3,0,2,2,0,0,1,2,5,8,2,21,3,2,4,0,4,14,2,0,6,0,4,3,9,0,0,6,1,2,9,0,8,0,4,4,2,3,9,2,4,7,13,9,7,13,14,1,1,35,4,21,23,4,6,8
admin_1,fr,fr-08,,9,9,6,2,2,5,5,10,6,2,0,1,7,2,2,2,0,0,0,2,4,6,0,2,0,2,2,2,6,4,0,0,2,4,5,16,11,2,0,4,0,2,2,0,6,0,0,2,0,0,1,1,8,0,0,0,1,1,0,0,0,6,0,0,0,0,0,2,2,0,8,0,0,0,0,0,6,2,0,2,1,1,4,6,3,3,0,0,0,4,4,2,7,6,3,10,3,9,2,8,8,0,6
admin_1,fr,fr-09,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,5,3,1,5,0,4,0,4,2,0,0,0,1,5,8,0,0,0,6,7,9,15,15,6,0,13
admin_1,fr,fr-10,,4,1,9,0,3,7,13,11,0,0,2,2,5,17,2,4,8,0,0,2,2,5,1,0,0,2,0,2,1,1,1,1,0,0,4,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,1,4,0,1,5,0,2,2,0,3,3,0,6,2,4,2,0,0,0,0,1,11,4,1,1,8,0,4,4,10,6,24,0,2,2,12,10,0,33,17,2,56,5,49,8,36,5,5,6
admin_1,fr,fr-11,,53,42,0,0,5,14,6,13,0,8,2,1,3,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,3,3,1,0,4,0,0,1,1,0,0,0,10,4,4,8,2,0,14,14,13,13,18,14,0,2,31,28,21,14,16,8,9
admin_1,fr,fr-12,,15,19,22,0,1,5,4,0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,2,0,0,4,3,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,3,4,3,2,7,5,4,0,8,6,0,1,1,0,1,3,4,14,10,10,0,6,6,19,19,3,9,2,7
admin_1,fr,fr-13,,127,130,52,25,124,32,59,79,26,43,14,1,55,67,24,76,34,15,32,15,75,38,192,12,22,26,74,59,81,82,26,12,31,41,36,36,37,9,9,3,14,27,23,9,25,15,54,9,15,22,21,44,17,44,19,25,87,117,41,15,5,84,30,75,29,46,16,27,61,166,25,83,80,3,17,203,261,89,239,198,10,380,26,386,610,94,345,119,245,613,308,883,1305,49,93,563,1246,1648,242,1282,826,67,480
admin_1,fr,fr-14,,3,13,3,6,10,3,3,0,2,3,3,1,1,6,0,2,4,2,3,2,5,0,1,1,0,2,0,2,2,0,2,0,1,5,1,3,0,4,0,0,2,11,1,0,0,2,2,2,4,8,1,5,0,1,9,9,8,3,8,0,3,11,4,8,24,10,6,10,26,5,19,0,6,5,2,13,6,12,12,6,0,0,10,5,7,6,14,10,8,32,1,23,15,20,17,10,33,20,26,25,33,21,19
admin_1,fr,fr-15,,2,2,0,0,3,3,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,2,0,0,0,2,0,0,6,0,4,0,10,0,1
admin_1,fr,fr-16,,4,2,2,0,0,16,7,9,6,9,1,2,2,8,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,4,0,2,2,8,4,1,3,0,0,0,2,7,5,0,0,0,0,2,2,0,0,0,1,3,0,8,6,0,5,3,21,5,10,26,1,7,4
