region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-14,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-21,2020-07-22,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-06,2020-08-09,2020-08-10,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-24,2020-08-26,2020-08-27,2020-08-31
admin_1,om,om-bj,,474,501,523,586,607,684,685,699,739,860,853,933,931,977,960,1013,1048,1116,1227,1312,1376,1443,1513,1614,1608,1661,1776,1911,2054,2206,2489,2571,2585,2596,2735,2898,2850,2915,3193,3228,3230,3246,3330,3141,2977,2829,2919,2905,2780,2617,2512,1257,739,478,298,312,334,374,373,373,337,287,291,321,310,292,237
admin_1,om,om-bs,,553,598,606,655,694,696,605,508,552,685,662,701,683,705,607,767,745,851,1028,1081,1262,1258,1314,1456,1616,1774,1794,1761,1924,2333,2232,2265,2433,2787,2938,3077,3559,4043,4656,4723,5030,4978,5600,5621,5031,5163,5221,5078,4899,4652,4490,2268,1522,1168,1060,1087,1117,1108,1139,1143,1126,1072,1078,1126,1089,1128,1063
admin_1,om,om-bu,,96,97,96,104,110,114,105,113,122,129,120,129,120,122,119,133,126,150,171,172,181,180,179,204,193,211,210,215,213,215,231,221,206,208,206,203,219,206,185,192,200,194,211,212,230,229,232,231,213,218,221,145,53,47,38,34,31,33,37,31,29,30,29,33,33,25,14
admin_1,om,om-da,,237,242,236,257,265,297,244,200,204,278,323,369,395,421,440,463,499,532,576,653,704,743,769,853,849,891,912,991,1041,1151,1198,1201,1230,1243,1345,1366,1383,1509,1520,1517,1551,1584,1598,1733,1503,1452,1463,1452,1415,1329,1288,807,601,497,500,470,451,422,434,451,458,463,453,456,446,439,423
admin_1,om,om-ma,,8209,8725,8872,9421,10178,11097,11492,10843,10715,11245,11642,11303,10427,10342,9774,9647,9772,10174,10165,10400,10863,10924,10820,10888,10314,10164,10351,10287,10313,10124,9761,8963,8935,8806,8947,8654,8559,8750,8917,8983,8852,8895,8739,9061,7709,7687,7599,7076,7008,6615,6463,3933,2994,2562,2489,2447,2464,2522,2473,2457,2500,2534,2533,2575,2539,2505,2209
admin_1,om,om-mu,,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,4,4,4,4,4,5,5,6,6,6,6,6,5,7,10,13,13,15,16,16,17,18,18,19,15,15,12,13,14,13,17,15,18,17,15,13,9,6,3,4,4,3,3,2,3,3,8,9,10,10,7,7
admin_1,om,om-sj,,111,124,141,157,172,177,173,170,175,203,210,248,255,271,235,222,229,227,251,262,265,282,287,296,303,298,326,309,318,356,401,412,441,454,503,518,540,543,581,660,642,609,643,598,634,528,474,468,347,348,311,107,56,59,61,65,71,74,88,89,102,110,87,128,129,133,142
admin_1,om,om-ss,,111,133,125,151,160,170,175,167,166,179,190,138,162,173,175,222,241,255,280,312,330,339,367,361,357,365,361,385,402,417,459,472,471,459,517,534,566,605,694,729,717,704,772,799,729,774,750,745,741,680,644,317,139,75,53,58,58,67,68,70,73,85,80,81,77,69,64
admin_1,om,om-wu,,42,110,110,132,205,278,391,389,486,618,735,860,862,873,832,821,748,792,805,710,715,626,525,427,425,277,273,271,262,266,355,269,248,244,238,225,247,218,226,207,200,197,157,165,132,139,115,115,119,109,110,35,15,6,8,4,4,4,5,6,6,6,2,15,16,17,33
admin_1,om,om-za,,82,80,71,73,74,66,51,31,37,39,59,65,62,72,77,90,100,128,135,165,162,189,195,217,245,246,257,269,274,340,316,394,392,430,450,454,504,581,578,601,633,605,611,594,571,589,523,568,491,522,516,262,7,11,11,10,4,3,5,6,6,7,5,11,10,13,23
admin_1,om,om-zu,,11,14,16,25,26,33,41,42,45,52,127,135,167,208,214,276,276,302,333,351,375,410,456,465,553,576,581,645,759,780,916,992,1013,1225,1250,1248,1215,1329,1359,1421,1354,1315,1430,1338,1081,1019,1011,981,885,812,749,366,244,236,216,211,222,202,210,197,204,213,207,204,204,211,193
