region_schema,region_parent,region_child,agerange,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-09,2020-06-10,2020-06-11,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-10,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-27
admin_1,om,om-bj,,7,25,0,0,63,65,7,90,76,68,35,48,18,43,57,68,106,47,69,62,62,147,74,70,31,1,108,163,149,168,111,146,387,175,227,528,477,98,210,217,271,193,275,79,3,1,6,10,52,77,3,0
admin_1,om,om-bs,,8,39,0,0,138,161,2,64,40,117,57,164,166,58,107,12,20,99,20,88,23,121,110,264,73,419,335,55,19,27,30,72,351,262,270,642,208,429,544,372,387,236,396,41,47,31,21,22,53,83,34,129
admin_1,om,om-bu,,1,8,0,0,10,4,7,31,1,23,3,5,7,4,5,6,12,15,3,9,17,10,13,6,3,5,27,27,6,20,14,0,25,3,16,16,28,15,2,32,4,9,8,13,3,0,0,10,2,2,4,0
admin_1,om,om-da,,6,34,0,0,86,63,24,0,3,6,5,16,7,31,24,37,17,31,47,24,41,43,49,27,35,48,65,65,101,70,68,75,114,146,77,154,87,82,112,116,114,117,137,41,45,45,0,12,20,5,21,40
admin_1,om,om-ma,,5,474,0,0,24,1122,923,696,850,1319,578,1115,481,594,644,390,288,631,573,493,1003,433,405,691,603,1327,1145,555,599,750,694,436,1070,582,405,778,1017,350,626,413,611,397,503,84,38,18,80,50,20,32,92,0
admin_1,om,om-mu,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,2,0,1,4,0,4,4,1,3,0,1,2,2,3,0,1,0,1,0,1,0,1,3
admin_1,om,om-sj,,0,5,0,0,16,15,6,20,2,3,17,39,18,19,17,22,16,8,24,18,26,25,14,38,22,6,24,26,23,50,15,22,109,22,77,120,64,74,69,148,53,53,3,25,2,1,4,5,2,4,26,10
admin_1,om,om-ss,,3,11,0,0,3,18,11,40,78,2,2,9,1,4,5,10,8,9,9,29,15,31,29,14,11,44,20,29,42,31,17,33,25,68,40,29,43,59,66,35,87,66,71,1,4,0,6,7,4,3,5,0
admin_1,om,om-wu,,0,0,0,0,1,10,3,8,24,9,7,62,73,79,1,120,14,97,122,112,2,152,16,23,42,1,88,21,23,31,17,8,21,66,5,4,24,29,5,6,10,0,12,0,0,0,0,1,0,0,4,0
admin_1,om,om-za,,3,9,0,0,20,26,0,0,4,4,4,1,0,17,4,6,11,5,1,0,16,14,11,2,16,60,11,18,19,0,8,1,60,23,56,47,3,90,5,122,21,17,5,5,6,3,0,0,1,4,2,0
admin_1,om,om-zu,,0,0,0,0,4,4,0,7,0,5,0,8,1,7,7,22,56,20,13,1,17,26,15,20,15,4,31,45,34,55,56,49,111,110,55,245,157,9,90,97,93,91,20,12,0,24,12,15,10,1,6,0
