region_schema,region_parent,region_child,agerange,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-14,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-21,2020-07-22,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-08-06,2020-08-09,2020-08-10,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-24,2020-08-26,2020-08-27,2020-08-31
admin_1,om,om-bj,,6,6,6,6,6,6,6,6,7,8,9,9,12,12,12,13,13,13,13,13,14,14,16,18,18,18,19,19,20,24,24,25,29,30,33,33,34,36,41,44,47,49,52,54,55,55,57,58,61,62,63,72,74,77,77,80,82,82,84,86,88,89,91,96,97,99,99
admin_1,om,om-bs,,1,2,2,2,2,4,4,4,4,6,6,6,6,6,6,9,9,9,10,10,10,11,12,12,16,17,19,21,21,21,23,26,26,27,29,30,31,35,39,45,49,50,52,63,63,70,72,75,77,82,86,107,115,117,126,129,131,131,138,139,142,143,144,149,151,153,160
admin_1,om,om-bu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,10,10,10,11,11,11,12,12,12,13,13,13,13,13,13,13
admin_1,om,om-da,,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,9,9,10,10,10,10,10,10,10,11,12,13,16,16,16,17,18,21,21,21,23,23,25,28,28,28,28,29,29,29,29,30,31,31,36,38,38,42
admin_1,om,om-ma,,47,54,54,59,59,65,67,68,72,77,81,85,87,89,90,94,96,102,103,104,104,110,113,114,115,119,125,125,127,137,140,141,145,146,147,150,156,156,162,167,167,169,173,176,179,182,187,192,194,196,198,219,221,224,228,230,230,230,230,237,239,241,243,250,250,253,265
admin_1,om,om-mu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
admin_1,om,om-sj,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,7,9,9,9,9,9,9,10,10,11,13,15,15,15,18,18,20,20,20,22,22,24,29,31,31,33,36,36,38,38,39,39,39,39,42,42,43,46
admin_1,om,om-ss,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,5,6,7,7,7,7,7,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,15
admin_1,om,om-wu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4
admin_1,om,om-za,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7
admin_1,om,om-zu,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,12,14,14,16,16,17,19,19,23,23,24,25,27,27,27,28
