region_schema,region_parent,region_child,agerange,2021-01-13,2021-01-14,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24
admin_1,za,unknown,,0,0,0,0,0,0,0
admin_1,za,za-ec,,1087,1017,707,632,668,525,318
admin_1,za,za-fs,,561,616,497,496,481,613,468
admin_1,za,za-gt,,5022,4494,3832,2832,2665,2895,1725
admin_1,za,za-lp,,1393,1890,811,1463,1561,1095,420
admin_1,za,za-mp,,898,1496,1385,812,1184,1232,1064
admin_1,za,za-nc,,292,301,225,267,182,220,172
admin_1,za,za-nl,,5432,5100,3314,2657,2936,3791,2842
admin_1,za,za-nw,,957,821,545,775,637,638,358
admin_1,za,za-wc,,2913,2768,1394,1447,1447,1262,780
