region_schema,region_parent,region_child,agerange,2021-01-14,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24
admin_1,za,unknown,,0,0,0,0,0,0,0
admin_1,za,za-ec,,184611,187552,188259,188891,189559,190084,190402
admin_1,za,za-fs,,68758,71237,71734,72230,72711,73324,73792
admin_1,za,za-gt,,350976,366432,370264,373096,375761,378656,380381
admin_1,za,za-lp,,43737,49012,49823,51286,52847,53942,54362
admin_1,za,za-mp,,49943,54678,56063,56875,58059,59291,60355
admin_1,za,za-nc,,28683,29894,30119,30386,30568,30788,30960
admin_1,za,za-nl,,269632,287042,290356,293013,295949,299740,302582
admin_1,za,za-nw,,49359,51771,52316,53091,53728,54366,54724
admin_1,za,za-wc,,251107,259098,260492,261939,263386,264648,265428
