region_schema,region_parent,region_child,agerange,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-19
admin_1,za,za-ec,,1881,2030,1399,1465,1657,1811,1894,1081,1157,1300,1434,1543,1630,1028,1077,1186,1267,1345,1438,1526,1563,830,979,1089,1202,859,986,1018,1127,1226,1367,1474,1099,1208,1288,1381,1506,934,1124,1264,1424,1523,1546,1719,1875,1992,1061,1184,1277,1318,1444,1049,1188,1473,1744
admin_1,za,za-fs,,13862,12673,13023,13144,13420,13772,13999,12945,11743,12074,11306,11581,11867,12065,12227,12521,12793,12922,13197,13452,13604,12965,13178,13444,13603,13919,14150,14360,14495,14660,14737,13552,13471,13688,13692,13588,12902,13255,13492,13391,12765,12781,12984,12991,13322,13456,13887,14148,14332,14665,14441,14594,14851,15168,15424
admin_1,za,za-gt,,28151,27702,26249,25473,25222,24777,24111,23098,23203,23410,23221,22044,21784,21282,21133,20894,21063,20761,20640,20461,20188,19880,20028,20300,20321,20203,20187,20017,19974,20131,20276,20075,19725,19419,19268,19161,19291,19537,19467,19496,19417,19204,19276,19454,19630,19669,19719,19685,19592,19592,19822,19905,19844,19892,16514
admin_1,za,za-lp,,1036,1036,1049,949,899,885,665,613,712,639,735,749,738,638,588,654,596,660,612,612,645,525,626,589,641,666,711,603,659,732,667,703,751,649,633,626,694,637,659,743,734,729,648,674,646,615,715,640,595,628,659,598,579,575,655
admin_1,za,za-mp,,1654,1873,1774,1441,1325,1228,1326,1180,1250,1322,1143,1123,1050,943,865,978,987,907,925,883,890,778,837,933,953,1039,934,873,835,886,995,926,799,701,525,672,728,793,720,691,656,661,660,698,790,871,729,701,630,657,750,779,781,732,746
admin_1,za,za-nc,,2878,2971,3069,3139,3277,3476,3594,3533,3466,3653,3825,4000,3061,3007,3116,3182,3164,3307,3459,3030,3143,3028,3059,3305,3552,3227,3500,3438,3367,3527,2941,2790,2909,2821,2975,2821,2958,2939,2923,2629,2815,2905,2965,2906,3038,3008,3177,2759,2750,2672,2666,2810,2872,2930,3064
admin_1,za,za-nl,,15505,15228,14803,14736,14724,14935,14874,10701,10892,11065,11108,10586,10541,10267,10261,9579,7891,8017,7420,7583,7564,7100,7179,6946,7105,7090,7208,7238,6702,6731,6772,6879,6383,6145,6210,5783,5898,5853,5941,5857,5949,6013,5707,5792,5716,5661,5710,5706,5728,5679,5726,5795,5928,5988,6046
admin_1,za,za-nw,,7213,6720,6588,6517,6409,6508,6464,6238,5950,5513,5662,5263,4937,4479,4584,4612,4784,4952,5111,5236,4723,4234,4254,4448,4149,3871,4017,3745,3889,3652,3812,3456,3075,2857,2853,2413,2571,2553,2668,2872,2719,2663,2594,2641,2761,2519,2712,2514,2297,2243,2219,2374,2534,2707,2882
admin_1,za,za-wc,,7098,6674,5316,5540,4893,4982,4992,4564,4377,4589,4148,4012,4129,4094,3775,3722,3625,3562,3562,3657,3641,3414,3404,3443,3400,3408,3494,3444,3212,3208,3283,3213,3092,3159,3161,2940,2945,2863,2886,3072,3053,3036,2902,2905,2934,3113,3360,3589,3636,3481,3638,3670,3996,3822,3993
