region_schema,region_parent,region_child,agerange,2020-08-30,2020-08-31,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-09
lga,au-vic,alpine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,ararat,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,ballarat,,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,banyule,,1,1,-2,-2,0,0,-1,0,-1,0,0,0,0,4,0,-2,0,0,3,1,0,-1,-1,-1,0,-1,0,0,0,0,0,0,1,5
lga,au-vic,bass coast,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,baw baw,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,bayside,,-1,5,0,-1,0,2,1,1,-2,4,-1,0,0,0,0,0,0,0,1,-1,0,0,-4,0,0,0,0,0,-1,0,0,0,0,0
lga,au-vic,benalla,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,boroondara,,0,2,-1,0,1,1,1,0,0,-1,-1,0,0,0,0,0,1,0,5,0,2,0,-1,0,0,0,1,0,1,0,0,0,0,1
lga,au-vic,brimbank,,2,3,5,7,4,20,11,-4,8,1,2,-2,5,1,6,28,2,0,0,6,-1,-1,-4,-1,3,1,0,0,2,0,0,2,-1,0
lga,au-vic,buloke,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,campaspe,,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,cardinia,,2,2,5,1,1,1,0,0,2,0,0,2,0,-1,1,1,-1,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,casey,,6,0,5,5,3,-1,5,3,5,12,10,11,4,4,6,0,-4,9,-3,0,0,2,-6,0,0,1,5,1,1,5,5,0,0,1
lga,au-vic,central goldfields,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,colac-otway,,1,0,6,1,1,0,5,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,corangamite,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,darebin,,5,1,1,6,3,-1,-1,1,2,-1,0,1,1,0,2,-3,0,2,-1,2,0,-1,-4,0,0,0,0,0,-1,-1,1,1,0,0
lga,au-vic,east gippsland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,frankston,,-1,-1,3,1,0,0,1,3,-2,3,0,0,0,-1,0,0,0,0,5,0,1,0,2,0,5,0,0,0,-2,0,0,2,0,0
lga,au-vic,gannawarra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,glen eira,,-1,2,3,1,2,0,3,1,0,1,0,0,1,1,0,1,1,-1,1,0,-1,0,4,0,0,1,1,0,0,1,1,0,2,0
lga,au-vic,glenelg,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,golden plains,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,greater bendigo,,0,1,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
lga,au-vic,greater dandenong,,-1,2,3,1,4,3,2,0,4,0,3,1,0,-1,3,0,2,0,1,1,4,-1,15,2,0,0,1,0,0,-1,1,3,2,2
lga,au-vic,greater geelong,,1,2,-2,1,-1,0,2,0,1,0,0,0,1,1,-1,-1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
