region_schema,region_parent,region_child,agerange,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-29,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-07,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13
admin_1,my,my-01,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,752,753,755,755,757,767,767,773,777,785,787,793,799,804,809,811,814,816,826,826,829,834,836,837,839,840,840,841,845,852,867,871,879,887,897,906,906,906,916,917,917,921,925,930,931,941,949,949,967,1002,1016,1019,1019,1019,1043,1085,1100,1119,1242,1325,1379,1379,1549,1627,1696,1887,1985,2093,2193,2293,2362,2467
admin_1,my,my-02,,180,183,190,190,193,198,198,200,207,212,212,213,213,213,218,218,222,223,223,224,228,250,266,270,284,289,303,304,304,305,312,312,321,324,325,325,340,340,344,352,352,353,367,367,594,696,809,1050,1447,1600,1616,1626,1653,1669,1679,1739,1739,1883,1890,1928,1937,1940,1957,1964,1967,1968,2044,2045,2048,2052,2080,2117,2122,2122,2122,2128,2140,2140,2172,2191,2206,2209,2217,2220,2220,2240,2273,2281,2292,2292,2292,2324,2340,2376,2390,2463,2532,2563,2563,2610,2642,2666,2713,2731,2741,2757,2771,2793,2809
admin_1,my,my-03,,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,161,161,161,161,161,161,164,164,166,168,169,170,170,171,171,171,171,171,171,171,171,173,173,173,173,173,174,175,178,178,178,179,179,179,179,179,179,179,179,182,182,182,182,182,182,186,188,197,197,200,218,237,240,240,240,271,279,288,294,335,353,360,360,372,381,401,438,441,443,460,463,465,466
admin_1,my,my-04,,259,259,259,259,259,259,259,259,259,259,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,262,263,263,265,266,266,267,267,267,268,268,268,269,269,270,273,274,274,274,278,281,282,283,299,299,302,305,305,308,308,310,310,310,311,311,311,311,312,313,313,318,320,322,327,332,332,332,346,368,370,374,374,374,377,382,382,384,385,387,387,387,388,390,390,398,399,399,401,406,411,426
admin_1,my,my-05,,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1036,1037,1037,1037,1037,1038,1039,1039,1039,1039,1039,1043,1043,1043,1043,1043,1044,1044,1044,1044,1044,1044,1044,1047,1047,1048,1049,1049,1051,1052,1054,1055,1062,1063,1065,1069,1069,1069,1081,1083,1083,1095,1096,1097,1100,1104,1110,1119,1157,1194,1290,1312,1337,1492,1516,1559,1582,1582,1582,1631,1702,1702,1836,1881,1949,2053,2313,2313,2313,2919,3511,3578,3609,3609,3609,3915,3944,3985,4058,4701,4774,4915,4915,5123,5175,5190,5458,5999,6022,6055,6122,6186,6235
admin_1,my,my-06,,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,373,373,377,379,379,381,381,381,382,382,384,385,385,385,385,385,386,386,386,387,387,387,387,387,389,391,392,392,392,392,392,392,393,393,393,393,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,400,401,403,403,404,408,423,429,430,463,582,627,723,802
admin_1,my,my-07,,132,132,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,138,138,138,138,138,138,138,138,138,139,141,141,141,142,142,142,142,142,142,142,142,142,144,144,145,148,149,149,152,159,160,168,171,172,313,336,336,369,402,591,636,662,670,682,692,731,754,851,912,925,944,957,992,992,992,1038,1073,1073,1132,1324,1342,1360,1394,1421,1421,1510,1654,1687,1703,1703,1703,1753,1768,1780,1795,1890,2028,2088,2088,2117,2220,2268,2343,2398,2416,2445,2487,2521,2623
admin_1,my,my-08,,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,271,271,274,274,276,278,286,290,295,296,298,299,303,319,319,374,383,387,397,415,424,431,445,449,459,465,473,484,490,495,505,505,505,519,522,522,534,552,589,596,647,659,659,682,885,932,948,948,948,1076,1104,1185,1297,1498,1742,1785,1785,1832,1858,1905,2052,2106,2135,2168,2283,2295,2357
admin_1,my,my-09,,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,36,36,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,40,41,41,41,41,41,41,42,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44
admin_1,my,my-10,,2150,2150,2150,2151,2153,2153,2153,2155,2158,2159,2161,2164,2166,2166,2174,2175,2175,2177,2177,2177,2179,2188,2189,2190,2191,2193,2194,2194,2194,2199,2202,2202,2206,2210,2214,2214,2217,2217,2220,2224,2224,2246,2271,2271,2315,2347,2378,2412,2451,2471,2507,2531,2575,2601,2670,2746,2746,2964,3014,3173,3250,3357,3489,3605,3742,3804,3880,3968,4145,4271,4360,4495,4645,4645,4645,5054,5179,5179,5590,5754,6001,6149,6287,6523,6523,6875,7775,8046,8187,8187,8187,9149,9752,10955,12578,13029,13533,13935,13935,15075,15534,15854,16412,16838,17255,17532,18960,19789,20612
