region_schema,region_parent,region_child,agerange,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12
admin_1,my,my-11,,0,-112,0,112,-112,112,0,-112,0,112,-112,0,0,112,0,0,-112,0,112,0,-112,112,-112,112,0,-112,0,0,112,-112,112,-112,0,112,0,-112,112,-112,0,0,118,5,9,-132,0,0,138,-138,147,0,5,-152,0,0,0,155,0,1,-156,161,0,1,-162,0,0,167,8,-175,0,189,-189,175,-175,207,-207,211,8,3,-222,0,0,0,213,0,228,-7,3,-224,232,0,-232,235,0,-235,0,0,236,0,-236,237,-237,242,6,-248,269,-269,0,276,-276,0,285,1,-286,0,0,0,285,-285,0,0,304,-304,335,16,0,-351,372,-372,0,0,451,-451,521,-521,0,0,0,829,-829,871,0,0,1349,179,-2,-1524,0,0,1827,222,83,-1,0,56,-2547,0,0,2664,-2664,2690,-2688,0,2854,-2853,3024,0,0,-3025,0,3,0,3209,0,48,0,13,35,-3304
admin_1,my,my-12,,402,-402,402,-402,403,0,-403,403,0,-403,403,0,-403,0,-412,418,-418,419,-419,534,4,-538,775,-775,0,850,-850,923,8,0,99,36,49,0,-1115,1309,63,161,-1533,1755,-1863,0,2242,126,130,-2491,0,0,0,0,3814,488,-4302,0,5340,-5340,0,0,7411,-7411,0,9305,485,939,172,-10901,0,0,0,0,14025,-178,2236,84,12,1287,-17337,19140,484,364,-19975,6,20888,0,11,2,2,0,25325,-25316,25817,-25143,28040,-28040,28536,359,170,4,30318,265,274,496,-31345,32107,272,0,260,250,-32868,33521,196,-33715,0,34080,438,225,-34742,0,7,0,0,36274,-36274,36782,-1,-36775,5,5,38653,400,-39046,39854,374,-40226,41083,378,0,-41461,0,0,396,-44547,45498,431,-5,-45919,3,1,0,0,47981,-47974,47974,225,160,169,0,-49623,50077,0,-50057,50256,-50253,0,50692,0,-50695,50695,-50695,13,-52138,0,0,0,1,2,2,0
admin_1,my,my-13,,338,-338,342,1,1,-344,0,0,0,0,353,-353,0,0,0,-355,355,-355,0,0,356,-356,0,0,0,0,356,0,-356,357,0,0,-357,0,359,0,-359,0,0,362,369,-369,2,369,-369,0,0,691,5,-696,713,-713,0,0,718,3,0,4,-725,0,0,0,0,740,-740,749,25,18,-792,824,-6,-818,854,14,-868,890,-890,933,-933,948,6,-954,965,0,1005,-1005,0,1001,-1001,1012,1,8,-1024,0,1027,-1027,1027,2,-1031,0,0,0,0,0,0,0,0,0,0,1048,-1048,0,0,1048,-1048,1057,6,-1063,1072,-1072,0,0,0,0,0,1110,13,5,14,-1142,1213,-1213,0,0,0,0,0,0,2073,-2073,-2528,2887,-2887,0,6,0,3713,170,0,370,-4243,1,4372,179,219,84,0,246,184,0,225,0,158,0,642,0,-7109,0,7827,205,0,361,-10256,0,3,1,1,0
admin_1,my,my-14,,4,-2502,0,0,2509,-2509,0,0,0,0,0,2527,0,2545,1,7,0,-2553,0,0,2570,-2570,2570,-2570,0,0,2574,-2574,2579,0,-2579,2587,3,-2590,2604,-2604,2604,8,-2612,0,0,-2626,0,0,0,2667,-2667,0,2694,6,3,-2703,2728,18,20,-2766,2788,15,7,-2810,2843,-2843,0,0,0,0,2930,-2930,2955,19,-2974,0,0,3034,-3033,0,0,3126,-3126,3137,-3137,3174,-3174,0,0,4626,-4626,4785,-169,-4616,5092,5566,119,-5685,0,6327,-6326,7159,98,-34,136,273,-7631,0,0,8124,-8124,9368,1,-9369,10131,127,504,7,605,140,728,202,91,360,219,-13113,0,1,2,0,0,0,15098,-15096,0,15805,204,-16006,16618,257,0,748,-17623,0,0,0,0,0,3,0,22790,678,0,-23463,4,25405,0,395,372,295,-29302,30132,435,0,872,0,-31424,0,-2,32306,0,-32306,33098,286,0,119,-35085,35399,-35399,35469,118,-35585
admin_1,my,my-15,,0,1,0,0,0,0,-23,0,0,0,23,-23,23,23,-23,23,0,-23,0,0,23,0,0,0,-23,0,23,0,-23,23,0,-23,25,0,0,0,0,1,-26,27,28,1,-29,0,0,38,-38,0,40,2,-42,57,-57,0,84,-84,111,-111,0,0,0,0,0,0,0,244,-244,0,0,0,0,0,501,-501,2,726,59,104,12,63,-963,1003,-1003,58,-23,20,-1168,0,0,1225,-1225,1310,-1310,0,0,1349,-1347,1380,-1380,1387,-1387,1167,11,6,-1182,0,0,1456,-1456,0,0,1549,2,-1550,1577,8,16,-1601,1600,0,2,-1602,0,0,1669,-1669,0,1732,-1732,0,0,0,1770,15,-1785,1819,0,26,22,-1867,32,29,-1942,0,0,0,1996,55,0,34,-2083,1,2103,2150,-2150,2150,0,-2150,2177,-2177,0,2180,-2180,0,2183,0,0,-2183,2192,-2192,2209,0,0,11,-2220,2220,-2220,0
admin_1,my,my-16,,-97,97,0,-97,97,0,-97,97,-97,0,0,0,0,0,0,-97,97,-97,97,-97,0,0,0,0,0,97,0,0,0,-97,97,-97,97,-97,0,97,-97,0,0,97,98,5,-103,105,2,-107,0,110,0,3,-113,115,-115,0,0,0,0,0,123,-123,0,136,-3,4,-137,137,-137,138,1,1,-140,0,0,152,3,5,-160,0,171,-171,0,0,0,-187,193,0,-193,0,193,-193,190,-199,202,0,-202,202,2,-11,-195,196,-196,199,0,-199,200,-200,0,206,0,-206,218,-218,225,-225,0,240,3,-243,0,0,0,278,4,11,-292,315,13,9,-337,373,-372,1,0,0,0,480,0,60,23,-563,658,39,35,-732,0,807,-807,0,0,0,870,-870,870,934,-934,951,0,-951,972,0,8,-979,983,0,15,-998,0,0,1028,-1027,0,0,0,0,0,0,0,0
my_district,my,alor gajah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,0,3,0,0,0,0,0,0,-1,0,0,0,-2,0,0,0,0,0,0,0,1,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,37,0,0,0,0,76,0,0,0,0,209,0,0,1,0,0,0,0,-67,0,0,0,-220,0,0,0,0,0,0,0,0,18,0,0,0,0,0,58,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_district,my,asajaya,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_district,my,bachok,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,21,3,0,0,0,64,0,0,0,0,0,0,0,0,27,0,0,0,0,0,-47,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_district,my,baling,,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,8,3,0,0,9,2,1,5,0,0,0,1,0,2,0,-7,0,-9,0,0,-14,0,0,0,-5,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,-2,0,0,0,1,0,0,0,0,-8,0,0,0,0,-3,0,0,0,0,-2,0,0,0,0,0,0,31,2,0,0,0,31,0,0,0,0,0,0,0,0,37,0,0,0,0,0,-7,0,0,0,0,0,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
my_district,my,bandar baharu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,0,0,4,0,0,0,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
