region_schema,region_parent,region_child,agerange,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19,2020-12-20,2020-12-21,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11
admin_1,my,my-01,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,6,4,8,2,6,6,5,5,2,3,2,10,0,3,5,2,1,2,1,0,1,4,7,15,4,8,8,10,9,0,0,10,1,0,4,4,5,1,10,8,0,18,14,3,0,0,24,42,15,19,83,54,0,170,78,69,98,108,100,100,69,105,103,45,0,48,172,0,152,156,278,167,0,233,205,412,194,191,110,607,194,112,580,0,474,428,571,1103,298,302,321,396,442,535,460,0,1254,362,329,423,466,425,378,0,1045,1069,717,0,1476,1020,0,0,585,499,490,0,890
admin_1,my,my-02,,3,7,0,3,5,0,2,7,5,0,1,0,0,0,4,1,0,1,4,22,16,4,14,5,14,1,0,1,7,0,9,3,1,0,15,0,4,8,0,1,0,227,102,113,241,397,153,16,10,27,16,10,60,0,144,7,38,9,3,17,7,3,1,76,1,3,4,28,37,5,0,0,6,12,0,32,19,15,3,8,3,0,20,8,11,0,0,32,16,36,14,69,31,0,47,32,24,18,10,16,14,22,16,13,5,0,20,18,0,17,6,3,5,0,18,0,16,27,12,8,23,24,20,47,0,98,47,42,30,107,65,71,40,62,97,86,0,337,96,142,156,166,105,85,0,162,76,92,0,224,53,0,0,64,43,37,0,107
admin_1,my,my-03,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,9,0,3,19,3,0,0,31,8,9,6,18,7,0,12,9,20,3,2,17,3,2,1,0,2,0,3,11,0,11,1,6,4,0,13,4,54,31,28,31,56,37,53,26,0,97,42,43,66,49,61,103,95,86,85,85,0,220,114,150,135,161,78,77,0,165,60,37,0,93,58,0,0,62,32,30,0,106
admin_1,my,my-04,,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,1,0,1,3,1,0,0,4,3,1,1,16,0,3,3,0,3,0,2,0,0,1,0,0,0,1,1,0,5,2,2,5,5,0,0,14,2,4,0,0,3,5,0,2,2,0,0,1,2,0,1,0,2,5,5,15,7,1,0,5,112,0,143,1,9,9,0,200,14,5,23,14,9,8,239,23,95,0,40,21,13,11,70,50,35,37,21,72,85,0,102,60,156,106,82,278,152,0,182,63,73,0,116,153,0,0,329,313,344,0,295
admin_1,my,my-05,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,2,1,2,1,7,1,2,4,0,0,12,2,0,12,1,1,3,4,6,9,38,37,96,22,25,155,24,43,23,0,0,49,71,0,134,45,68,104,260,0,0,606,67,31,0,0,306,29,41,73,73,141,0,208,52,15,541,23,33,67,64,49,29,260,0,67,93,0,192,169,58,57,0,175,89,33,39,160,60,34,78,51,131,0,128,98,125,63,88,351,144,102,85,106,169,0,284,236,126,102,197,108,160,0,224,112,48,0,227,42,0,0,133,92,104,0,256
admin_1,my,my-06,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,1,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,15,1,33,119,45,96,79,28,0,0,8,17,0,22,12,12,6,0,57,11,19,9,11,288,48,15,16,29,0,33,25,11,25,28,36,41,46,96,143,113,0,135,61,84,48,61,75,63,0,61,42,72,0,118,74,0,0,48,34,28,0,46
admin_1,my,my-07,,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,3,7,1,8,3,1,141,23,0,33,33,189,45,26,8,12,10,39,23,97,61,13,19,13,35,0,0,46,35,0,59,192,18,18,34,27,0,89,33,16,0,0,50,15,12,15,138,60,0,29,103,48,55,18,29,42,34,102,26,31,0,34,149,0,67,30,18,23,0,80,25,58,37,69,57,69,92,226,288,0,158,60,77,111,75,273,189,112,317,105,234,0,314,120,145,171,202,162,90,0,214,101,99,0,200,69,0,0,211,250,209,0,178
admin_1,my,my-08,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,2,8,4,5,1,2,1,4,16,0,55,9,4,10,18,9,7,14,4,10,6,8,11,6,5,10,0,0,14,3,0,12,18,37,7,51,12,0,23,47,16,0,0,128,28,81,112,244,43,0,47,26,47,54,29,33,115,12,62,105,62,0,110,76,0,147,10,21,17,0,34,55,26,30,47,17,48,33,51,12,0,109,25,34,59,80,42,80,51,241,61,92,0,128,107,114,245,138,208,46,0,161,181,94,0,185,63,0,0,36,71,72,0,82
admin_1,my,my-09,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,8,5,3,0,1,4,0,14,13,16,8,13,7,3,0,5,3,9,0,3,5,0,0,4,2,4,0,0
admin_1,my,my-10,,0,0,1,2,0,0,2,3,1,2,3,2,0,1,0,2,0,0,2,9,1,1,1,2,1,0,0,5,3,0,4,4,4,0,3,0,3,4,0,22,0,44,32,31,34,39,20,36,24,44,26,69,76,0,218,50,159,77,107,132,116,137,62,76,88,177,126,89,135,150,0,0,409,125,0,411,164,247,148,138,236,0,352,271,141,0,0,962,603,1203,1623,504,402,0,1140,459,320,426,417,277,1428,829,823,435,532,0,503,849,0,1093,441,1204,1014,0,1026,461,710,392,697,747,472,1205,776,638,0,1360,509,965,706,1086,564,730,557,1007,837,1036,0,2355,1314,1213,545,782,1421,950,0,2330,822,1577,0,6411,2460,0,0,1481,1606,1196,0,2619
