region_schema,region_parent,region_child,agerange,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25
admin_1,za,za-ec,,497,2623,2674,2485,1842,1978,632,5131,3653,2101,1839,759,395,2060,1626,2640,2109,1422,1346,1150,1434,932,5,1120,825,664,660,175,477,0,0,1085,0,0,0,667,0,0,0,0
admin_1,za,za-fs,,65,0,222,65,0,0,70,187,506,52,191,11,12,91,0,6719,0,1252,433,0,993,257,323,487,397,439,1044,389,306,602,0,1181,547,2001,231,664,198,37,0,496
admin_1,za,za-gt,,556,2632,9597,0,5513,0,7256,18885,0,4729,10220,0,5139,5129,3000,15723,0,0,0,2591,2627,3483,4260,3323,2708,4306,1979,2331,2010,2303,1007,1366,5065,1669,1487,1036,1504,773,1636,1159
admin_1,za,za-lp,,0,0,345,0,193,182,175,374,263,241,221,223,99,0,72,344,468,12,0,96,1256,0,937,0,394,0,694,827,209,102,242,0,0,0,245,10,23,34,68,827
admin_1,za,za-mp,,0,269,121,164,133,196,165,1087,583,385,592,0,499,318,581,1270,550,0,2062,896,658,1032,935,335,1241,583,242,136,610,565,461,231,591,184,94,119,605,453,342,321
admin_1,za,za-nc,,44,149,5,93,26,96,49,13,52,25,13,33,0,21,31,176,357,507,7,471,210,20,69,148,1,84,307,96,143,47,531,213,29,204,193,49,97,521,285,275
admin_1,za,za-nl,,1500,0,1447,0,1435,221,431,4573,719,0,2465,0,3099,3332,4801,3875,769,7139,398,7193,1587,65,652,904,90,1603,0,767,19776,537,1071,1046,729,1915,495,388,1048,525,7287,677
admin_1,za,za-nw,,283,101,3,116,0,145,51,673,105,776,652,629,365,197,543,284,307,121,334,37,284,655,1741,0,213,109,241,73,0,514,1907,0,0,0,1968,0,59,0,1,0
admin_1,za,za-wc,,422,2264,0,1975,3450,1229,0,3081,1204,1202,1090,368,240,1240,0,1829,206,357,1134,1081,1001,999,887,262,184,1137,737,794,586,537,217,172,836,0,1015,0,491,0,405,132
