region_schema,region_parent,region_child,agerange,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-25,2020-08-26,2020-08-27
admin_1,za,za-ec,,1943,1420,1647,1800,1881,2030,1399
admin_1,za,za-fs,,13319,13126,13413,13735,13862,12673,13023
admin_1,za,za-gt,,30512,30307,30180,30138,28151,27702,26249
admin_1,za,za-lp,,1389,1574,1659,1799,1036,1036,1049
admin_1,za,za-mp,,2715,2838,2388,2133,1654,1873,1774
admin_1,za,za-nc,,3321,3509,3590,3202,2878,2971,3069
admin_1,za,za-nl,,23162,23401,22866,22838,15505,15228,14803
admin_1,za,za-nw,,6706,6831,6954,7070,7213,6720,6588
admin_1,za,za-wc,,7036,7337,7184,7479,7098,6674,5316
