region_schema,region_parent,region_child,agerange,2020-08-21,2020-08-22,2020-08-23,2020-08-26,2020-08-27
admin_1,za,za-ec,,-523,227,153,149,-631
admin_1,za,za-fs,,-193,287,322,-1189,350
admin_1,za,za-gt,,-205,-127,-42,-449,-1453
admin_1,za,za-lp,,185,85,140,0,13
admin_1,za,za-mp,,123,-450,-255,219,-99
admin_1,za,za-nc,,188,81,-388,93,98
admin_1,za,za-nl,,239,-535,-28,-277,-425
admin_1,za,za-nw,,125,123,116,-493,-132
admin_1,za,za-wc,,301,-153,295,-424,-1358
