region_schema,region_parent,region_child,agerange,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23
il_municipality,il,abu gosh,,,,,,,,,,0,0,0,0,7,0,0,0,0,2,2,1,0,0,0,2,5,2,2,5,0,3,13,0,6,0,3
il_municipality,il,abu snan,,,,,,,,,,,,,,,,,,,,2,1,3,0,0,8,1,3,6,3,0,2,3,0,5,2,4
il_municipality,il,afula,,0,12,2,2,4,0,0,7,0,0,0,0,19,1,1,0,10,2,3,0,2,1,0,6,4,3,6,4,0,8,6,0,2,4,1
il_municipality,il,ako (acre),,0,22,7,3,0,0,0,10,0,0,0,0,25,4,0,0,7,5,10,5,5,0,0,11,10,5,11,6,0,9,10,0,14,7,8
il_municipality,il,ar'ara,,0,16,0,2,0,0,0,4,0,0,0,0,6,8,3,0,3,0,4,2,6,0,0,8,0,4,1,1,0,7,12,0,8,2,11
il_municipality,il,arabe,,,,1,,,0,0,7,0,0,0,0,4,1,0,0,1,8,6,0,6,0,0,1,0,1,1,1,0,3,3,0,3,0,4
il_municipality,il,arad,,0,39,7,4,0,0,0,-1,0,0,0,0,15,1,0,0,3,6,2,2,1,0,0,4,5,-1,1,0,1,1,0,0,5,0,4
il_municipality,il,ashdod,,0,304,73,55,9,0,0,140,0,0,0,0,290,78,3,0,132,66,77,38,68,-8,0,134,68,34,56,34,6,74,6,0,146,81,36
il_municipality,il,ashkelon,,0,179,22,51,9,0,0,84,0,0,0,0,167,35,-1,0,45,22,29,7,20,2,0,25,24,6,10,10,2,16,10,0,22,9,5
il_municipality,il,azor,,0,14,11,4,0,0,0,8,0,0,0,0,7,3,0,0,0,0,2,0,2,0,0,4,0,0,1,0,0,0,2,0,3,4,1
il_municipality,il,ba'ana,,0,,,,,0,0,,,,,,,0,0,0,0,0,1,0,1,-1,0,4,1,1,2,1,0,2,8,0,4,4,5
il_municipality,il,basma,,,,,,,0,0,,,,,,,3,2,0,0,2,4,0,4,0,0,4,3,2,1,1,10,0,2,0,7,0,3
il_municipality,il,basmat tivon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,2
il_municipality,il,bat yam,,0,104,23,25,10,0,0,64,0,0,0,0,88,19,4,0,13,19,14,7,17,2,0,27,16,11,9,3,4,14,-4,0,45,14,8
il_municipality,il,be'er sheva,,0,158,50,42,23,0,0,90,0,0,0,0,219,26,8,0,37,43,37,13,27,4,0,59,37,7,15,9,1,28,24,0,61,26,20
il_municipality,il,be'er ya'akov,,0,31,1,6,0,0,0,10,0,0,0,0,9,2,1,0,0,3,2,3,0,1,0,4,3,6,10,7,5,6,-4,0,12,7,8
il_municipality,il,beit dagan,,0,8,1,0,1,0,0,0,0,0,0,0,6,3,0,0,3,0,1,1,1,0,0,2,0,0,1,0,0,1,-1,0,1,1,3
il_municipality,il,beit shemesh,,0,318,101,73,26,0,0,203,0,0,0,0,310,36,1,0,73,64,84,32,32,9,0,66,42,22,39,14,1,21,12,0,52,13,13
il_municipality,il,bet jan,,0,2,,,0,0,0,0,0,0,0,0,11,0,0,0,3,0,2,2,3,0,0,7,1,1,6,4,1,3,15,0,17,19,12
il_municipality,il,bet she'an,,0,29,5,10,1,0,0,11,0,0,0,0,9,1,0,0,3,1,0,1,1,0,0,4,5,2,7,0,0,3,7,0,5,9,1
il_municipality,il,binyamina-giv'at ada,,,,5,3,2,0,0,13,0,0,0,0,10,3,1,0,0,2,2,0,0,0,0,1,3,3,0,0,0,0,2,0,1,1,1
il_municipality,il,bir al-maksur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
il_municipality,il,bnei ayish,,,,2,0,1,0,0,3,0,0,0,0,2,0,1,0,-2,1,0,0,0,0,0,5,-1,0,0,0,-1,0,0,0,0,1,0
il_municipality,il,bnei brak,,0,813,219,183,97,0,0,476,0,0,0,0,745,115,32,0,255,166,186,82,113,25,0,275,107,106,90,42,13,111,7,0,292,48,37
il_municipality,il,daburiya,,0,,,,,0,0,,,,,,,6,0,0,3,6,2,3,6,7,0,14,2,1,1,1,2,1,-2,0,5,5,2
il_municipality,il,dalyat al-carmel,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,0,0,1,4,8,0,19,10,4
il_municipality,il,dimona,,0,32,12,8,2,0,0,13,0,0,0,0,15,1,0,0,5,7,6,4,3,2,0,3,4,0,0,2,0,0,1,0,4,2,1
il_municipality,il,eilat,,0,76,10,8,6,0,0,41,0,0,0,0,32,8,0,0,9,6,10,1,4,2,0,9,3,3,4,1,2,6,1,0,7,2,1
il_municipality,il,el'ad,,0,140,41,68,12,0,0,104,0,0,0,0,263,35,4,0,67,38,58,16,14,4,0,49,31,17,28,6,2,19,13,0,40,17,8
il_municipality,il,elyahin,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,1,2,0
il_municipality,il,even yehuda,,0,3,2,0,0,0,0,1,0,0,0,0,5,1,0,0,1,0,1,0,5,1,0,9,2,3,0,1,1,5,2,0,0,1,2
il_municipality,il,eyn mahel,,,,8,12,1,0,0,39,0,0,0,0,71,9,0,0,2,5,13,5,0,4,0,6,2,1,3,6,2,1,1,0,7,5,6
il_municipality,il,furaydis,,0,,,,,0,0,5,0,0,0,0,18,3,0,0,0,0,4,1,13,1,0,5,2,0,1,0,3,0,0,0,0,0,2
il_municipality,il,gan yavne,,0,84,4,11,1,0,0,9,0,0,0,0,10,5,0,0,0,2,1,1,1,0,0,3,6,4,4,1,0,1,2,0,2,2,2
il_municipality,il,gane tikva,,0,18,4,1,0,0,0,2,0,0,0,0,9,2,0,0,2,0,2,2,5,1,0,6,3,1,1,3,0,8,3,0,11,1,0
il_municipality,il,gedera,,0,26,5,1,1,0,0,6,0,0,0,0,8,8,2,0,2,1,5,1,3,-1,0,6,5,2,2,1,0,7,1,0,4,3,5
il_municipality,il,giv'atayim,,0,41,6,5,3,0,0,9,0,0,0,0,18,1,1,0,5,0,4,2,2,0,0,8,3,4,2,2,0,1,3,0,8,3,4
il_municipality,il,giva'at shmuel,,0,38,6,4,3,0,0,19,0,0,0,0,38,6,1,0,9,6,2,2,4,0,0,2,1,1,0,3,0,2,1,0,6,1,2
il_municipality,il,hadera,,0,57,15,5,2,0,0,30,0,0,0,0,63,9,14,0,14,16,19,6,17,0,0,32,7,29,2,10,12,16,16,0,29,6,6
il_municipality,il,haifa,,0,238,87,32,12,0,0,81,0,0,0,0,143,13,4,0,26,21,26,7,15,12,0,40,22,25,20,20,3,28,1,0,56,42,9
il_municipality,il,harish,,0,2,1,3,1,0,0,4,0,0,0,0,8,3,0,0,3,4,5,2,0,1,0,2,4,1,8,1,3,3,5,0,27,2,2
il_municipality,il,hatsor haglilit,,0,3,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,5,1,5,2,0,-1,0,1,0,0,2,0
il_municipality,il,hertseliya,,0,56,8,12,4,0,0,32,0,0,0,0,62,12,0,0,15,10,5,1,7,2,0,10,12,11,8,9,2,4,2,0,14,9,8
il_municipality,il,hod hasharon,,0,32,7,11,-1,0,0,14,0,0,0,0,20,9,2,0,6,7,5,1,9,0,0,11,9,5,4,5,0,6,1,0,7,2,3
il_municipality,il,holon,,0,202,55,63,12,0,0,127,0,0,0,0,160,26,8,0,49,43,44,14,35,4,0,48,23,18,14,6,6,29,-15,0,89,26,11
il_municipality,il,hura,,0,9,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,3,0,1,0,0,7,0,2,0,0,0,2,0,0,0,1,1
il_municipality,il,hurfeish,,,,,,,,,,,,,,,,,,,,,,,0,0,3,24,0,3,2,1,3,4,0,7,1,0
il_municipality,il,i'eblin,,,,,3,0,0,0,5,0,0,0,0,4,0,0,0,2,1,1,0,0,0,0,0,1,0,0,1,0,2,1,0,0,4,1
il_municipality,il,iksal,,0,16,0,0,1,0,0,6,0,0,0,0,30,2,0,0,0,0,3,4,2,8,0,10,1,4,3,1,0,3,8,0,8,5,0
il_municipality,il,ilut,,,,,,,,,,,,,,,,,,,,,,0,1,0,6,32,15,3,28,0,73,8,0,21,0,3
il_municipality,il,jaljulya,,0,15,2,2,0,0,0,9,0,0,0,0,11,1,0,0,1,1,1,1,3,0,0,10,3,4,6,2,0,6,1,0,7,1,4
il_municipality,il,jat,,0,20,2,8,0,0,0,4,0,0,0,0,13,0,0,0,1,1,5,15,6,2,0,10,7,4,3,5,1,7,4,0,19,5,3
il_municipality,il,jdeyde-ma'ker,,0,5,,,0,0,0,,,,,,,1,2,0,2,2,0,4,4,2,0,2,8,2,10,6,12,7,8,0,36,21,12
il_municipality,il,jiser a-zarka,,0,32,3,1,0,0,0,14,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,5,0,3,0,0,0,1,17,0,4,0,12
il_municipality,il,kabul,,0,3,2,,,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,9,2,1,3,2,0,2,1,0,4,2,0
il_municipality,il,kadima-tsoran,,0,8,0,1,0,0,0,5,0,0,0,0,10,7,1,0,3,1,1,1,1,0,0,7,4,2,1,4,2,0,4,0,0,1,1
il_municipality,il,kafar bara,,0,,,,0,0,0,,,,,,,0,0,0,0,1,2,4,0,2,0,3,6,2,5,2,0,3,12,0,26,8,4
il_municipality,il,kafar kara,,0,41,5,5,1,0,0,8,0,0,0,0,17,2,2,0,3,2,10,1,4,6,0,6,1,1,5,0,0,2,10,0,18,0,3
il_municipality,il,kafar kasem,,0,22,2,3,5,0,0,14,0,0,0,0,33,0,2,0,4,5,14,12,7,1,0,35,17,15,25,11,1,26,25,0,49,12,25
il_municipality,il,kalanswa,,0,108,33,74,15,0,0,141,0,0,0,0,134,15,4,0,13,13,39,7,24,18,0,33,32,1,4,14,6,6,7,0,19,3,9
il_municipality,il,karmiel,,0,9,1,2,0,0,0,5,0,0,0,0,12,4,1,0,7,15,6,2,7,0,0,4,1,4,4,9,1,3,2,0,19,6,2
il_municipality,il,katsrin,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0,0,-1,1,-1,0,0,0,1
il_municipality,il,kawkab abu al-hija,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
il_municipality,il,kfar  vradim,,,,,,,,,,,,,,,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0
il_municipality,il,kfar kana,,0,,,,0,0,0,15,0,0,0,0,14,2,0,0,0,2,3,1,3,3,0,5,10,3,0,0,6,0,4,0,6,1,9
il_municipality,il,kfar manda,,,,5,5,1,0,0,20,0,0,0,0,24,10,4,0,4,3,33,2,8,4,0,8,5,8,4,2,6,2,1,0,8,3,2
il_municipality,il,kfar saba,,0,68,17,20,3,0,0,17,0,0,0,0,28,7,2,0,9,8,12,4,2,4,0,14,10,5,9,16,2,11,-6,0,30,5,7
il_municipality,il,kfar tavor,,,,,,,,,,,,,,,0,0,0,1,-1,0,0,0,0,0,-1,0,0,0,0,1,5,-2,0,6,0,1
il_municipality,il,kfar yasif,,0,2,0,,,0,0,,,,,,,1,0,0,1,0,0,1,0,0,0,3,2,1,3,1,0,4,0,0,5,2,1
il_municipality,il,kfar yona,,0,9,1,4,1,0,0,4,0,0,0,0,9,2,-1,0,6,5,1,1,1,1,0,6,1,4,2,7,0,5,-5,0,9,1,4
il_municipality,il,kiryat ata,,0,64,19,15,2,0,0,22,0,0,0,0,43,14,1,0,9,7,5,0,10,1,0,19,6,1,7,2,3,12,0,0,35,4,4
il_municipality,il,kiryat biyalik,,0,14,5,4,1,0,0,10,0,0,0,0,26,7,1,0,14,7,8,3,12,3,0,12,19,1,3,2,1,5,-2,0,18,4,-1
il_municipality,il,kiryat ekron,,0,8,1,0,0,0,0,0,0,0,0,0,2,0,-1,0,1,0,0,1,1,0,0,2,0,1,1,0,1,0,1,0,2,1,2
il_municipality,il,kiryat gat,,0,155,13,21,14,0,0,35,0,0,0,0,75,8,1,0,34,10,18,7,4,-1,0,19,13,8,4,3,2,10,11,0,23,16,6
il_municipality,il,kiryat mal'ahi,,0,60,19,9,7,0,0,23,0,0,0,0,39,13,-1,0,19,6,8,9,7,1,0,21,12,7,7,4,5,3,8,0,16,7,2
il_municipality,il,kiryat motskin,,0,35,5,4,2,0,0,5,0,0,0,0,7,1,1,0,2,2,1,1,1,1,0,3,2,2,1,0,0,2,-4,0,7,1,0
il_municipality,il,kiryat ono,,0,25,8,2,1,0,0,7,0,0,0,0,19,4,0,0,4,5,7,2,6,5,0,9,13,0,3,2,1,2,-1,0,13,6,2
il_municipality,il,kiryat shmona,,0,14,1,1,2,0,0,2,0,0,0,0,7,1,1,0,1,1,2,2,0,1,0,1,0,4,1,0,0,1,4,0,3,2,0
il_municipality,il,kiryat tiv'on,,,,0,0,2,0,0,6,0,0,0,0,2,0,0,0,3,3,3,0,0,0,0,3,1,2,0,2,1,7,-2,0,6,0,0
il_municipality,il,kiryat yam,,0,16,4,3,1,0,0,7,0,0,0,0,18,2,1,0,1,0,2,1,1,0,0,5,1,0,2,0,1,1,2,0,9,2,3
il_municipality,il,kisrah-smi'a,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,3,2,0,1,3,1
il_municipality,il,kohav yair,,0,,,,0,0,0,,,,,,,1,0,0,0,1,4,-1,1,0,0,1,0,0,0,0,0,0,0,0,-1,1,0
il_municipality,il,lakiye,,0,1,0,0,0,0,0,2,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,1,2,2,0,1,1,1
il_municipality,il,lehavim,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
il_municipality,il,lod,,0,240,34,41,6,0,0,86,0,0,0,0,86,20,5,0,9,31,14,15,10,2,0,26,18,5,12,9,7,7,-3,0,56,9,19
il_municipality,il,ma'ale i'ron,,0,,,,,0,0,,,,,,,3,0,0,1,1,1,2,7,3,0,12,3,14,4,0,12,11,6,0,15,3,6
il_municipality,il,ma'alot-tarshiha,,0,7,,,,0,0,1,0,0,0,0,9,0,0,0,0,1,6,1,0,0,0,4,2,3,6,0,0,1,5,0,10,11,3
il_municipality,il,majd al-krum,,0,4,1,0,0,0,0,3,0,0,0,0,8,1,0,0,2,0,4,0,3,0,0,1,9,2,4,2,9,9,10,0,7,5,4
il_municipality,il,majdel shams,,,,,,,,,,,,,,,,,,,,,,,,,,-1,6,0,0,0,2,-1,0,6,1,1
il_municipality,il,mas'ade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,4,0,0
