region_schema,region_parent,region_child,agerange,2020-05-20,2020-05-21,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-26,2020-06-30,2020-07-01,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-14,2020-07-15,2020-07-16,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-08-05
admin_1,so,banadir,,-4,11,-6,-9,0,-12,0,64,7,0,5,-11,8,-24,0,0,0,0,0,-112,0,0,0,-69,0,-7,0,0,-17
admin_1,so,galmmudug,,,,,,,,,,,0,-8,0,0,-4,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,0,0,2,0,0,0,0,3,,,,,,,,,0,0,0,-3,0,0,0,-14,0,-1,0,0,0
admin_1,so,hir-shabelle,,,,,,,,,,,0,-3,-3,0,-2,0,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,2,-2,0,1,0,0,0,11,,,,,,,,,0,0,0,-2,0,0,0,0,0,-2,0,0,0
admin_1,so,jubaland,,,,,,,,,,,0,-3,-2,0,-12,0,,,,,,,,,,,,,,
admin_1,so,jubaland state,,27,17,0,1,0,-2,0,-24,,,,,,,,,0,0,0,-22,0,0,0,-3,0,-1,0,0,0
admin_1,so,puntland,,16,2,-2,0,0,14,0,2,6,0,11,0,16,-11,0,0,0,0,0,5,0,0,0,-19,0,-1,0,0,7
admin_1,so,somaliland,,8,-2,59,11,0,34,0,20,12,0,-2,8,13,12,0,0,0,0,0,41,0,0,0,-24,0,23,0,0,-23
admin_1,so,south west,,,,,,,,,,,0,-6,-3,1,-11,2,,,,,,,,,,,,,,
admin_1,so,south west state,,8,-1,4,1,0,21,0,1,,,,,,,,,0,0,0,-16,0,0,0,-1,0,-1,0,0,5
