region_schema,region_parent,region_child,agerange,2020-05-20,2020-05-21,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-26,2020-06-30,2020-07-01,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-14,2020-07-15,2020-07-16,2020-07-23,2020-07-24,2020-07-28,2020-07-29,2020-08-05
admin_1,so,banadir,,16,6,24,14,0,43,2,0,12,0,9,11,15,12,0,0,0,0,0,68,0,0,0,83,0,25,0,0,17
admin_1,so,galmmudug,,,,,,,,,,,0,8,0,0,4,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,14,0,1,0,0,0
admin_1,so,hir-shabelle,,,,,,,,,,,0,3,3,0,2,0,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,-2,0,0,0,0,0,0,0,,,,,,,,,0,0,0,2,0,0,0,0,0,2,0,0,0
admin_1,so,jubaland,,,,,,,,,,,0,6,2,6,6,0,,,,,,,,,,,,,,
admin_1,so,jubaland state,,2,0,0,0,0,2,21,9,,,,,,,,,0,0,0,20,0,0,0,3,0,2,0,0,0
admin_1,so,puntland,,5,2,0,0,0,4,0,0,2,0,1,0,4,7,0,0,0,0,0,15,0,0,0,21,0,17,0,0,0
admin_1,so,somaliland,,0,2,9,2,0,7,3,3,5,0,10,7,4,3,0,0,0,0,0,13,0,0,0,39,0,7,0,0,24
admin_1,so,south west,,,,,,,,,,,0,8,4,7,5,0,,,,,,,,,,,,,,
admin_1,so,south west state,,0,0,0,0,0,1,0,0,,,,,,,,,0,0,0,5,0,0,0,1,0,1,0,0,-5
