region_schema,region_parent,region_child,agerange,2020-05-19,2020-05-20,2020-05-21,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-06-01,2020-06-03,2020-06-04,2020-06-05,2020-06-09,2020-06-10,2020-06-11,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-25,2020-06-26,2020-06-29,2020-06-30,2020-07-01,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-20,2020-07-22,2020-07-23,2020-07-24,2020-07-27,2020-07-28,2020-07-29,2020-08-04,2020-08-05,2020-08-10,2020-08-17,2020-08-19,2020-08-24
admin_1,so,banadir,,1048,1063,1080,1099,1118,1123,1126,1161,1177,1219,1253,1285,1329,1348,1348,1371,1385,1385,1393,1396,1417,1417,1417,1417,1432,1436,1436,1436,1453,1453,1463,1463,1463,1477,1493,1493,1493,1511,1513,1513,1513,1519,1519,1519,1525,1525,1526
admin_1,so,galmmudug,,,,,,,,,,,,,,,102,102,112,112,112,112,112,,117,117,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,galmudug state,,12,12,12,12,14,14,14,14,65,65,65,68,100,,,,,,,,,,,117,117,117,117,117,117,117,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
admin_1,so,hir-shabelle,,,,,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,hir-shabelle state,,8,8,6,8,8,9,9,9,9,9,9,20,21,,,,,,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
admin_1,so,jubaland,,,,,,,,,,,,,,,156,156,168,171,171,171,171,175,175,175,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,jubaland state,,52,81,98,98,98,99,99,99,131,136,141,142,156,,,,,,,,,,,175,180,182,182,182,189,189,195,195,195,195,195,195,195,196,196,196,196,200,200,200,200,202,205
admin_1,so,puntland,,137,157,161,163,161,161,170,178,180,192,192,194,196,204,204,235,247,247,263,263,290,290,290,290,299,304,304,304,318,318,322,322,322,325,325,325,325,341,341,341,341,349,356,360,373,380,380
admin_1,so,somaliland,,121,129,131,131,203,217,225,257,304,358,376,384,449,466,466,557,565,580,593,612,698,698,698,698,729,755,755,755,771,771,785,785,785,800,807,807,807,837,842,842,842,858,859,862,872,872,872
admin_1,so,south west,,,,,,,,,,,,,,,117,117,137,139,140,141,142,143,143,143,,,,,,,,,,,,,,,,,,,,,,,,
admin_1,so,south west state,,77,84,84,83,87,88,88,110,110,110,110,111,117,,,,,,,,,,,143,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
