region_schema,region_parent,region_child,agerange,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-31,2020-08-01,2020-08-02,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-30,2020-08-31,2020-09-01,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-30,2020-12-01,2020-12-02,2020-12-03,2020-12-04,2020-12-05,2020-12-08,2020-12-09,2020-12-10,2020-12-11,2020-12-12,2020-12-13,2020-12-14,2020-12-15,2020-12-16,2020-12-17,2020-12-18,2020-12-19
admin_0,,mw,,115,0,129,122,0,120,85,192,103,66,67,117,98,98,97,85,53,104,153,0,151,0,187,69,0,,0,204,,74,79,65,84,0,83,15,39,36,157,83,38,46,53,68,0,82,7,40,0,92,9,0,0,47,,43,14,15,0,6,0,16,23,0,16,7,14,7,4,0,10,5,0,15,0,6,7,0,17,2,5,2,,,0,0,11,2,0,4,9,7,5,0,6,0,0,9,16,5,3,1,3,4,11,0,11,0,4,10,12,7,0,0,9,1,1,0,6,8,0,5,0,0,2,,6,27,0,0,5,0,6,8,1,0,3,0,12,7,4,0,0,0,2,10,0,3,14,0,58,0
admin_1,mw,mw-ba,,,2,0,0,4,6,4,1,0,2,1,0,0,0,2,1,0,0,0,1,0,,,0,,0,1,,0,0,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,1,0,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-bl,,,41,16,0,37,17,65,25,29,16,25,27,53,35,32,24,18,84,0,53,0,,,-1064,,0,107,,3,32,19,36,0,36,4,14,7,,,10,46,19,26,0,30,0,22,0,41,4,0,,0,9,13,,14,0,4,0,5,9,0,5,4,0,5,2,0,4,2,0,4,0,4,6,0,7,1,2,,,1,0,,8,2,0,4,3,6,0,,,0,0,4,,,1,0,2,3,0,0,1,0,3,1,0,2,0,0,4,0,0,0,1,1,0,3,0,0,0,,4,14,0,0,2,0,1,4,,0,2,0,6,2,,0,4,0,0,0,0,0,12,0,0,,
admin_1,mw,mw-ck,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,0,2,,0,5,0,3,0,1,2,0,1,,,-1,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-cr,,,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,1,2,0,1,0,,,0,,0,2,,0,0,2,1,0,0,1,0,4,,,5,0,0,0,0,0,0,0,0,4,0,0,,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,-10,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-ct,,,0,1,0,3,0,1,0,0,3,0,2,0,0,0,0,0,1,0,2,0,,,-3,,0,1,,0,2,0,0,0,0,0,0,0,,,0,0,0,11,0,0,0,0,0,0,0,0,,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-de,,,1,0,0,0,0,4,2,0,4,0,0,0,1,3,0,0,0,0,0,0,,,0,,0,0,,0,0,1,0,0,0,0,0,0,,,0,0,9,1,0,0,0,1,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,1,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-do,,,0,2,0,2,0,8,5,3,2,5,3,3,2,0,0,2,6,0,3,0,,,-4,,0,1,,0,0,3,0,0,2,1,0,1,,,0,0,0,1,0,1,0,0,0,2,0,0,,0,-2,0,,0,0,1,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,,,0,0,,0,0,0,0,2,0,0,,,0,0,3,,,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-ks,,,0,0,0,1,3,2,2,0,2,0,0,1,3,2,0,2,4,0,2,0,,,0,,0,1,,0,0,0,0,0,2,1,0,0,,,0,0,0,0,0,0,0,1,0,1,0,0,,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
admin_1,mw,mw-li,,,48,35,0,16,16,22,23,4,7,36,27,16,24,6,4,61,16,0,39,0,,,-16,,0,47,,53,22,24,21,0,19,4,22,8,,,6,0,1,26,0,30,0,11,0,13,3,0,,0,19,16,,14,0,0,0,1,11,0,5,1,12,0,0,0,6,0,0,5,0,0,1,0,9,1,0,,,0,0,,0,0,0,0,2,0,0,,,1,0,0,,,2,1,0,1,7,0,3,0,0,1,0,2,0,0,2,1,1,0,2,4,0,2,0,0,1,,0,0,0,0,2,0,0,2,,0,3,0,0,4,,0,0,0,0,0,0,0,3,0,0,,
